effective_disposals,disposal_efficiency_percentage,clangers,free_kicks_for,free_kicks_against,one_percenters,bounces,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,intercepts,tackles_inside_fifty,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,intercept_marks,marks_on_lead,pressure_acts,rating_points,score_launches,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,prob_0,prob_1,prob_2,prob_3,expected_votes,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,predicted_votes
20,77,4,1,2,2,2,87,100,184,3,1,9,430,1,1,1,12,2,12,0,0,10,28.8,0,0,41,12,13,90,1,1,10,0,232,0,1,0,1,0,0,0,0,0,1.579087256686762e-4,0.0011913012713193893,0.021692883223295212,0.9769579172134399,2.9754508193582296,3,Dustin Martin,3,15769,9,Richmond,2020,3
12,80,1,1,1,1,1,78,52,61,0,2,6,171,4,0,4,4,0,3,0,0,6,6,4,1,63,19,12,91,0,0,0,0,56,0,1,0,0,1,0,0,0,0,0.9992432594299316,5.499242688529193e-4,7.051678403513506e-5,1.3626991130877286e-4,0.001099767570849508,0,Jack Bowes,0,15833,14,Gold Coast,2020,0
13,81,2,1,0,4,0,91,88,84,0,1,3,402,5,0,5,11,0,2,1,0,6,3.6,1,3,2,11,11,77,0,0,0,0,71,1,0,0,0,1,0,0,0,0,0.9985646605491638,9.9290965590626e-4,3.469705698080361e-4,9.553891868563369e-5,0.0019734675515792333,0,Tom Stewart,0,15663,3,Geelong,2020,0
6,100,0,0,0,1,0,85,39,86,0,1,3,102,0,0,8,3,0,0,0,0,13,11.1,1,0,27,5,4,29,0,0,0,0,38,1,0,0,0,0,0,0,1,0,0.999302864074707,6.012659869156778e-4,8.482606062898412e-5,1.1058609743486159e-5,8.040939374041045e-4,0,Sean Darcy,0,15836,15,Fremantle,2020,0
2,67,1,1,0,1,0,68,17,18,0,0,0,88,1,0,7,2,0,0,0,0,18,-0.6,0,1,36,6,6,42,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0.9999922513961792,3.883066710841376e-6,2.7043415684602223e-6,1.1802816288764006e-6,1.2832594734391023e-5,0,Lachlan Hosie,0,15840,16,North Melbourne,2020,0
12,86,2,1,1,6,0,97,61,97,0,0,2,247,6,0,3,7,1,4,2,0,6,9.1,0,6,16,8,4,32,0,0,0,0,92,1,0,0,0,0,0,0,0,0,0.9973402619361877,0.001918984460644424,7.068710983730853e-4,3.389472112758085e-5,0.003434410820773337,0,James Sicily,0,15805,11,Hawthorn,2020,0
17,74,3,0,1,1,2,81,81,110,3,3,6,423,5,0,2,10,1,6,0,0,12,13.4,0,0,53,11,15,101,0,0,7,0,90,0,1,1,0,0,0,0,0,0,0.26777413487434387,0.36154085397720337,0.1586521565914154,0.21203285455703735,1.3149437308311462,1,Jade Gresham,3,15774,9,St Kilda,2020,1
20,77,4,0,0,2,0,94,92,119,1,0,1,597,5,0,10,15,0,5,0,0,11,7.4,0,2,32,5,6,41,0,0,0,0,153,1,0,0,0,1,0,0,0,0,0.9934896230697632,0.005777094513177872,5.903573473915458e-4,1.4297151938080788e-4,0.007386723766103387,0,Jake Lloyd,0,15855,17,Sydney,2020,0
9,64,3,2,0,4,0,91,54,58,1,2,0,163,4,0,8,3,0,4,1,0,10,6.1,0,3,56,8,6,44,0,0,0,0,146,1,0,0,0,0,0,0,0,0,0.9999797344207764,9.571588634571526e-6,8.366077963728458e-6,2.2695933239447186e-6,3.31125245338626e-5,0,Jack Crisp,0,15811,12,Collingwood,2020,0
10,71,4,0,1,0,0,83,45,33,0,1,2,98,1,0,10,3,0,2,0,0,16,0.9,0,0,37,4,7,46,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0.9999562501907349,2.7139649318996817e-5,1.049616821546806e-5,6.057210612198105e-6,6.630361758652725e-5,0,Ned McHenry,0,15707,4,Adelaide,2020,0
5,100,0,2,0,1,0,90,32,76,0,1,3,146,2,0,3,4,0,1,1,1,8,10.4,0,1,51,11,12,83,1,1,0,0,143,0,1,0,1,0,0,0,0,0,0.9926624298095703,0.006375845056027174,7.558538927696645e-4,2.0591894281096756e-4,0.008505309669999406,0,Charlie Dixon,0,15770,9,Port Adelaide,2020,0
13,65,2,2,1,0,0,80,92,87,1,2,2,256,1,1,8,5,0,4,0,0,21,6.7,0,0,32,9,3,27,0,0,0,0,211,1,0,1,0,0,0,0,0,0,0.9942041039466858,0.003637248883023858,0.0019721093121916056,1.8653436563909054e-4,0.00814107060432434,0,Liam Shiels,0,15743,6,Hawthorn,2020,0
7,54,4,1,0,2,0,81,54,43,0,2,3,244,0,1,5,3,0,1,0,0,16,2.4,0,1,43,7,14,91,0,0,0,0,39,0,1,0,0,0,1,0,0,0,0.9999324083328247,1.5321331375162117e-5,1.2771331967087463e-5,3.9451406337320805e-5,1.5921821432129946e-4,0,Aaron vandenBerg,0,15757,7,Melbourne,2020,0
12,92,3,4,1,6,0,92,64,96,0,1,2,118,4,1,9,4,0,3,1,0,12,10,0,6,24,9,4,33,0,0,0,0,33,1,0,0,0,0,0,0,0,0,0.9992965459823608,6.170379347167909e-4,7.48041711631231e-5,1.1548450856935233e-5,8.012916296138428e-4,0,Sam Taylor,0,15659,3,Greater Western Sydney,2020,0
3,75,0,1,0,1,0,83,13,16,0,1,0,-6,0,0,6,0,0,0,0,0,12,2.7,0,0,11,7,9,61,0,0,0,0,114,1,0,0,1,0,0,0,0,0,0.9999696016311646,1.6729982235119678e-5,3.81588733944227e-6,9.880955985863693e-6,5.40046248715953e-5,0,Tory Dickson,0,15828,14,Western Bulldogs,2020,0
8,100,2,1,2,1,0,84,33,59,0,0,3,144,0,0,1,4,0,1,0,2,4,6.9,0,1,3,5,11,71,0,0,0,0,15,1,0,0,1,0,0,0,0,0,0.9987561702728271,9.677206398919225e-4,2.5761977303773165e-4,1.852606510510668e-5,0.0015385383812827058,0,Darcy Fogarty,0,15618,1,Adelaide,2020,0
