kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcomeDraw,match_outcomeLoss,match_outcomeWin,player_positionBPL,player_positionBPR,player_positionC,player_positionCHB,player_positionCHF,player_positionFB,player_positionFF,player_positionFPL,player_positionFPR,player_positionHBFL,player_positionHBFR,player_positionHFFL,player_positionHFFR,player_positionINT,player_positionR,player_positionRK,player_positionRR,player_positionSUB,player_positionWL,player_positionWR,pred,player_name,brownlow_votes,match_id,match_round,player_team,pred_rank,predicted_votes
9,4,3,12,6,50,0,2,0,3,0,3,0,1,1,0,5,7,0,1,0,2,1,74,60,56,0,0,8,218,2,1,1,0,0,0,0,2,4,1,4,0,0,0,1,11,4.3,0,0,2,0,31,14,7,56,0,0,0,0,0.020089285714285716,0.020512820512820513,0.00949367088607595,0.015706806282722512,0,0.06451612903225806,0.03125,0.03,0,0.01937984496124031,0.014084507042253521,0,0.037037037037037035,0.07142857142857142,0.014925373134328358,0.03389830508474576,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0021124049089848995,Bobby Hill,0,15892,2,Greater Western Sydney,30,0
6,1,1,7,5,71,2,0,0,1,0,1,0,3,0,2,4,4,0,1,0,0,0,89,33,33,0,0,3,172,4,1,0,0,0,2,0,1,4,2,4,0,0,0,0,5,5,2,0,2,0,31,14,7,56,0,0,0,0,0.013392857142857142,0.005128205128205128,0.0031645569620253164,0.009162303664921465,0.1111111111111111,0,0.010416666666666666,0.01,0,0.015503875968992248,0.008048289738430584,0,0.037037037037037035,0,0.029850746268656716,0.03389830508474576,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0033161744941025972,Zach Sproule,0,15892,2,Greater Western Sydney,35,0
9,3,8,17,14,82,0,0,0,2,1,2,0,4,0,0,5,12,1,0,2,0,0,81,60,61,0,0,4,256,3,6,0,1,2,0,0,9,7,1,3,0,0,1,0,9,9.6,0,1,0,1,31,21,11,87,0,0,0,0,0.020089285714285716,0.015384615384615385,0.02531645569620253,0.02225130890052356,0,0,0.020833333333333332,0.02,0,0.01937984496124031,0.02414486921529175,0.05555555555555555,0,0,0.022388059701492536,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8214356754906476e-4,Hayden Young,0,15892,2,Fremantle,21,0
12,6,5,17,14,82,0,0,0,1,3,3,0,0,0,0,5,13,0,0,1,1,0,81,68,70,0,0,3,262,1,5,0,0,0,0,0,6,9,0,5,0,0,1,0,10,7.1,0,2,0,1,31,14,7,56,0,0,0,0,0.026785714285714284,0.03076923076923077,0.015822784810126583,0.02225130890052356,0,0,0.010416666666666666,0.03,0,0.01937984496124031,0.026156941649899398,0,0,0,0.007462686567164179,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0022434217389672995,Lachie Ash,0,15892,2,Greater Western Sydney,31,0
12,1,10,22,16,73,0,1,0,4,1,5,3,2,1,0,10,14,0,0,1,0,2,72,77,93,0,3,8,273,2,3,0,0,0,0,0,5,8,0,6,0,0,0,0,14,12.6,0,1,2,0,31,21,11,87,0,0,0,0,0.026785714285714284,0.005128205128205128,0.03164556962025317,0.028795811518324606,0,0.03225806451612903,0.041666666666666664,0.05,0.06,0.03875968992248062,0.028169014084507043,0,0,0.14285714285714285,0.014925373134328358,0.03389830508474576,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0044707306660711765,Caleb Serong,0,15892,2,Fremantle,13,0
12,8,1,13,7,54,1,2,0,1,0,7,0,1,2,0,3,10,0,1,1,0,1,71,76,57,0,0,7,369,2,1,0,0,0,0,0,2,6,0,1,0,0,0,4,12,3.4,0,0,3,1,31,21,11,87,0,0,0,0,0.026785714285714284,0.041025641025641026,0.0031645569620253164,0.017015706806282723,0.05555555555555555,0.06451612903225806,0.010416666666666666,0.07,0,0.011627906976744186,0.02012072434607646,0,0.037037037037037035,0.07142857142857142,0.014925373134328358,0.05084745762711865,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.09554562717676163,Michael Frederick,0,15892,2,Fremantle,5,0
4,2,4,8,6,75,0,1,1,0,0,1,0,2,0,1,2,7,0,1,2,0,0,80,25,30,0,0,3,141,2,3,0,0,0,0,0,10,2,0,2,0,10,0,0,16,3,10,1,1,1,31,14,7,56,0,0,0,0,0.008928571428571428,0.010256410256410256,0.012658227848101266,0.010471204188481676,0,0.03225806451612903,0,0.01,0,0.007751937984496124,0.014084507042253521,0,0.037037037037037035,0,0.014925373134328358,0.01694915254237288,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.001502744504250586,Jack Buckley,0,15892,2,Greater Western Sydney,27,0
5,2,8,13,8,62,0,0,17,1,0,1,3,4,0,1,10,3,1,0,2,0,0,78,55,82,3,0,4,115,5,2,0,0,1,0,0,4,3,1,7,6,45.9,0,0,8,9.7,37,2,0,2,31,21,11,87,0,0,0,0,0.011160714285714286,0.010256410256410256,0.02531645569620253,0.017015706806282723,0,0,0.010416666666666666,0.01,0.06,0.03875968992248062,0.006036217303822937,0.05555555555555555,0,0,0.03731343283582089,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0044707306660711765,Lloyd Meek,0,15892,2,Fremantle,14,0
3,3,9,12,9,75,0,0,18,4,0,2,1,0,2,0,8,6,1,0,4,0,0,79,72,78,0,1,1,41,3,4,0,0,1,2,0,7,1,0,5,5,42.9,2,0,9,8.1,42,2,0,4,31,14,7,56,0,0,0,0,0.006696428571428571,0.015384615384615385,0.028481012658227847,0.015706806282722512,0,0,0.041666666666666664,0.02,0.02,0.031007751937984496,0.012072434607645875,0.05555555555555555,0,0,0.022388059701492536,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-9.687247220426798e-4,Matt Flynn,0,15892,2,Greater Western Sydney,24,0
4,1,3,7,5,71,0,1,0,2,1,2,0,2,0,0,3,3,0,0,1,0,0,63,30,32,0,0,2,104,3,3,0,0,0,0,0,7,2,2,3,0,0,0,0,16,4.6,0,1,1,1,31,14,7,56,0,0,0,0,0.008928571428571428,0.005128205128205128,0.00949367088607595,0.009162303664921465,0,0.03225806451612903,0.020833333333333332,0.02,0,0.011627906976744186,0.006036217303822937,0,0,0,0.022388059701492536,0.01694915254237288,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.001502744504250586,Tanner Bruhn,0,15892,2,Greater Western Sydney,28,0
8,3,4,12,7,58,0,0,0,1,1,2,0,3,1,1,2,11,0,1,3,0,0,88,43,42,0,0,4,177,5,2,0,1,1,0,0,4,4,0,1,0,0,0,0,5,3.1,0,1,0,3,31,21,11,87,0,0,0,0,0.017857142857142856,0.015384615384615385,0.012658227848101266,0.015706806282722512,0,0,0.010416666666666666,0.02,0,0.007751937984496124,0.022132796780684104,0,0.037037037037037035,0,0.03731343283582089,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010495050810277462,Heath Chapman,0,15892,2,Fremantle,17,0
14,12,8,22,19,86,0,0,0,0,3,0,0,2,0,0,5,17,0,0,3,0,0,81,94,79,0,0,8,257,0,3,0,0,1,0,0,11,12,0,5,0,0,0,0,11,12.7,0,1,0,3,1,7,11,73,0,0,0,0,0.028,0.0502092050209205,0.02867383512544803,0.028241335044929396,0,0,0,0,0,0.01694915254237288,0.035416666666666666,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06049191951751709,Grant Birchall,0,15893,3,Brisbane Lions,11,0
13,8,17,30,22,73,0,0,0,4,1,1,4,3,0,1,13,17,1,0,0,0,2,77,110,105,2,2,5,271,3,5,1,0,0,1,0,5,7,1,8,0,0,3,1,13,17.4,0,1,0,0,1,6,11,72,0,0,0,1,0.026,0.03347280334728033,0.06093189964157706,0.038510911424903725,0,0,0.031746031746031744,0.009009009009009009,0.06153846153846154,0.04406779661016949,0.035416666666666666,0.041666666666666664,0,0.125,0.0189873417721519,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13142545521259308,Scott Pendlebury,0,15893,3,Collingwood,10,0
6,3,9,15,15,100,0,0,0,4,0,1,1,0,1,0,7,9,0,0,1,0,0,72,62,66,0,1,4,140,3,4,1,0,0,0,0,9,6,1,5,0,0,0,0,14,9,0,0,0,0,1,6,11,72,0,0,0,0,0.012,0.012552301255230125,0.03225806451612903,0.019255455712451863,0,0,0.031746031746031744,0.009009009009009009,0.015384615384615385,0.023728813559322035,0.01875,0,0,0,0.0189873417721519,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.001502744504250586,Chris Mayne,0,15893,3,Collingwood,33,0
15,8,8,23,16,70,0,0,0,3,3,4,1,4,1,1,7,15,0,0,2,1,1,72,95,79,0,1,8,396,6,7,0,0,0,0,0,7,10,0,6,0,0,1,0,13,13.5,0,3,0,1,1,7,11,73,0,0,0,0,0.03,0.03347280334728033,0.02867383512544803,0.029525032092426188,0,0,0.023809523809523808,0.036036036036036036,0.015384615384615385,0.023728813559322035,0.03125,0,0,0.0625,0.0379746835443038,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.001184445689432323,Mitch Robinson,0,15893,3,Brisbane Lions,31,0
