player_name,player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Kamdyn McIntosh,Richmond,0,1,6,0.492886913,-1
Lachie Weller,Gold Coast,0,1,20,1.213412447,-1
Liam Baker,Richmond,0,1,11,0.863292334,-1
Mitch Wallis,Western Bulldogs,0,1,10,0.932671065,-1
Nick Coffield,St Kilda,0,1,11,0.673894272,-1
Nick Hind,St Kilda,0,1,6,0.384844045,-1
Sam Docherty,Carlton,0,1,13,1.04401541,-1
Shane McAdam,Adelaide,0,1,7,0.424389362,-1
Shannon Hurn,West Coast,0,1,7,0.59759731,-1
Steven May,Melbourne,0,1,28,1.126116526,-1
Tim Taranto,Greater Western Sydney,0,1,9,1.311466835,-1
Tom Papley,Sydney,0,1,20,1.085886884,-1
Trent Dumont,North Melbourne,0,1,5,0.48893526,-1
Zak Butters,Port Adelaide,0,1,18,1.037608094,-1
Aaron Francis,Essendon,0,0,3,0.083119012,0
Aaron Hall,North Melbourne,0,0,0,0.66776062,0
Aaron vandenBerg,Melbourne,0,0,0,-0.098711235,0
Adam Kennedy,Greater Western Sydney,0,0,0,-0.00031988,0
Adam Tomlinson,Melbourne,0,0,0,0.12495067,0
Aidan Corr,Greater Western Sydney,0,0,3,0.144829321,0
Aiden Bonar,North Melbourne,0,0,0,-0.001866524,0
Alex Keath,Western Bulldogs,0,0,12,0.456436552,0
Alex Neal-Bullen,Melbourne,0,0,0,0.027377217,0
Alex Witherden,Brisbane Lions,0,0,5,0.458660551,0
Aliir Aliir,Sydney,0,0,0,0.05468197,0
Andrew McPherson,Adelaide,0,0,0,0.380754625,0
Andrew Phillips,Essendon,0,0,0,0.05094339,0
Archie Smith,Brisbane Lions,0,0,0,-2.31E-04,0
Atu Bosenavulagi,Collingwood,0,0,0,-2.04E-04,0
Bailey Banfield,Fremantle,0,0,0,-0.003829789,0
Bailey Dale,Western Bulldogs,0,0,0,-0.032670105,0
Bailey J. Williams,West Coast,0,0,0,2.61E-04,0
Bailey Scott,North Melbourne,0,0,0,0.255304266,0
Bailey Williams,Western Bulldogs,0,0,5,0.590106435,0
Bayley Fritsch,Melbourne,0,0,8,1.051962706,0
Ben Brown,North Melbourne,0,0,0,-0.033555539,0
Ben Cavarra,Western Bulldogs,0,0,0,-0.006589771,0
Ben Crocker,Adelaide,0,0,0,-0.013184562,0
Ben Davis,Adelaide,0,0,0,-0.002356302,0
Ben Jarvis,Geelong,0,0,0,-2.20E-04,0
Ben Long,St Kilda,0,0,2,0.020892482,0
Ben McEvoy,Hawthorn,0,0,12,0.585128768,0
Ben McKay,North Melbourne,0,0,0,-0.001347428,0
Ben Paton,St Kilda,0,0,2,0.013231979,0
Ben Reid,Collingwood,0,0,0,-0.006864246,0
Ben Ronke,Sydney,0,0,0,-6.31E-04,0
Ben Stratton,Hawthorn,0,0,3,0.143686977,0
Billy Frampton,Adelaide,0,0,0,0.009713218,0
Billy Gowers,Western Bulldogs,0,0,0,0.00155263,0
Blake Acres,Fremantle,0,0,7,0.257425782,0
Blake Hardwick,Hawthorn,0,0,0,-0.050507602,0
Bobby Hill,Greater Western Sydney,0,0,0,-0.011596798,0
Boyd Woodcock,Port Adelaide,0,0,0,-0.015491241,0
Brad Close,Geelong,0,0,0,-0.035316963,0
Brad Ebert,Port Adelaide,0,0,5,0.528945023,0
Bradley Hill,St Kilda,0,0,6,0.161373009,0
Brandon Ellis,Gold Coast,0,0,6,0.633133721,0
Brandon Matera,Fremantle,0,0,0,-0.004546205,0
Brandon Starcevich,Brisbane Lions,0,0,5,-0.039464724,0
Brandon Zerk-Thatcher,Essendon,0,0,0,0.050601852,0
Brayden Ainsworth,West Coast,0,0,0,0.00968364,0
Brayden Fiorini,Gold Coast,0,0,0,8.34E-04,0
Brayden Ham,Essendon,0,0,0,-6.00E-04,0
Brayden Maynard,Collingwood,0,0,22,1.477899989,0
Braydon Preuss,Melbourne,0,0,0,0.00179837,0
Brendon Ah Chee,West Coast,0,0,0,0.060506071,0
Brennan Cox,Fremantle,0,0,3,0.102046942,0
Brent Daniels,Greater Western Sydney,0,0,6,0.285259072,0
Brett Bewley,Fremantle,0,0,0,-0.019506819,0
Brodie Grundy,Collingwood,0,0,22,2.137761426,0
Cale Hooker,Essendon,0,0,3,0.248835097,0
