effective_disposals,disposal_efficiency_percentage,rebounds,clangers,free_kicks_for,free_kicks_against,one_percenters,bounces,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,marks_on_lead,pressure_acts,rating_points,score_launches,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
6,50,1,2,0,0,0,0,74,55,54,0,0,2,142,2,0,0,0,1,0,6,4,2,4,1,17,3.2,2,0,30,5,5,35,0,0,0,0,3,1,0,0,0,0,1,0,0,0,-0.006649877410382032,Lachlan Hosie,0,15825,13,North Melbourne,2020,37,0
6,100,0,0,1,0,2,0,77,39,58,0,0,2,147,0,0,0,0,3,0,0,5,0,0,1,2,8,0,2,66,3,18,111,0,0,0,0,33,0,1,0,1,0,0,0,0,0,0.009569616988301277,Jake Waterman,0,15766,8,West Coast,2020,24,0
12,86,3,0,3,0,0,0,76,76,101,0,1,2,185,6,0,0,0,0,0,4,10,0,2,0,13,10.1,0,0,7,10,9,64,0,0,0,0,72,0,1,0,0,1,0,0,0,0,0.2834297716617584,Sam Petrevski-Seton,0,15762,8,Carlton,2020,10,0
8,89,0,0,2,0,0,0,76,43,65,0,1,2,84,1,3,0,0,0,0,8,4,1,3,0,17,11,2,0,12,9,10,69,0,0,0,0,29,1,0,0,0,0,1,0,0,0,-0.047499388456344604,Bailey Banfield,0,15650,2,Fremantle,2020,44,0
9,82,4,1,0,0,2,0,89,43,38,0,0,3,294,2,0,0,2,0,0,7,5,0,2,0,14,2.9,1,2,47,16,10,76,0,0,0,0,14,0,1,0,0,1,0,0,0,0,-0.025957878679037094,Jarrod Lienert,0,15620,1,Port Adelaide,2020,38,0
8,73,3,6,0,2,2,0,77,39,34,0,0,2,399,2,0,0,0,3,1,9,7,0,3,0,12,5.4,0,1,51,9,8,57,0,0,0,0,38,1,0,0,0,1,0,0,0,0,0.0017283710185438395,Jack Lukosius,0,15862,18,Gold Coast,2020,19,0
6,50,1,0,2,0,2,0,78,41,59,0,2,1,197,4,0,0,0,0,0,3,3,0,2,0,6,3.7,1,2,41,7,3,25,0,0,0,0,223,1,0,1,0,0,0,0,0,0,0.03471416234970093,Callan Ward,0,15808,12,Greater Western Sydney,2020,15,0
24,75,2,4,0,2,0,0,78,100,144,0,3,5,292,4,2,0,0,0,0,8,6,2,12,0,21,15.9,2,0,15,10,4,34,0,0,5,0,73,1,0,1,0,0,0,0,0,0,1.8217462301254272,Jy Simpkin,0,15857,18,North Melbourne,2020,2,2
20,65,1,1,0,0,0,0,77,100,129,4,3,9,362,2,1,0,0,0,0,7,7,2,12,1,13,11.5,1,0,21,15,13,93,1,1,8,0,275,0,1,1,0,0,0,0,0,0,1.9397656917572021,Travis Boak,2,15800,11,Port Adelaide,2020,2,2
9,69,3,2,0,0,1,0,71,58,79,0,0,6,260,1,0,0,0,0,0,5,4,1,4,0,19,6.6,0,0,26,15,7,57,0,0,0,0,13,0,1,1,0,0,0,0,0,0,-0.02052277885377407,Jack Ross,0,15849,17,Richmond,2020,38,0
14,74,4,1,2,0,1,0,84,89,117,1,2,9,552,1,0,0,1,2,0,2,10,1,4,0,8,11.6,2,1,59,9,14,93,1,1,0,0,259,0,1,1,0,0,0,0,0,0,0.9541993737220764,Patrick Dangerfield,2,15804,11,Geelong,2020,4,0
4,50,0,5,0,2,3,0,86,32,27,0,0,2,138,2,0,0,0,1,1,1,1,1,1,0,3,-0.3,0,2,33,18,7,60,0,0,0,0,136,0,1,0,1,0,0,0,0,0,0.009195235557854176,Levi Casboult,0,15817,13,Carlton,2020,27,0
9,82,2,1,1,0,1,0,88,55,46,0,0,4,142,1,0,0,0,0,0,5,5,0,0,1,8,0.2,1,1,6,7,12,79,0,0,0,0,76,0,1,0,0,1,0,0,0,0,0.026750417426228523,Blake Acres,0,15744,6,Fremantle,2020,20,0
22,92,9,1,3,1,1,1,89,88,149,0,2,2,557,10,0,2,4,1,0,7,14,0,6,0,9,14.7,1,1,43,6,7,48,0,0,1,0,89,1,0,0,0,1,0,0,0,0,0.25537392497062683,James Sicily,0,15757,7,Hawthorn,2020,6,0
9,90,1,1,0,1,5,0,96,55,52,0,0,2,105,2,0,0,1,0,0,7,8,0,0,0,9,3.2,0,4,44,9,12,81,0,0,0,0,165,0,1,0,0,0,0,0,0,0,0.001955014420673251,Jordan Roughead,0,15661,3,Collingwood,2020,24,0
16,70,2,3,2,1,2,1,73,94,110,4,6,3,227,1,0,0,0,0,0,8,5,0,8,0,15,14,0,0,12,1,10,61,0,0,8,0,324,0,1,1,0,0,0,0,0,0,2.109868049621582,David Mundy,0,15777,9,Fremantle,2020,1,3
3,50,0,3,0,3,3,0,82,21,44,0,1,2,49,3,0,0,0,0,0,8,1,0,1,0,10,1,0,0,15,11,9,65,0,0,0,0,10,0,1,1,0,0,0,0,0,0,0.0010668664472177625,Brayden Ainsworth,0,15848,17,West Coast,2020,36,0
13,65,1,2,0,1,1,0,80,83,114,1,4,3,215,1,1,0,0,0,0,5,5,0,7,1,15,13.6,0,0,22,8,7,50,0,0,0,0,32,1,0,0,0,0,0,0,0,1,-0.0034341388382017612,Sam Walsh,0,15802,11,Carlton,2020,32,0
16,80,3,4,2,3,0,0,73,68,120,1,2,1,221,4,3,0,0,0,0,11,6,2,8,0,19,9,0,0,51,7,5,37,0,0,0,0,153,1,0,0,0,1,0,0,0,0,-0.01201128214597702,Rory Laird,0,15782,10,Adelaide,2020,35,0
6,86,0,2,2,1,0,0,89,39,60,0,0,5,83,1,1,0,0,4,1,1,3,0,1,0,8,0.8,0,0,31,5,14,89,0,0,0,0,70,0,1,0,1,0,0,0,0,0,0.03208637982606888,Tim O'Brien,0,15771,9,Hawthorn,2020,17,0
10,100,2,0,1,0,2,0,77,47,88,0,3,2,199,2,0,0,0,0,0,7,9,0,2,0,9,9.9,2,1,27,10,6,46,0,0,0,0,253,1,0,0,0,1,0,0,0,0,-0.055836450308561325,Grant Birchall,0,15742,6,Brisbane Lions,2020,43,0
21,75,2,4,2,0,2,0,88,125,177,1,4,4,343,4,4,0,0,0,0,11,8,1,10,0,26,18.8,0,1,4,7,7,49,0,1,0,0,89,1,0,1,0,0,0,0,0,0,0.7743697166442871,Clayton Oliver,2,15767,8,Melbourne,2020,5,0
19,76,0,4,0,2,1,0,77,83,108,1,2,4,186,1,1,0,0,0,0,7,7,1,7,1,16,11.2,1,0,36,10,11,76,0,0,3,0,39,0,1,1,0,0,0,0,0,0,0.17565935850143433,Bailey Smith,1,15854,17,Western Bulldogs,2020,6,0
11,69,1,2,3,0,0,0,81,93,111,2,2,3,317,2,1,0,0,0,0,12,5,0,5,0,22,14.1,0,0,16,8,8,56,0,0,0,0,36,1,0,1,0,0,0,0,0,0,0.23600439727306366,Will Setterfield,0,15853,17,Carlton,2020,9,0
8,100,2,0,0,0,7,0,95,37,63,0,0,2,78,4,0,0,3,0,0,2,3,0,1,0,2,8.3,0,6,15,6,7,48,0,0,0,0,167,1,0,0,0,0,0,0,0,0,0.03876374661922455,Jordan Roughead,0,15720,5,Collingwood,2020,21,0
15,65,1,2,2,1,0,0,82,92,94,1,1,3,322,2,0,0,0,0,0,9,6,0,3,0,19,2.7,0,0,8,4,5,34,1,1,0,0,147,1,0,1,0,0,0,0,0,0,0.07441144436597824,Taylor Adams,0,15839,15,Collingwood,2020,15,0
5,63,0,6,0,4,1,1,92,20,32,0,0,4,178,0,1,0,0,2,1,3,2,1,4,0,7,1.6,0,0,7,3,9,57,0,0,0,0,35,1,0,0,1,0,0,0,0,0,0.01062866486608982,Cameron Zurhaar,0,15762,8,North Melbourne,2020,26,0
8,53,0,1,1,0,2,0,98,98,128,0,0,8,248,0,4,0,0,2,1,5,4,2,2,3,15,7.5,0,2,45,10,13,88,0,0,0,0,123,0,1,0,1,0,0,0,0,0,0.689707338809967,Charlie Cameron,0,15847,16,Brisbane Lions,2020,4,0
6,86,2,0,0,0,2,0,76,20,38,0,0,1,65,3,0,0,1,0,0,5,2,0,3,0,8,5.9,0,2,34,7,6,43,0,0,0,0,19,1,0,0,0,1,0,0,0,0,0.013367703184485435,Colin O'Riordan,0,15721,5,Sydney,2020,23,0
16,80,1,2,1,0,0,2,86,83,87,0,2,2,218,6,0,0,0,0,0,2,10,0,2,0,5,4.8,2,0,13,4,10,64,0,0,2,0,179,0,1,0,0,0,1,0,0,0,0.6270685791969299,Brandon Ellis,0,15706,4,Gold Coast,2020,4,0
7,54,1,3,3,1,1,0,86,53,75,0,3,3,252,2,2,0,1,2,0,6,4,0,4,0,12,7.2,0,0,8,8,3,26,0,0,0,0,31,1,0,0,0,1,0,0,0,0,0.0907006561756134,Jordan Dawson,0,15749,6,Sydney,2020,15,0
9,75,1,2,0,0,0,0,71,30,42,1,1,3,106,1,0,0,0,1,0,2,2,0,4,0,7,3.6,1,0,21,8,4,32,0,0,0,0,53,1,0,0,1,0,0,0,0,0,-4.086514236405492e-4,Ben Ainsworth,0,15816,12,Gold Coast,2020,33,0
7,54,0,3,1,1,1,0,76,55,59,0,0,1,196,1,0,0,1,0,0,13,4,0,3,0,20,4.2,1,1,4,6,12,78,0,0,0,0,99,0,1,1,0,0,0,0,0,0,0.03111668862402439,Zak Jones,0,15784,10,St Kilda,2020,17,0
8,89,0,1,0,0,1,0,77,41,36,0,0,1,142,0,0,0,0,0,0,3,3,0,0,0,9,4.7,0,0,2,13,6,49,0,0,0,0,120,0,1,0,0,1,0,0,0,0,0.0020673766266554594,Hayden Crozier,0,15843,16,Western Bulldogs,2020,36,0
14,88,4,2,1,0,1,0,91,65,86,0,0,2,269,6,1,0,0,0,0,8,7,0,5,0,13,7.8,1,1,6,9,10,69,0,0,4,0,99,0,1,0,0,0,0,0,0,0,0.5037789940834045,Jed Bews,0,15863,18,Geelong,2020,4,0
15,71,2,2,2,0,2,0,74,83,118,1,3,3,236,2,0,0,0,0,0,9,5,1,8,0,18,11.5,0,0,14,11,6,47,0,0,0,0,54,0,1,1,0,0,0,0,0,0,0.49345749616622925,Andrew Brayshaw,0,15844,16,Fremantle,2020,7,0
12,71,0,4,0,1,2,0,91,67,63,0,1,3,225,1,0,0,0,1,0,1,6,2,4,0,7,10.1,0,1,12,7,7,49,0,0,0,0,46,1,0,0,0,0,1,0,0,0,-0.010285294614732265,Daniel Lloyd,0,15824,13,Greater Western Sydney,2020,36,0
8,100,0,0,1,0,1,0,79,40,70,0,0,3,84,1,0,0,0,1,0,1,5,1,3,1,7,10,0,1,7,6,9,60,0,0,0,0,39,0,1,0,0,0,1,0,0,0,0.009009680710732937,Tom McCartin,0,15763,8,Sydney,2020,29,0
7,78,4,2,1,0,3,0,92,39,56,1,1,1,209,3,0,1,5,0,0,3,6,0,2,0,3,1.5,1,3,20,8,10,68,0,0,0,0,315,1,0,0,0,0,0,0,0,0,-0.01614539511501789,Heath Shaw,0,15753,7,Greater Western Sydney,2020,37,0
7,54,0,4,0,0,2,0,67,55,70,0,1,5,233,0,1,0,0,1,0,3,3,2,3,2,12,5.7,1,0,52,8,13,86,0,0,0,0,106,0,1,0,1,0,0,0,0,0,0.007511916104704142,Jamie Elliott,0,15616,1,Collingwood,2020,23,0
8,67,0,2,0,1,0,0,83,47,59,0,0,5,103,0,1,0,0,1,0,0,4,2,3,1,8,3.2,0,0,12,7,7,49,0,0,0,0,47,1,0,0,0,0,1,0,0,0,-0.006229711230844259,Jaidyn Stephenson,0,15777,9,Collingwood,2020,36,0
13,77,3,4,2,3,5,0,84,79,115,1,0,2,259,6,0,0,1,0,0,18,9,0,5,0,22,10.2,1,3,52,4,5,34,0,0,0,0,109,1,0,0,0,1,0,0,0,0,-0.0703670084476471,Hayden Crozier,0,15616,1,Western Bulldogs,2020,43,0
13,87,2,1,0,1,2,0,79,50,76,0,1,4,246,3,0,0,0,3,1,4,5,0,2,0,9,9.3,0,2,63,7,14,91,0,0,0,0,200,0,1,0,0,0,0,0,0,1,-0.06511668115854263,Mitch Robinson,0,15772,9,Brisbane Lions,2020,41,0
22,92,2,3,1,2,1,0,87,93,114,4,1,4,445,2,0,0,1,0,0,7,11,0,4,0,20,11.7,0,0,33,7,10,67,0,0,2,0,108,0,1,1,0,0,0,0,0,0,1.0362178087234497,Dom Sheed,2,15745,6,West Coast,2020,3,1
7,88,1,0,0,0,0,0,83,36,57,0,0,1,183,4,0,0,2,0,0,4,4,1,3,0,8,7.8,0,0,32,3,17,105,0,0,0,0,8,0,1,0,0,1,0,0,0,0,0.1604178100824356,Isaac Cumming,0,15619,1,Greater Western Sydney,2020,22,0
12,80,3,1,0,0,0,0,86,75,75,0,0,3,172,10,0,0,2,0,0,2,11,0,3,0,3,10.1,1,0,75,8,17,110,0,0,0,0,110,0,1,0,0,0,0,0,0,0,0.04185304418206215,Trent McKenzie,0,15653,2,Port Adelaide,2020,16,0
12,92,0,2,0,2,1,0,74,39,67,0,0,6,66,1,0,0,0,1,1,7,2,0,2,0,12,9,1,0,49,9,13,87,0,0,0,0,64,0,1,0,1,0,0,0,0,0,-0.010612482205033302,Lin Jong,0,15723,5,Western Bulldogs,2020,31,0
5,63,0,4,0,2,6,0,91,22,39,0,0,1,108,5,0,0,5,0,0,4,2,0,3,0,4,4.6,1,5,10,4,9,58,0,0,1,0,103,1,0,0,0,1,0,0,0,0,-0.015189627185463905,Sam Frost,0,15819,13,Hawthorn,2020,43,0
12,67,1,2,1,0,3,0,88,76,104,1,0,3,341,4,1,0,0,0,0,14,5,1,8,0,24,14.6,0,0,7,11,7,53,0,0,0,0,119,1,0,1,0,0,0,0,0,0,0.10331885516643524,Tom Mitchell,0,15763,8,Hawthorn,2020,15,0
8,53,2,1,0,0,0,0,88,49,66,1,1,4,130,2,0,0,0,0,0,8,3,2,6,1,14,3.8,1,0,12,9,12,81,0,1,0,0,65,0,1,0,0,0,0,0,0,1,0.07830946892499924,Hugh McCluggage,0,15650,2,Brisbane Lions,2020,12,0
16,59,2,3,1,1,0,0,82,102,112,0,2,2,216,6,1,0,0,1,1,10,6,1,12,0,18,10.2,1,0,27,7,11,73,0,0,0,0,7,0,1,0,1,0,0,0,0,0,1.1043390035629272,Sam Simpson,0,15742,6,Geelong,2020,4,0
15,88,3,0,0,0,2,0,85,49,84,0,0,4,304,5,0,0,2,0,0,12,6,1,5,0,12,13.7,1,1,44,9,4,33,0,0,0,0,230,1,0,0,0,0,0,0,0,1,-0.03181919455528259,David Mackay,0,15860,18,Adelaide,2020,43,0
15,56,1,6,0,2,3,0,87,85,137,3,4,2,513,7,1,0,0,1,0,13,7,2,15,0,32,20.3,1,0,14,9,4,33,0,0,1,0,133,1,0,1,0,0,0,0,0,0,0.4463310241699219,Jack Viney,2,15844,16,Melbourne,2020,9,0
9,75,1,0,0,0,3,0,69,45,61,0,0,3,178,1,0,0,0,0,0,4,5,1,2,1,6,2.8,0,2,15,9,6,45,0,0,0,0,40,1,0,0,0,1,0,0,0,0,-0.004673713352531195,Matt Guelfi,0,15835,15,Essendon,2020,36,0
8,57,2,4,0,0,2,0,84,47,48,0,0,1,204,2,0,0,1,0,0,5,4,0,4,0,6,3.1,0,2,27,7,12,79,0,0,0,0,92,0,1,0,0,0,0,0,0,1,0.010675125755369663,Kamdyn McIntosh,0,15740,5,Richmond,2020,25,0
12,75,3,2,1,1,3,0,88,68,73,0,0,3,259,3,0,0,1,0,0,4,10,0,2,0,4,5.1,0,3,16,6,7,48,0,0,0,0,60,0,1,0,0,1,0,0,0,0,0.095325373113155365,Ethan Hughes,0,15805,11,Fremantle,2020,17,0
4,57,0,1,1,0,6,0,100,22,43,0,0,1,59,7,0,1,5,0,0,5,1,0,6,0,5,9.1,1,6,27,10,6,46,1,1,0,0,103,1,0,0,0,0,0,0,0,0,0.2671028971672058,Harris Andrews,0,15742,6,Brisbane Lions,2020,11,0
13,87,7,0,0,0,11,0,88,65,110,0,0,2,401,6,0,1,3,0,0,1,11,0,1,0,2,11.5,2,11,28,10,7,52,0,0,2,0,143,1,0,0,0,0,0,0,0,0,0.1316141039133072,Steven May,0,15818,13,Melbourne,2020,10,0
6,55,0,3,0,1,1,0,82,52,56,0,1,6,247,0,0,0,0,1,0,6,3,1,4,1,21,4,0,1,5,10,6,46,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0.0050352937541902065,Izak Rankine,0,15760,8,Gold Coast,2020,26,0
5,36,0,1,1,1,2,0,87,43,40,1,1,4,240,3,1,0,0,0,0,1,1,0,2,0,14,3.6,3,0,45,7,6,43,0,0,0,0,10,1,0,0,1,0,0,0,0,0,-0.005461022723466158,Izak Rankine,0,15847,16,Gold Coast,2020,28,0
5,71,0,2,0,1,3,0,90,59,71,0,0,4,159,0,1,0,0,4,1,1,4,1,1,0,11,9.1,0,3,27,8,8,56,0,0,0,0,171,0,1,0,0,0,1,0,0,0,0.022771542891860008,Tom J. Lynch,0,15836,15,Richmond,2020,25,0
5,42,0,2,0,2,0,0,78,45,60,0,1,5,228,2,0,0,0,1,0,2,3,3,6,1,12,3.6,2,0,1,11,7,53,0,1,0,0,75,0,1,0,1,0,0,0,0,0,0.04452768340706825,Hugh McCluggage,0,15810,12,Brisbane Lions,2020,21,0
10,91,1,0,0,0,0,1,84,47,89,0,2,2,302,4,1,0,0,0,0,4,6,0,4,0,12,10.7,1,0,2,6,7,48,0,0,0,0,92,1,0,0,0,0,1,0,0,0,-0.04400603845715523,Jack Sinclair,0,15823,13,St Kilda,2020,44,0
8,62,0,1,2,0,1,0,85,76,78,0,0,3,212,3,1,0,0,0,0,8,7,1,3,0,17,4.4,0,1,41,17,4,41,0,0,0,0,67,1,0,0,0,0,1,0,0,0,-0.045570939779281616,Jarrod Berry,0,15780,10,Brisbane Lions,2020,39,0
18,82,1,3,0,1,3,0,87,84,93,0,0,5,311,4,0,0,0,0,0,10,10,0,3,0,13,9.2,1,0,16,11,10,71,0,0,0,0,23,1,0,0,0,0,0,0,0,1,0.07191776484251022,Jack Scrimshaw,0,15826,14,Hawthorn,2020,10,0
13,93,1,3,0,0,0,0,78,58,50,0,0,2,168,0,1,0,0,0,0,5,5,0,0,1,13,3.1,0,0,18,7,8,55,0,0,0,0,273,1,0,0,0,0,0,0,0,1,-0.024099308997392654,Marc Murphy,0,15719,5,Carlton,2020,41,0
2,50,0,0,0,0,9,0,100,12,49,0,0,0,-36,3,0,2,6,0,0,2,0,0,3,0,2,5.9,0,9,50,5,4,29,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0.01887274719774723,Brandon Zerk-Thatcher,0,15851,17,Essendon,2020,20,0
7,58,0,2,2,1,10,0,75,58,94,1,3,1,165,2,0,0,0,1,0,5,3,1,5,0,10,15.3,0,7,16,8,4,32,0,0,0,0,216,1,0,0,0,0,0,0,1,0,0.07591709494590759,Ben McEvoy,0,15805,11,Hawthorn,2020,18,0
6,60,0,2,0,2,1,0,77,31,51,0,3,4,158,1,2,0,0,1,0,3,0,3,8,0,16,10.9,0,0,3,8,6,44,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0.007221389561891556,Kysaiah Pickett,0,15708,4,Melbourne,2020,25,0
8,53,1,1,0,1,1,0,73,53,74,1,3,4,206,3,0,0,0,0,0,10,3,0,6,1,17,4.6,0,1,0,7,11,73,0,0,0,0,11,0,0,0,0,0,0,0,0,1,9.731060708872974e-4,Noah Anderson,0,15807,11,Gold Coast,2020,32,0
0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54,11,2,23,0,0,0,1,215,1,0,0,1,0,0,0,0,0,-0.005643343087285757,Jack Ziebell,0,15755,7,North Melbourne,2020,28,0
5,56,0,2,0,1,1,0,79,36,42,0,0,0,88,0,0,0,0,0,0,2,1,0,5,2,7,4.9,0,0,8,4,5,34,0,0,0,0,99,1,0,0,1,0,0,0,0,0,-0.015952467918395996,Josh Thomas,0,15839,15,Collingwood,2020,39,0
9,100,3,2,1,2,0,0,88,34,47,0,0,2,165,0,0,0,0,0,0,9,8,0,0,0,9,1.8,0,0,33,3,4,27,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0.013943095691502094,Connor Budarick,0,15817,13,Gold Coast,2020,24,0
8,80,0,1,0,1,2,0,95,36,50,0,0,2,117,4,0,0,1,0,0,4,5,0,2,0,6,4.2,2,2,34,7,7,49,0,0,0,1,193,1,0,0,0,1,0,0,0,0,0.03752225637435913,Ben Stratton,0,15741,5,Hawthorn,2020,18,0
16,84,7,2,1,0,7,0,87,74,100,0,0,3,596,7,0,0,2,0,0,8,13,0,3,0,10,15.9,1,4,19,7,7,49,0,0,0,0,109,1,0,0,0,1,0,0,0,0,-0.08377742022275925,Adam Saad,0,15859,18,Essendon,2020,43,0
23,96,0,0,1,0,1,1,82,78,94,0,2,2,91,6,0,0,0,0,0,5,10,0,5,0,14,12,1,0,30,5,10,65,0,0,0,0,228,0,1,0,0,0,0,0,0,1,0.1827891319990158,Chris Mayne,0,15825,13,Collingwood,2020,9,0
13,72,0,1,1,1,1,1,93,76,104,0,3,11,207,0,3,0,0,6,2,0,8,3,4,1,8,9.8,1,1,47,16,10,76,0,0,3,0,219,0,1,0,1,0,0,0,0,0,0.11259597539901733,Robbie Gray,0,15620,1,Port Adelaide,2020,8,0
27,82,2,4,1,2,6,0,85,145,199,7,5,11,553,0,1,0,0,0,0,5,12,2,6,2,34,27.4,4,0,57,15,16,111,1,1,10,1,139,0,1,0,0,0,1,0,0,0,1.4169683456420898,Marcus Bontempelli,2,15813,12,Western Bulldogs,2020,5,0
7,54,2,2,1,1,1,0,83,47,52,0,0,1,248,3,0,1,2,0,0,6,3,0,2,1,7,0.7,0,0,17,9,9,63,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0.013477887026965618,Connor Budarick,0,15746,6,Gold Coast,2020,21,0
6,50,0,1,1,0,1,0,88,63,91,0,0,3,243,0,0,0,0,3,2,0,5,0,1,2,8,11.7,0,1,66,9,6,45,0,0,0,0,127,1,0,0,1,0,0,0,0,0,-0.07375270128250122,Will Hoskin-Elliott,0,15766,8,Collingwood,2020,42,0
1,33,0,3,1,2,3,0,59,20,52,0,0,0,124,1,1,0,0,1,0,2,1,0,1,0,5,3.6,0,2,32,5,6,41,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2.38688153331168e-4,Joel Amartey,0,15855,17,Sydney,2020,35,0
6,55,0,2,0,0,3,0,76,49,67,0,1,3,74,0,1,0,0,1,0,3,2,1,3,1,13,6.9,1,1,6,9,9,63,0,0,0,0,90,0,1,0,1,0,0,0,0,0,-0.008797608315944672,Anthony McDonald-Tipungwuti,0,15617,1,Essendon,2020,40,0
6,86,0,1,0,0,1,0,83,24,26,0,0,1,126,0,0,0,0,1,0,6,3,0,0,0,14,-0.2,0,1,32,7,11,73,0,0,0,0,24,1,0,0,0,0,1,0,0,0,0.013488633558154106,Tom Atkins,0,15619,1,Geelong,2020,28,0
3,75,0,0,0,0,0,0,71,10,15,0,1,1,4,1,0,0,0,0,0,5,0,0,2,0,13,1.6,0,0,14,11,7,53,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0.003594430396333337,Curtis Taylor,0,15747,6,North Melbourne,2020,33,0
10,77,1,1,0,1,4,0,91,35,48,0,0,2,128,4,0,0,0,0,0,4,4,0,3,0,5,6.6,1,3,57,14,13,92,0,0,0,0,146,0,1,0,0,0,0,0,0,1,-0.010263613425195217,Adam Tomlinson,0,15803,11,Melbourne,2020,27,0
9,69,1,1,1,0,2,0,98,70,106,0,0,2,209,5,0,0,1,0,0,7,7,0,4,0,8,6.6,0,1,12,8,9,62,0,0,0,0,316,0,1,0,0,0,0,0,0,0,0.24350149929523468,Heath Shaw,0,15761,8,Greater Western Sydney,2020,9,0
12,100,0,1,2,1,1,0,82,60,66,0,0,1,88,5,0,0,1,0,0,8,10,0,2,0,9,7.6,0,1,59,9,14,93,0,0,0,0,100,0,1,0,0,0,1,0,0,0,0.03717871010303497,Jake Kolodjashnij,0,15804,11,Geelong,2020,9,0
5,63,0,2,0,1,0,0,84,41,43,0,0,3,97,1,2,0,0,1,1,0,2,1,2,0,4,1.2,0,0,21,10,6,46,0,0,0,0,73,1,0,0,1,0,0,0,0,0,-0.009448127821087837,Mitch Brown,0,15837,15,Melbourne,2020,36,0
9,69,0,2,1,2,1,0,84,53,67,2,1,3,141,2,2,0,0,0,0,6,3,1,5,0,21,10.5,2,0,38,7,14,91,0,0,0,0,46,0,1,0,1,0,0,0,0,0,-0.018599968403577805,Brent Daniels,0,15830,14,Greater Western Sydney,2020,38,0
6,86,0,0,0,0,0,0,76,42,59,0,0,3,239,0,0,1,1,5,2,7,5,0,1,0,13,5.9,0,0,28,7,10,67,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0.003975784406065941,Laitham Vandermeer,0,15701,4,Western Bulldogs,2020,28,0
15,75,5,0,1,0,2,0,85,81,108,0,0,4,373,5,0,0,0,0,0,13,10,0,2,0,17,8.3,2,2,42,9,14,93,1,1,0,0,98,0,1,0,0,0,0,0,0,0,0.2606939673423767,Caleb Daniel,0,15752,7,Western Bulldogs,2020,8,0
22,79,3,4,1,3,0,0,73,78,96,2,2,7,220,1,1,0,0,0,0,4,5,0,2,0,15,4,1,0,16,12,10,72,0,0,4,0,124,0,1,1,0,0,0,0,0,0,1.6355559825897217,Matt Crouch,0,15853,17,Adelaide,2020,3,1
7,88,1,0,0,0,2,0,90,54,79,0,0,4,162,0,1,1,1,2,0,11,4,0,0,0,21,11.4,0,2,24,9,16,105,0,0,0,0,77,0,1,0,0,0,1,0,0,0,-0.02388758584856987,Jason Castagna,0,15615,1,Richmond,2020,40,0
11,69,0,2,2,0,0,0,61,59,69,1,1,3,337,2,0,0,0,0,0,12,4,0,3,0,15,6.2,0,0,20,8,10,68,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0.012961693108081818,Jye Caldwell,0,15753,7,Greater Western Sydney,2020,20,0
3,33,1,4,0,3,2,0,87,57,72,0,2,3,190,1,0,0,0,0,0,6,3,0,1,1,16,6.2,1,2,4,10,5,40,0,0,0,0,135,0,1,0,0,0,1,0,0,0,0.007194450590759516,Levi Casboult,0,15812,12,Carlton,2020,25,0
9,53,6,2,1,1,2,0,86,74,83,1,3,0,225,1,0,0,1,0,0,8,6,0,3,0,12,2.6,0,1,32,4,2,16,0,0,0,0,132,1,0,0,0,0,0,0,0,0,3.743439447134733e-4,Reece Conca,0,15768,8,Fremantle,2020,30,0
17,77,2,5,1,2,1,1,85,71,84,1,0,0,256,1,0,1,1,0,0,7,8,0,3,0,14,4,0,0,52,4,5,34,0,0,0,0,129,1,0,0,0,0,0,0,0,1,0.03425075486302376,Lachie Hunter,0,15616,1,Western Bulldogs,2020,12,0
10,50,0,4,1,1,3,0,79,79,87,1,6,5,275,1,0,1,1,0,0,7,4,2,6,0,17,10.3,0,0,9,7,11,73,0,0,4,0,164,0,1,1,0,0,0,0,0,0,0.46765145659446716,Elliot Yeo,0,15775,9,West Coast,2020,5,0
1,17,0,3,0,1,1,0,68,33,28,0,0,1,115,0,1,0,0,0,0,10,1,1,2,0,19,2.1,0,0,14,9,4,33,0,0,0,0,78,1,0,0,1,0,0,0,0,0,0.00756963063031435,Alex Neal-Bullen,0,15844,16,Melbourne,2020,27,0
