effective_disposals,disposal_efficiency_percentage,rebounds,clangers,free_kicks_for,free_kicks_against,one_percenters,bounces,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,marks_on_lead,pressure_acts,rating_points,score_launches,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
16,84,3,1,1,0,8,0,85,75,108,0,0,2,392,11,0,0,0,0,0,3,9,0,3,0,4,15.9,0,6,5,9,7,51,0,0,3,0,115,0,1,0,0,0,0,0,0,0,0.3589622676372528,Hayden Crozier,0,15760,8,Western Bulldogs,2020,11,0
14,88,1,1,1,0,2,0,80,53,77,0,1,2,137,2,0,0,0,0,0,9,5,2,6,0,11,10.6,0,1,43,6,7,48,0,0,0,0,212,1,0,1,0,0,0,0,0,0,0.009987005963921547,Liam Shiels,0,15757,7,Hawthorn,2020,23,0
3,50,1,0,0,0,0,0,43,33,35,0,1,3,207,0,0,0,0,1,0,2,2,0,1,0,8,1.4,1,0,41,17,4,41,0,0,0,0,56,1,0,0,0,0,1,0,0,0,-0.010480889119207859,Cam Rayner,0,15780,10,Brisbane Lions,2020,35,0
9,82,7,1,1,0,14,0,100,60,92,0,0,1,301,4,0,1,11,0,0,5,7,0,2,1,9,9.9,1,13,16,8,8,56,0,1,0,0,92,1,0,0,0,1,0,0,0,0,-0.04342690110206604,Jacob Weitering,0,15853,17,Carlton,2020,42,0
5,83,0,1,0,1,0,0,68,25,29,1,0,2,134,1,0,0,0,1,0,1,3,0,2,1,5,2.8,0,0,24,6,7,48,0,0,0,0,6,1,0,0,1,0,0,0,0,0,0.006861471105366945,Tom De Koning,0,15832,14,Carlton,2020,27,0
15,88,3,1,0,1,6,0,80,67,115,1,0,4,347,3,0,1,1,0,0,9,7,0,5,0,12,11.7,0,3,3,10,9,64,0,0,0,0,102,0,1,0,0,1,0,0,0,0,0.3204902708530426,Sam Mayes,0,15756,7,Port Adelaide,2020,5,0
11,58,2,4,0,2,1,0,90,69,97,0,5,4,337,3,0,0,1,0,0,13,5,0,9,1,19,9.9,0,0,34,7,6,43,0,0,0,0,58,1,0,0,1,0,0,0,0,0,0.06508594751358032,Oliver Florent,0,15721,5,Sydney,2020,9,0
14,74,1,4,1,2,5,0,85,102,141,1,0,7,320,6,0,1,2,1,1,5,7,0,4,0,11,21,2,3,35,11,12,83,0,0,6,0,34,0,1,0,0,0,0,0,1,0,1.5416179895401,Reilly O'Brien,2,15834,15,Adelaide,2020,2,2
10,67,0,2,0,2,1,1,87,38,66,2,1,1,155,2,0,0,0,1,0,2,4,0,4,1,10,9.7,0,1,8,10,4,34,1,1,0,0,229,0,1,0,1,0,0,0,0,0,0.12624965608119965,Dustin Martin,0,15749,6,Richmond,2020,14,0
1,50,2,1,0,0,0,0,12,13,11,0,0,0,77,1,0,1,1,0,0,2,1,0,1,0,3,1,0,0,12,1,10,61,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0.010115285404026508,Aaron Francis,0,15820,13,Essendon,2020,28,0
