kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,prev_season_br_votes,prev_season_games_polled,rolling_avg_votes_per_game,rolling_avg_games_polled,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcome_Loss,match_outcome_Win,player_position_BPR,player_position_C,player_position_CHB,player_position_CHF,player_position_FB,player_position_FF,player_position_FPL,player_position_FPR,player_position_HBFL,player_position_HBFR,player_position_HFFL,player_position_HFFR,player_position_INT,player_position_R,player_position_RK,player_position_RR,player_position_SUB,player_position_WL,player_position_WR,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
8,3,1,9,6,67,2,1,0,2,0,2,0,2,3,1,4,5,0,1,2,0,0,49,56,53,0,0,5,299,2,2,0,0,0,2,0,1,5,0,1,0,0,0,0,6,7.1,0,1,3,2,25,14,11,80,0,0,0,0,82,0,0,0.01282051282051282,0.01282051282051282,0.017977528089887642,0.01775147928994083,0.0033222591362126247,0.012064343163538873,0.08,0.038461538461538464,0.02531645569620253,0.017543859649122806,0,0.014035087719298246,0.011494252873563218,0,0.038461538461538464,0,0.014184397163120567,0.047619047619047616,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.7732904204167426e-4,Oscar McDonald,0,15875,1,Carlton,2021,27,0
6,4,4,10,7,70,2,1,0,1,0,1,0,3,1,0,2,9,0,2,2,0,0,72,56,57,0,0,6,159,3,0,1,0,0,5,0,0,3,1,1,0,0,0,2,5,2,0,0,4,1,25,15,15,105,0,0,0,0,96,0,0,0.012048192771084338,0.012048192771084338,0.01348314606741573,0.023668639053254437,0.013289036544850499,0.013404825737265416,0.08,0.038461538461538464,0.012658227848101266,0.008771929824561403,0,0.007017543859649123,0.020689655172413793,0,0.07692307692307693,0,0.02127659574468085,0.06349206349206349,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0030952910892665386,Daniel Rioli,0,15875,1,Richmond,2021,17,0
11,5,3,14,12,86,0,0,0,1,9,0,1,2,0,1,3,5,1,0,11,2,0,90,55,67,0,1,1,409,3,3,0,2,5,0,0,5,9,0,1,0,0,1,0,6,7.4,0,1,0,11,25,14,11,80,0,1,0,0,94,1,1,0.021505376344086023,0.021505376344086023,0.024719101123595506,0.029585798816568046,0.009966777408637873,0.01876675603217158,0,0,0.012658227848101266,0,0.013513513513513514,0.010526315789473684,0.011494252873563218,0.058823529411764705,0,0,0.02127659574468085,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003451540134847164,Jacob Weitering,0,15875,1,Carlton,2021,16,0
4,3,5,9,7,78,0,0,34,0,3,0,2,1,1,0,2,5,0,0,5,0,0,87,66,85,0,2,5,70,0,3,0,0,0,0,0,3,2,0,1,12,44.7,3,0,9,13,76,3,0,5,25,14,11,80,0,0,0,0,21,0,0,0,0,0.008988764044943821,0.01775147928994083,0.016611295681063124,0.012064343163538873,0,0,0,0,0.02702702702702703,0.007017543859649123,0.011494252873563218,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0032863719388842583,Marc Pittonet,0,15875,1,Carlton,2021,38,0
21,5,2,23,18,78,0,0,0,3,9,4,0,2,0,0,2,12,1,0,2,0,0,88,94,100,0,0,3,716,2,2,0,0,1,0,0,6,16,0,1,0,0,1,0,11,8.4,0,0,0,1,25,15,15,105,0,0,0,0,93,3,2,0.04819277108433735,0.03614457831325301,0.04719101123595506,0.029585798816568046,0.006644518272425249,0.030831099195710455,0,0,0.0379746835443038,0.03508771929824561,0,0.007017543859649123,0.027586206896551724,0.058823529411764705,0,0,0.014184397163120567,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.06356360763311386,Jayden Short,0,15875,1,Richmond,2021,44,0
8,4,5,13,7,54,2,2,0,0,0,2,0,0,0,0,2,9,0,2,3,2,0,84,60,54,0,0,4,188,3,0,0,0,0,3,1,4,2,1,2,0,0,0,1,15,8,0,0,5,2,25,15,15,105,0,0,0,0,98,0,0,0.023529411764705882,0.011764705882352941,0.017977528089887642,0.023668639053254437,0.016611295681063124,0.01742627345844504,0.08,0.07692307692307693,0,0.017543859649122806,0,0.007017543859649123,0.020689655172413793,0,0.07692307692307693,0,0.02127659574468085,0.07936507936507936,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-6.941548781469464e-5,Jason Castagna,0,15875,1,Richmond,2021,28,0
4,3,5,9,9,100,0,0,0,0,1,0,0,1,0,1,5,5,0,0,6,0,0,70,28,45,0,0,4,120,0,5,0,0,4,0,0,3,4,0,5,0,0,0,0,7,9,0,3,0,6,25,15,15,105,0,0,0,0,71,0,0,0,0,0.008988764044943821,0.01775147928994083,0.016611295681063124,0.012064343163538873,0,0,0,0,0,0.017543859649122806,0.011494252873563218,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0025590090081095695,Nathan Broad,0,15875,1,Richmond,2021,19,0
12,3,3,15,12,80,0,0,0,1,5,0,1,2,1,0,3,11,0,0,2,0,0,74,56,52,0,1,5,311,2,3,0,0,3,0,0,11,9,0,2,0,0,0,0,12,3.7,0,2,0,2,25,14,11,80,0,0,0,0,81,0,0,0.075,0.0375,0.02696629213483146,0.01775147928994083,0.009966777408637873,0.020107238605898123,0,0,0.012658227848101266,0,0.013513513513513514,0.010526315789473684,0.02528735632183908,0,0,0,0.014184397163120567,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.03173326049e-4,Sam Petrevski-Seton,0,15875,1,Carlton,2021,29,0
8,3,4,12,9,75,0,0,0,0,2,2,0,1,0,1,3,10,0,0,1,0,1,81,38,52,0,0,6,279,2,4,0,0,0,0,0,12,6,0,3,0,0,0,0,16,7.9,0,1,0,0,25,14,11,80,0,0,0,0,33,0,0,0,0,0.017977528089887642,0.01775147928994083,0.013289036544850499,0.0160857908847185,0,0,0,0.017543859649122806,0,0.010526315789473684,0.022988505747126436,0,0,0.047619047619047616,0.014184397163120567,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-4.03173326049e-4,Tom Williamson,0,15875,1,Carlton,2021,30,0
10,3,10,20,13,65,0,2,0,1,0,4,1,4,0,0,10,13,2,1,1,0,1,79,65,73,1,0,8,281,4,1,0,0,0,0,0,5,5,4,7,0,0,0,0,12,8.6,0,0,2,0,25,14,11,80,0,0,0,0,64,1,1,0.015873015873015872,0.015873015873015872,0.02247191011235955,0.01775147928994083,0.03322259136212625,0.02680965147453083,0,0.07692307692307693,0.012658227848101266,0.03508771929824561,0.013513513513513514,0.03508771929824561,0.029885057471264367,0.11764705882352941,0.038461538461538464,0.047619047619047616,0.028368794326241134,0.031746031746031744,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.001512813614681363,Zac Fisher,0,15875,1,Carlton,2021,32,0
