effective_disposals,disposal_efficiency_percentage,clangers,free_kicks_for,free_kicks_against,one_percenters,bounces,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,intercepts,tackles_inside_fifty,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,intercept_marks,marks_on_lead,pressure_acts,rating_points,score_launches,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
11,65,4,2,0,0,0,83,70,61,1,1,6,407,2,0,6,9,1,2,1,0,6,5.3,2,0,97,10,21,136,0,0,0,0,109,0,1,0,0,1,0,0,0,0,0.0476619116961956,Jed Bews,0,15921,6,Geelong,2021,17,0
10,67,4,1,0,2,0,79,62,59,0,0,2,128,3,0,12,4,0,3,0,0,16,3.5,0,2,21,7,14,91,0,0,0,0,117,1,0,0,0,1,0,0,0,0,0.001713167643174529,Darcy Byrne-Jones,0,16009,13,Port Adelaide,2021,31,0
13,59,4,0,0,1,1,89,81,79,0,2,3,107,2,0,19,3,0,6,0,0,26,2,0,1,20,4,13,82,0,0,0,0,228,1,0,0,0,0,0,0,0,1,0.04745282977819443,Jack Redden,0,15905,4,West Coast,2021,26,0
18,78,4,1,2,3,1,86,106,77,0,0,3,279,3,0,6,15,0,2,1,0,6,0.4,1,1,27,7,16,103,0,0,0,0,19,0,1,0,0,1,0,0,0,0,-0.10006697475910187,Josh Rotham,0,15912,5,West Coast,2021,44,0
17,65,1,2,0,3,0,74,115,120,2,1,8,304,2,0,11,8,3,6,1,1,20,12.5,3,1,15,9,12,81,0,0,0,0,180,1,0,0,0,0,1,0,0,0,0.45026150345802307,Chad Wingard,0,15910,4,Hawthorn,2021,8,0
20,83,4,2,2,16,1,100,94,160,0,0,2,445,13,0,4,17,0,3,6,0,5,16.9,2,16,6,12,8,60,0,0,0,0,77,1,0,0,0,0,0,0,0,0,0.5249479413032532,Dougal Howard,0,16016,13,St Kilda,2021,8,0
9,75,4,3,1,2,0,92,67,59,0,2,5,94,2,1,3,3,3,3,0,1,8,2.4,1,2,38,9,8,57,0,0,0,0,189,1,0,0,1,0,0,0,0,0,0.0013904811348766088,Tom J. Lynch,0,16068,19,Richmond,2021,29,0
23,82,1,3,1,2,0,78,110,150,4,3,12,517,6,0,7,11,2,8,2,0,15,29.5,4,1,14,17,12,89,0,0,9,0,246,0,1,1,0,0,0,0,0,0,2.7725157737731934,Callan Ward,0,16102,23,Greater Western Sydney,2021,1,3
10,67,1,1,0,2,0,75,66,62,0,0,4,290,4,0,7,6,0,3,0,0,10,6.1,0,2,9,13,8,61,0,0,0,0,37,1,0,0,0,0,0,0,0,0,-0.0025596267078071833,John Noble,0,16041,16,Collingwood,2021,33,0
4,50,5,1,1,3,0,74,31,43,3,1,2,139,0,0,2,2,0,4,0,0,8,5.3,2,3,44,8,7,50,0,0,0,0,47,1,0,1,0,0,0,0,0,0,-0.02261040173470974,Esava Ratugolea,0,16025,15,Geelong,2021,39,0
12,57,5,1,1,3,0,97,90,86,0,0,3,472,13,0,1,8,0,3,9,0,1,5.1,2,3,11,16,9,70,0,0,4,0,146,0,1,0,0,1,0,0,0,0,0.30648523569107056,Liam Jones,0,15906,4,Carlton,2021,13,0
16,76,2,2,1,2,0,85,119,144,3,2,7,219,5,0,4,6,1,6,1,0,8,28.9,4,1,24,13,7,55,0,0,0,0,158,1,0,0,0,0,0,0,1,0,0.6015292406082153,Brodie Grundy,0,15930,7,Collingwood,2021,8,0
6,100,0,2,0,1,0,74,40,53,1,1,1,80,1,0,7,2,0,3,0,0,9,7.8,1,1,92,8,3,26,0,0,0,0,74,1,0,0,0,0,0,0,1,0,-0.006804175674915314,Nathan Vardy,0,16040,16,West Coast,2021,32,0
7,54,5,1,3,2,2,87,40,34,0,1,4,239,2,0,6,4,0,2,0,0,10,-0.1,2,2,7,6,16,102,0,0,0,0,19,1,0,0,0,0,0,0,0,1,-0.004086898639798164,Nik Cox,0,16076,20,Essendon,2021,35,0
11,85,1,2,1,0,0,77,54,78,1,2,3,197,8,0,9,6,2,5,4,0,9,13.4,2,0,28,12,15,102,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0.0010713508818298578,James Madden,0,15956,10,Brisbane Lions,2021,30,0
10,83,0,0,0,1,0,80,61,71,0,1,1,136,3,0,5,6,0,3,1,0,8,7.6,0,1,24,11,14,95,0,0,2,0,31,0,1,0,0,0,0,0,0,0,0.0907585471868515,Brandon Starcevich,0,15946,8,Brisbane Lions,2021,12,0
9,69,1,0,0,0,0,78,75,75,0,0,5,213,1,1,6,5,2,3,0,0,13,10.4,0,0,39,10,16,106,0,0,0,0,208,0,1,0,0,0,1,0,0,0,0.1148722916841507,Matt de Boer,0,16088,22,Greater Western Sydney,2021,11,0
21,81,2,0,0,1,0,83,111,106,0,0,4,718,2,0,6,15,0,1,1,0,10,12.5,3,1,20,14,8,62,0,0,4,0,229,0,1,0,0,0,0,0,0,1,0.7361888885498047,Isaac Smith,0,16072,20,Geelong,2021,5,0
6,55,1,0,1,0,0,77,54,54,0,0,4,133,3,2,1,2,4,4,0,0,14,9.6,1,0,27,10,15,100,0,0,0,0,91,0,1,0,0,0,1,0,0,0,0.01965785212814808,Orazio Fantasia,0,16078,20,Port Adelaide,2021,19,0
19,76,2,1,0,1,0,82,104,127,0,0,5,641,4,0,4,17,0,2,1,1,5,7.6,1,0,44,16,13,94,1,1,5,0,236,0,1,0,0,1,0,0,0,0,1.6008234024047852,Daniel Rich,0,16025,15,Brisbane Lions,2021,3,1
15,79,2,2,1,0,1,83,84,88,0,0,4,356,6,0,5,7,0,6,1,1,26,11.9,1,0,18,10,11,76,0,0,0,0,62,1,0,0,1,0,0,0,0,0,0.0060561588034033775,Jaidyn Stephenson,0,15941,8,North Melbourne,2021,26,0
10,56,4,0,1,2,0,80,74,66,0,1,8,296,4,0,12,4,0,5,0,0,25,12.1,2,1,4,15,6,51,0,0,0,0,126,1,0,1,0,0,0,0,0,0,-0.03220099210739136,Kane Lambert,0,16077,20,Richmond,2021,38,0
19,79,1,1,0,2,0,85,98,103,0,1,10,264,0,1,4,6,1,3,0,0,21,16.3,0,1,2,11,11,77,0,0,7,0,119,1,0,0,0,0,1,0,0,0,1.227238655090332,Kane Lambert,0,15903,4,Richmond,2021,3,1
16,80,4,2,3,0,0,79,84,78,0,1,4,345,6,0,9,13,0,5,1,0,11,5.4,2,0,49,15,12,87,0,0,0,0,79,0,1,0,0,1,0,0,0,0,-0.00235642003826797,Ryan Burton,0,15943,8,Port Adelaide,2021,39,0
18,86,6,0,2,2,0,88,83,84,0,0,1,425,7,0,7,12,0,4,2,0,7,2.3,1,1,22,10,8,58,0,0,0,0,67,1,0,0,0,1,0,0,0,0,0.03265901654958725,Luke Ryan,0,15877,1,Fremantle,2021,17,0
14,78,1,1,0,0,0,86,84,94,3,2,3,272,0,1,18,10,1,5,0,1,28,10.7,1,0,5,6,12,78,0,0,0,0,47,0,1,1,0,0,0,0,0,0,0.09007784724235535,Josh Daicos,0,15999,12,Collingwood,2021,15,0
13,77,1,0,0,3,0,77,80,95,0,2,9,261,1,1,0,5,2,6,0,2,11,7.8,1,1,10,11,12,83,0,0,0,0,9,0,1,0,0,0,1,0,0,0,-0.006001080386340618,Matthew Owies,0,16033,15,Carlton,2021,29,0
7,78,0,1,0,1,0,70,33,57,0,0,7,78,2,0,1,2,3,4,0,1,6,5.8,1,0,18,14,13,92,0,0,0,0,10,0,1,0,1,0,0,0,0,0,-0.010919846594333649,Alec Waterman,0,16057,18,Essendon,2021,30,0
11,79,4,1,1,2,0,86,44,51,0,0,2,160,8,0,7,3,0,4,2,0,9,7.6,1,2,1,13,13,91,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0.009241735562682152,Aaron Francis,0,15879,1,Essendon,2021,22,0
3,38,5,1,1,3,0,65,42,40,1,0,2,153,0,1,1,2,0,2,0,1,8,5.1,1,2,10,10,10,70,0,0,0,0,9,0,1,0,1,0,0,0,0,0,0.02015446498990059,Tristan Xerri,0,16051,17,North Melbourne,2021,22,0
15,68,5,0,1,1,0,84,86,79,0,0,8,224,1,0,6,7,0,4,1,0,14,3,1,0,45,12,10,72,0,0,0,0,118,1,0,1,0,0,0,0,0,0,0.025512846186757088,Kane Lambert,0,15896,3,Richmond,2021,18,0
13,68,6,0,2,2,0,76,99,126,0,1,2,181,4,1,7,4,2,8,2,0,18,14.2,0,2,9,13,8,61,0,0,0,0,164,1,0,0,0,0,0,0,1,0,0.5702832937240601,Brodie Grundy,0,16041,16,Collingwood,2021,8,0
10,59,2,2,0,2,0,85,74,83,0,1,8,321,4,1,0,6,2,4,0,0,8,6.8,3,2,97,10,21,136,0,0,0,0,52,0,1,0,1,0,0,0,0,0,-0.08580610901117325,Gryan Miers,0,15921,6,Geelong,2021,43,0
18,78,4,1,1,8,0,100,84,103,0,1,3,463,5,0,2,11,0,5,2,0,4,5.9,2,7,2,13,11,79,1,1,2,0,68,0,1,0,0,0,0,0,0,0,0.6482380628585815,Aliir Aliir,0,15903,4,Port Adelaide,2021,6,0
7,78,3,1,2,8,1,91,42,44,0,0,0,30,3,0,5,4,0,1,0,0,6,1.4,0,8,20,8,10,68,0,0,1,0,26,1,0,0,0,0,0,0,0,0,0.23793567717075348,Ben McKay,0,15982,11,North Melbourne,2021,9,0
8,57,7,1,1,2,0,75,50,34,0,0,3,292,3,0,8,6,0,3,0,0,18,0.3,2,1,9,13,8,61,0,0,0,0,9,1,0,0,0,0,0,0,0,1,0.010991169139742851,Caleb Poulter,0,16041,16,Collingwood,2021,24,0
11,92,1,1,0,7,0,89,48,67,0,0,2,213,7,0,6,7,0,4,2,0,9,6.6,1,7,64,6,8,54,0,0,0,0,61,1,0,0,0,1,0,0,0,0,-0.012591689825057983,Alex Pearce,0,16086,21,Fremantle,2021,38,0
7,100,0,0,0,0,1,73,57,54,0,0,4,105,1,1,13,3,0,3,0,0,27,11.1,1,0,30,10,16,106,0,0,0,0,18,0,1,0,0,0,0,0,0,1,-0.040278710424900055,Jamaine Jones,0,15955,9,West Coast,2021,38,0
17,81,5,2,2,3,0,90,70,70,0,2,6,190,2,0,3,9,1,3,0,0,9,7.9,0,0,7,16,14,100,0,0,0,0,140,0,1,0,0,0,0,0,0,1,0.012015607208013535,Lachie Hunter,0,15891,2,Western Bulldogs,2021,29,0
21,75,0,2,0,1,3,82,111,114,4,1,13,592,3,1,4,13,0,6,0,0,16,16,3,0,25,11,12,83,0,0,8,0,67,0,1,1,0,0,0,0,0,0,1.8101106882095337,Tim Kelly,0,15883,1,West Coast,2021,1,3
5,42,3,2,1,1,0,96,63,63,0,1,6,230,0,0,2,4,2,2,0,1,4,7.5,0,0,39,9,19,123,0,0,0,0,295,0,1,0,1,0,0,0,0,0,0.017929131165146828,Jack Riewoldt,0,16000,12,Richmond,2021,24,0
17,74,2,4,1,0,0,85,80,108,3,3,6,439,3,0,4,9,2,8,1,0,12,11.3,4,0,17,9,9,63,1,1,0,0,112,1,0,1,0,0,0,0,0,0,0.11405381560325623,Clayton Oliver,0,16019,13,Melbourne,2021,11,0
16,84,1,1,0,1,0,76,85,72,0,0,3,133,3,0,11,10,0,0,1,0,12,3.7,1,1,18,8,11,74,0,0,0,0,231,1,0,0,0,1,0,0,0,0,-0.108843132853508,Shaun Atley,0,16057,18,North Melbourne,2021,43,0
7,70,4,2,1,0,0,85,64,53,0,2,4,287,1,0,2,5,1,3,0,0,11,7.9,1,0,22,9,11,75,0,1,0,0,139,1,0,0,1,0,0,0,0,0,0.047609589993953705,Charlie Cameron,0,15997,12,Brisbane Lions,2021,18,0
14,61,5,0,0,0,3,92,93,110,2,4,6,571,1,0,5,8,2,10,0,0,13,22.9,2,0,4,9,12,81,0,0,1,0,256,1,0,0,1,0,0,0,0,0,0.5393356084823608,Dustin Martin,0,16018,13,Richmond,2021,7,0
12,75,2,0,0,2,0,87,83,100,0,0,5,212,2,0,2,6,4,7,0,1,16,14,0,2,29,9,14,93,0,0,8,0,60,0,1,0,0,0,1,0,0,0,1.492265224456787,Jack Higgins,0,16083,21,St Kilda,2021,3,1
4,80,0,0,0,2,0,82,23,43,0,0,3,65,2,0,2,3,1,3,0,0,9,10,1,0,13,12,12,84,0,0,0,0,162,1,0,0,0,0,1,0,0,0,0.002454881090670824,Jason Johannisen,0,16085,21,Western Bulldogs,2021,21,0
9,100,1,1,1,0,0,85,52,68,0,0,1,61,0,1,3,5,2,4,0,1,7,11.9,0,0,1,10,8,58,0,0,0,0,17,1,0,0,0,0,1,0,0,0,0.002825407311320305,Darcy Cameron,0,15977,10,Collingwood,2021,35,0
7,78,5,0,3,0,0,70,56,38,0,0,4,193,0,3,4,6,0,0,0,0,12,3,0,0,49,14,5,44,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0.03220028057694435,Boyd Woodcock,0,15933,7,Port Adelaide,2021,19,0
9,69,4,0,2,0,3,65,41,57,1,0,1,396,4,0,3,6,0,3,1,1,6,8.4,1,0,45,12,10,72,0,0,0,0,111,1,0,0,0,0,0,0,0,1,0.02052292227745056,Kamdyn McIntosh,0,15896,3,Richmond,2021,19,0
5,63,4,1,2,1,0,84,45,40,0,0,6,110,1,1,0,3,1,1,0,2,10,0.9,1,0,62,16,17,118,0,0,0,0,135,0,1,0,1,0,0,0,0,0,0.007962549105286598,Josh Bruce,0,15913,5,Western Bulldogs,2021,25,0
10,56,3,1,0,0,0,75,67,66,0,0,4,235,1,2,1,2,3,6,0,0,15,8,0,0,38,5,14,89,0,0,0,0,187,0,1,0,0,1,0,0,0,0,-0.002546999603509903,Chad Wingard,0,16014,13,Hawthorn,2021,30,0
8,100,4,0,3,3,0,98,22,27,0,0,1,1,5,0,4,3,0,3,2,0,4,3,1,2,19,7,15,97,0,0,0,0,130,0,1,0,0,0,0,0,0,0,-0.007786349393427372,Kyle Hartigan,0,16084,21,Hawthorn,2021,37,0
22,88,1,1,0,5,0,84,102,114,0,0,5,462,9,0,1,16,0,5,3,0,3,13.6,4,3,2,16,12,88,1,1,0,0,93,1,0,0,0,1,0,0,0,0,0.5508254766464233,Tom Stewart,0,15934,7,Geelong,2021,6,0
13,81,2,1,1,0,0,87,74,67,0,0,3,171,2,0,3,11,0,2,0,1,6,2.4,1,0,10,11,12,83,0,0,0,1,122,0,1,0,0,1,0,0,0,0,-0.0476391464471817,Sam Docherty,0,16033,15,Carlton,2021,42,0
13,81,0,3,0,1,0,82,52,56,0,0,1,227,4,0,4,6,0,2,0,0,5,3.3,0,0,16,9,10,69,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0.0284153800457716,Anthony Scott,0,15876,1,Western Bulldogs,2021,25,0
13,77,4,0,0,6,0,73,72,81,0,1,4,295,6,0,9,6,0,4,3,0,12,11.9,2,4,2,13,11,79,0,0,0,0,186,0,1,0,0,1,0,0,0,0,-0.008321226574480534,Hamish Hartlett,0,15903,4,Port Adelaide,2021,34,0
14,67,3,2,0,0,0,72,74,85,0,1,5,309,4,1,5,7,4,7,0,0,8,10.1,1,0,13,13,10,73,0,0,0,0,33,1,0,0,0,0,1,0,0,0,0.08736985921859741,James Cousins,0,16024,14,Hawthorn,2021,19,0
10,77,3,3,2,3,0,94,95,126,0,0,7,317,1,2,0,8,0,4,0,1,9,20,1,2,10,7,10,67,0,0,0,0,186,1,0,0,1,0,0,0,0,0,0.8822051286697388,Tom J. Lynch,0,16034,16,Richmond,2021,5,0
15,68,6,1,1,2,0,84,85,66,1,2,4,328,3,0,5,6,0,4,0,1,14,9.2,2,0,15,9,12,81,0,0,0,0,46,1,0,0,0,1,0,0,0,0,-5.028890445828438e-4,Harry Morrison,0,15910,4,Hawthorn,2021,31,0
9,82,0,3,0,1,0,86,69,96,0,2,7,114,3,1,0,7,1,2,3,0,5,14.6,5,1,19,6,12,78,0,0,0,0,27,1,0,0,0,0,1,0,0,0,0.04868875443935394,Darcy Cameron,0,16084,21,Collingwood,2021,20,0
9,82,3,0,1,10,0,95,32,53,0,0,0,53,6,0,3,3,0,4,1,0,3,10.1,0,10,9,9,9,63,0,0,0,0,20,1,0,0,0,0,0,0,0,0,-0.003469631541520357,Caleb Graham,0,16028,15,Gold Coast,2021,29,0
16,76,3,3,2,1,0,80,87,96,1,2,6,174,1,1,7,8,0,5,0,1,19,13.6,0,0,5,9,10,69,0,0,0,1,313,0,1,1,0,0,0,0,0,0,0.5317614078521729,Joel Selwood,0,15901,3,Geelong,2021,7,0
12,100,3,2,1,6,0,89,63,83,0,0,1,92,8,0,7,7,0,2,4,0,7,10.8,1,6,9,10,9,64,0,0,0,0,182,0,1,0,0,0,0,0,0,0,0.038733553141355515,Phil Davis,0,16036,16,Greater Western Sydney,2021,22,0
8,80,2,2,1,1,0,79,47,49,0,2,2,24,0,0,3,0,0,0,0,0,10,4.9,0,1,29,7,7,49,0,0,0,1,224,1,0,0,0,0,0,0,1,0,-0.03117286041378975,Ben McEvoy,0,15890,2,Hawthorn,2021,40,0
12,63,4,0,1,2,0,85,57,72,0,1,1,326,7,0,6,8,0,9,1,0,9,10.7,0,2,28,9,13,87,0,0,0,0,20,0,1,0,0,1,0,0,0,0,0.028458502143621445,Trent Rivers,0,15979,11,Melbourne,2021,17,0
5,63,3,1,0,0,0,75,39,39,0,0,2,124,1,0,2,3,0,2,0,0,7,3.3,0,0,44,6,8,54,0,0,0,0,123,1,0,0,1,0,0,0,0,0,-0.0016897264868021011,Josh Walker,0,16105,23,North Melbourne,2021,32,0
13,87,2,0,2,0,0,77,67,103,1,2,5,129,5,0,7,4,0,5,2,0,17,15.1,4,0,45,12,10,72,0,0,0,0,85,1,0,0,0,0,0,0,1,0,-0.08759823441505432,Toby Nankervis,0,15896,3,Richmond,2021,45,0
15,60,7,0,0,1,0,70,113,89,1,5,2,484,3,1,14,8,2,7,1,0,28,7.2,0,0,1,5,10,65,0,0,0,0,56,0,1,0,0,0,1,0,0,0,0.5868955254554749,Brayden Fiorini,0,16048,17,Gold Coast,2021,9,0
7,78,2,3,0,1,0,74,46,50,0,3,3,173,1,2,5,4,0,2,0,0,30,7.1,2,0,11,13,11,79,0,0,0,0,19,1,0,0,0,1,0,0,0,0,0.07049210369586945,Sam Flanders,0,16055,18,Gold Coast,2021,12,0
14,88,2,1,2,4,0,100,54,71,0,0,4,302,5,0,5,9,0,3,2,0,6,10.1,1,4,13,13,8,61,0,0,0,0,58,1,0,0,0,0,0,0,0,0,-0.02784392237663269,Callum Wilkie,0,16054,18,St Kilda,2021,40,0
23,70,4,3,1,1,1,76,128,112,2,3,7,541,4,1,10,10,2,6,0,0,22,8.9,2,1,52,11,9,65,0,0,4,0,55,1,0,0,0,0,1,0,0,0,0.8356130719184875,Jaidyn Stephenson,0,15881,1,North Melbourne,2021,5,0
31,82,5,0,1,1,0,82,115,119,1,4,5,390,6,0,9,12,0,5,1,0,16,13.4,0,1,33,8,8,56,0,0,2,0,48,1,0,1,0,0,0,0,0,0,1.4152753353118896,Luke Davies-Uniacke,0,16081,21,North Melbourne,2021,2,2
5,42,4,3,2,4,0,89,57,60,0,0,3,105,1,0,3,3,2,4,0,2,8,3.7,0,4,7,9,13,87,0,0,0,0,38,0,1,0,1,0,0,0,0,0,-0.0016522789373993874,Nick Larkey,0,15949,9,North Melbourne,2021,31,0
6,50,8,4,6,5,0,80,50,91,1,4,2,203,1,0,7,3,0,2,0,0,14,11.2,2,5,20,8,13,86,0,0,0,0,72,1,0,0,0,0,0,0,1,0,0.04353023320436478,Oscar McInerney,0,16053,18,Brisbane Lions,2021,15,0
10,91,0,1,0,6,0,83,59,85,1,5,4,-6,2,0,6,3,0,6,0,0,17,15.9,3,4,21,8,10,68,0,0,0,0,188,0,1,0,0,0,0,0,0,0,0.029428008943796158,Mark Blicavs,0,15947,9,Geelong,2021,20,0
26,67,4,1,2,1,0,85,144,171,2,4,3,610,10,0,24,13,1,15,1,0,40,16.5,2,0,0,7,12,79,0,1,10,0,145,0,0,1,0,0,0,0,0,0,2.195474147796631,Tom Mitchell,0,16056,18,Hawthorn,2021,2,2
5,63,2,0,2,3,0,89,31,33,0,0,0,75,1,0,11,3,0,2,0,0,17,1.7,0,3,22,10,8,58,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0.01742502674460411,Tobe Watson,0,15877,1,Fremantle,2021,20,0
15,83,2,0,0,3,0,89,71,67,0,0,4,159,6,0,4,8,0,6,0,0,4,6.1,2,3,16,15,13,93,0,0,1,0,12,0,1,0,0,0,0,0,0,0,0.08867218345403671,Connor Idun,0,15962,10,Greater Western Sydney,2021,14,0
17,100,1,1,1,9,0,98,82,91,0,0,4,129,9,0,4,13,0,2,6,0,4,12.8,2,9,73,10,19,124,0,0,2,0,122,0,1,0,0,0,0,0,0,0,0.4195166230201721,Harris Andrews,0,15950,9,Brisbane Lions,2021,5,0
17,61,11,3,5,1,0,87,110,140,3,4,10,355,4,0,13,9,4,12,0,0,26,17.1,5,1,26,16,13,94,1,1,10,0,108,0,1,1,0,0,0,0,0,0,2.638923406600952,Clayton Oliver,0,15954,9,Melbourne,2021,1,3
22,82,3,0,0,4,0,75,119,107,0,7,4,294,3,2,11,7,1,6,0,2,31,15.7,0,0,38,9,7,51,0,0,0,0,271,1,0,1,0,0,0,0,0,0,0.3002072274684906,Josh P. Kennedy,0,16014,13,Sydney,2021,9,0
17,85,1,0,0,6,0,89,78,95,0,0,2,144,12,0,7,10,0,6,6,0,10,12.4,1,3,50,7,4,31,0,0,0,0,48,1,0,0,0,0,0,0,0,0,0.004267420619726181,Wil Powell,0,16021,14,Gold Coast,2021,32,0
6,100,1,1,1,2,0,97,56,65,0,0,4,207,0,1,0,6,0,0,0,3,5,12.3,0,2,10,13,12,85,0,0,0,0,34,1,0,0,1,0,0,0,0,0,0.20947344601154327,Ben King,0,15895,3,Gold Coast,2021,9,0
8,62,1,0,0,2,0,81,68,90,0,0,8,198,0,0,2,6,0,2,0,2,9,5.2,0,2,10,11,12,83,0,0,0,0,117,0,1,0,1,0,0,0,0,0,-0.0010095657780766487,Jack Martin,0,16033,15,Carlton,2021,21,0
8,67,6,0,3,1,0,57,26,27,0,1,0,165,1,0,9,1,0,5,0,0,16,3.2,0,0,2,11,11,77,0,0,0,0,1,1,0,1,0,0,0,0,0,0,-0.02979116700589657,Will Martyn,0,15903,4,Richmond,2021,41,0
10,77,1,1,0,1,1,81,43,53,0,1,1,172,5,0,12,3,0,6,0,0,17,8.2,0,0,31,7,8,55,0,0,0,0,121,1,0,0,0,1,0,0,0,0,0.0031691971234977245,Darcy Byrne-Jones,0,16043,17,Port Adelaide,2021,26,0
19,79,2,1,1,0,0,81,101,128,0,4,9,279,2,1,3,9,3,6,0,2,12,14.8,1,0,9,18,9,72,0,0,6,0,57,0,1,0,0,0,1,0,0,0,2.1121864318847656,Cameron Zurhaar,0,16028,15,North Melbourne,2021,3,1
13,72,4,2,1,4,0,85,79,80,0,0,2,325,7,0,5,8,0,5,1,0,8,5.5,1,4,22,12,11,78,0,0,0,0,56,1,0,0,0,0,0,0,0,0,-0.028245525434613228,Nic Newman,0,15986,11,Carlton,2021,40,0
11,85,0,0,0,2,0,83,78,78,0,0,3,290,5,0,16,8,0,1,1,0,18,10.9,2,2,0,7,12,79,0,0,0,0,402,0,0,0,0,1,0,0,0,0,-0.004155672155320644,Shaun Burgoyne,0,16056,18,Hawthorn,2021,35,0
7,58,4,2,0,3,0,90,83,72,2,4,2,196,3,1,3,2,0,2,2,0,11,3.1,1,3,23,14,9,68,0,0,0,0,68,0,1,0,0,0,0,0,1,0,-0.10536229610443115,Oscar McInerney,0,16022,14,Brisbane Lions,2021,44,0
15,75,2,2,1,2,0,73,67,65,1,0,7,204,3,0,5,4,0,4,0,0,13,6.6,2,1,49,11,10,71,0,0,0,0,24,1,0,1,0,0,0,0,0,0,-0.009197383187711239,Will Brodie,0,16063,19,Gold Coast,2021,36,0
