kicks,kicks_prop,marks,marks_prop,handballs,handballs_prop,disposals,disposals_prop,effective_disposals,disposal_efficiency_percentage,goals,goals_prop,behinds,behinds_prop,tackles,tackles_prop,rebounds,inside_fifties,inside_fifties_prop,clearances,clearances_prop,clangers,free_kicks_for,free_kicks_against,contested_possessions,contested_possessions_prop,uncontested_possessions,uncontested_possessions_prop,contested_marks,contested_marks_prop,marks_inside_fifty,marks_inside_fifty_prop,one_percenters,bounces,goal_assists,goal_assists_prop,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers_prop,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,intercept_marks,marks_on_lead,pressure_acts,rating_points,score_launches,shots_at_goal,shots_at_goal_prop,spoils,margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
5,0.012195121951219513,0,0,3,0.01293103448275862,8,0.012461059190031152,4,50,0,0,0,0,1,0.008771929824561403,0,4,0.0380952380952381,4,0.05405405405405406,5,1,1,6,0.023166023166023165,1,0.0027247956403269754,0,0,0,0,3,0,1,0.0625,74,31,43,3,1,2,139,0.023809523809523808,0,0,0,0,1,0,2,2,0,4,0,0,8,5.3,2,0,0,3,-44,8,7,50,0,0,0,0,47,1,0,1,0,0,0,0,0,0,-0.006133324932307005,Esava Ratugolea,0,16025,15,Geelong,2021,35,0
16,0.03187250996015936,11,0.06043956043956044,5,0.022026431718061675,21,0.02880658436213992,12,57,0,0,1,0.05,0,0,1,5,0.04950495049504951,0,0,5,1,1,8,0.027303754266211604,14,0.035,4,0.2222222222222222,0,0,3,0,0,0,97,90,86,0,0,3,472,0.047619047619047616,13,0,0,3,0,0,1,8,0,3,9,0,1,5.1,2,1,0.018518518518518517,3,11,16,9,70,0,0,4,0,146,0,1,0,0,1,0,0,0,0,0.6290434002876282,Liam Jones,0,15906,4,Carlton,2021,6,0
10,0.02066115702479339,3,0.012295081967213115,11,0.03806228373702422,21,0.027166882276843468,16,76,1,0.05263157894736842,0,0,4,0.03669724770642202,0,1,0.010309278350515464,5,0.07352941176470588,2,2,1,15,0.05474452554744526,8,0.016129032258064516,2,0.05405405405405406,0,0,2,0,0,0,85,119,144,3,2,7,219,0.0273972602739726,5,0,0,1,3,2,4,6,1,6,1,0,8,28.9,4,1,0.024390243902439025,1,-24,13,7,55,0,0,0,0,158,1,0,0,0,0,0,0,1,0,0.9897922873497009,Brodie Grundy,0,15930,7,Collingwood,2021,5,0
2,0.0045871559633027525,1,0.005847953216374269,4,0.0113314447592068,6,0.0076045627376425855,6,100,0,0,0,0,2,0.01639344262295082,1,2,0.02,2,0.028985507246376812,0,2,0,5,0.016835016835016835,1,0.002008032128514056,0,0,0,0,1,0,0,0,74,40,53,1,1,1,80,0.006756756756756757,1,0,0,0,0,0,7,2,0,3,0,0,9,7.8,1,0,0,1,-92,8,3,26,0,0,0,0,74,1,0,0,0,0,0,0,1,0,-0.0044456846080720425,Nathan Vardy,0,16040,16,West Coast,2021,36,0
8,0.019184652278177457,2,0.010526315789473684,5,0.017123287671232876,13,0.018335684062059238,7,54,0,0,0,0,2,0.024691358024691357,2,2,0.020618556701030927,1,0.015625,5,1,3,3,0.011857707509881422,11,0.024175824175824177,0,0,0,0,2,2,0,0,87,40,34,0,1,4,239,0.04201680672268908,2,0,1,1,2,0,6,4,0,2,0,0,10,-0.1,2,0,0,2,-7,6,16,102,0,0,0,0,19,1,0,0,0,0,0,0,0,1,-0.0027797995135188103,Nik Cox,0,16076,20,Essendon,2021,32,0
7,0.01728395061728395,4,0.023809523809523808,6,0.02197802197802198,13,0.019174041297935103,11,85,1,0.038461538461538464,0,0,1,0.008130081300813009,2,1,0.00980392156862745,3,0.04,1,2,1,9,0.0297029702970297,3,0.008130081300813009,2,0.0625,0,0,0,0,0,0,77,54,78,1,2,3,197,0.013986013986013986,8,0,0,1,0,0,9,6,2,5,4,0,9,13.4,2,1,0.021739130434782608,0,28,12,15,102,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0.05215151980519295,James Madden,0,15956,10,Brisbane Lions,2021,14,0
7,0.01639344262295082,6,0.031088082901554404,5,0.018115942028985508,12,0.017069701280227598,10,83,0,0,0,0,3,0.03571428571428571,1,0,0,1,0.014925373134328358,0,0,0,4,0.015625,9,0.020785219399538105,1,0.038461538461538464,0,0,1,0,1,0.047619047619047616,80,61,71,0,1,1,136,0.024793388429752067,3,0,0,1,0,0,5,6,0,3,1,0,8,7.6,0,0,0,1,24,11,14,95,0,0,2,0,31,0,1,0,0,0,0,0,0,0,0.12738387286663055,Brandon Starcevich,0,15946,8,Brisbane Lions,2021,14,0
7,0.017811704834605598,6,0.03260869565217391,6,0.020761245674740483,13,0.01906158357771261,9,69,2,0.07692307692307693,0,0,3,0.026785714285714284,1,4,0.04040404040404041,0,0,1,0,0,3,0.012244897959183673,9,0.02088167053364269,0,0,0,0,0,0,2,0.1,78,75,75,0,0,5,213,0.024193548387096774,1,1,0,0,0,0,6,5,2,3,0,0,13,10.4,0,2,0.0392156862745098,0,39,10,16,106,0,0,0,0,208,0,1,0,0,0,1,0,0,0,-0.0339437872171402,Matt de Boer,0,16088,22,Greater Western Sydney,2021,40,0
20,0.043859649122807015,9,0.03435114503816794,6,0.021505376344086023,26,0.03537414965986395,21,81,0,0,0,0,3,0.038461538461538464,5,9,0.09574468085106383,0,0,2,0,0,1,0.004784688995215311,24,0.045627376425855515,0,0,0,0,1,0,1,0.14285714285714285,83,111,106,0,0,4,718,0.05042016806722689,2,0,0,0,1,0,6,15,0,1,1,0,10,12.5,3,0,0,1,20,14,8,62,0,0,4,0,229,0,1,0,0,0,0,0,0,1,1.2500263452529907,Isaac Smith,0,16072,20,Geelong,2021,2,2
7,0.016129032258064516,3,0.01639344262295082,4,0.012903225806451613,11,0.01478494623655914,6,55,1,0.038461538461538464,1,0.06666666666666667,3,0.027777777777777776,0,2,0.018018018018018018,0,0,1,0,1,4,0.01384083044982699,6,0.013100436681222707,0,0,0,0,0,0,0,0,77,54,54,0,0,4,133,0.0273972602739726,3,2,0,0,1,0,1,2,4,4,0,0,14,9.6,1,2,0.043478260869565216,0,27,10,15,100,0,0,0,0,91,0,1,0,0,0,1,0,0,0,-0.009218243882060051,Orazio Fantasia,0,16078,20,Port Adelaide,2021,31,0
