effective_disposals,disposal_efficiency_percentage,clangers,free_kicks_for,free_kicks_against,one_percenters,bounces,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,intercepts,tackles_inside_fifty,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,intercept_marks,marks_on_lead,pressure_acts,rating_points,score_launches,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
6,60,2,0,0,1,0,85,46,51,0,1,2,109,3,0,4,4,0,4,1,0,7,4.2,1,1,18,7,8,55,0,0,0,0,69,1,0,0,0,1,0,0,0,0,0.0027777524664998055,Sam Petrevski-Seton,0,15719,5,Carlton,2020,31,0
6,67,1,0,1,0,0,70,50,62,0,0,4,158,0,0,3,4,0,2,0,1,8,5.5,0,0,22,6,11,72,0,0,0,0,35,0,1,0,1,0,0,0,0,0,0.019763082265853882,Jake Waterman,0,15802,11,West Coast,2020,27,0
8,62,2,0,0,0,0,76,57,41,0,0,0,201,3,0,9,6,0,1,2,0,10,1.4,0,0,28,8,9,62,0,0,0,0,54,1,0,0,0,1,0,0,0,0,-0.0019153117900714278,Alex Witherden,0,15622,1,Brisbane Lions,2020,35,0
7,70,0,1,0,1,0,82,41,70,1,0,4,154,0,1,1,2,0,0,0,2,10,3.7,0,1,18,7,11,73,0,0,0,0,23,0,1,0,1,0,0,0,0,0,0.003048110753297806,Jonathon Marsh,0,15719,5,St Kilda,2020,30,0
7,64,4,2,3,4,0,92,60,95,1,1,3,190,2,1,1,4,0,2,0,0,4,8.7,3,4,0,7,11,73,0,0,0,1,113,0,0,0,0,0,0,0,1,0,0.25449392199516296,Jarrod Witts,0,15807,11,Gold Coast,2020,9,0
9,82,2,0,1,1,0,54,47,71,1,3,3,229,0,0,1,6,0,3,0,0,6,8.5,1,1,6,7,12,79,0,0,0,0,3,0,1,1,0,0,0,0,0,0,-0.0017003488028421998,Caleb Serong,0,15744,6,Fremantle,2020,23,0
8,53,3,0,0,0,0,82,76,79,0,0,3,318,4,1,5,5,2,4,2,1,14,9.1,0,0,30,5,5,35,0,0,0,0,13,1,0,0,0,0,1,0,0,0,0.01414681039750576,Bailey Scott,0,15825,13,North Melbourne,2020,21,0
5,71,4,0,4,0,2,88,36,64,0,0,3,148,0,0,0,4,2,3,0,0,4,9.5,0,0,3,7,9,61,0,0,0,0,40,1,0,0,0,0,1,0,0,0,0.02743302844464779,Harry McKay,0,15756,7,Carlton,2020,22,0
7,78,2,0,1,0,0,45,31,48,0,0,0,91,1,1,8,4,0,3,1,0,14,3.7,0,0,36,6,6,42,0,0,0,0,71,1,0,1,0,0,0,0,0,0,-0.00704670837149024,Jy Simpkin,0,15840,16,North Melbourne,2020,34,0
16,89,2,0,2,1,0,88,73,99,0,0,0,356,4,0,2,13,0,3,1,0,4,4.7,0,1,8,6,6,42,0,0,0,0,217,0,1,0,0,1,0,0,0,0,0.06689959019422531,Daniel Rich,0,15839,15,Brisbane Lions,2020,19,0
10,56,9,3,3,2,0,78,62,59,2,4,3,309,5,0,7,4,2,7,0,0,17,0,0,0,21,15,13,93,0,0,2,0,68,0,1,1,0,0,0,0,0,0,0.3640117049217224,Sam Powell-Pepper,0,15800,11,Port Adelaide,2020,6,0
12,86,1,1,0,2,0,65,67,101,0,1,1,183,5,1,10,7,0,5,1,0,13,9,0,2,6,7,11,73,0,0,0,0,29,1,0,0,0,1,0,0,0,0,0.006137572228908539,Josh Battle,0,15744,6,St Kilda,2020,19,0
