season,match_round,footywire_player,player_team,AF,SC,player_name
2020,1,Esava Ratugolea,Geelong,23,46,Esava Ratugolea
2020,1,Touk Miller,Gold Coast,84,111,Touk Miller
2020,1,Brandon Ellis,Gold Coast,69,79,Brandon Ellis
2020,1,Brayden Fiorini,Gold Coast,80,71,Brayden Fiorini
2020,1,Matt Rowell,Gold Coast,64,80,Matt Rowell
2020,1,Hugh Greenwood,Gold Coast,57,116,Hugh Greenwood
2020,1,Jack Bowes,Gold Coast,62,93,Jack Bowes
2020,1,David Swallow,Gold Coast,73,92,David Swallow
2020,1,Lachlan Weller,Gold Coast,66,61,Lachie Weller
2020,1,Samuel Collins,Gold Coast,58,92,Sam Collins
2020,1,Ben Ainsworth,Gold Coast,74,93,Ben Ainsworth
2020,1,Jesse Joyce,Gold Coast,50,64,Jesse Joyce
2020,1,Will Brodie,Gold Coast,45,36,Will Brodie
2020,1,Jack Lukosius,Gold Coast,55,57,Jack Lukosius
2020,1,Darcy Macpherson,Gold Coast,45,56,Darcy MacPherson
2020,1,Noah Anderson,Gold Coast,33,42,Noah Anderson
2020,1,Sean Lemmens,Gold Coast,45,47,Sean Lemmens
2020,1,Nicholas Holman,Gold Coast,23,34,Nick Holman
2020,1,Connor Budarick,Gold Coast,32,44,Connor Budarick
2020,1,Sam Day,Gold Coast,30,32,Sam Day
2020,1,Ben King,Gold Coast,35,59,Ben King
2020,1,Jarrod Witts,Gold Coast,33,50,Jarrod Witts
2020,1,Caleb Graham,Gold Coast,12,31,Caleb Graham
2020,1,Tom Rockliff,Port Adelaide,91,115,Tom Rockliff
2020,1,Travis Boak,Port Adelaide,84,125,Travis Boak
2020,1,Darcy B-Jones,Port Adelaide,86,114,Darcy Byrne-Jones
2020,1,Karl Amon,Port Adelaide,82,92,Karl Amon
2020,1,Connor Rozee,Port Adelaide,85,125,Connor Rozee
2020,1,Brad Ebert,Port Adelaide,101,104,Brad Ebert
2020,1,Sam P-Pepper,Port Adelaide,76,105,Sam Powell-Pepper
2020,1,Dan Houston,Port Adelaide,79,79,Dan Houston
2020,1,Robbie Gray,Port Adelaide,76,104,Robbie Gray
2020,1,Ryan Burton,Port Adelaide,79,101,Ryan Burton
2020,1,Xavier Duursma,Port Adelaide,63,79,Xavier Duursma
2020,1,Trent McKenzie,Port Adelaide,61,79,Trent McKenzie
2020,1,Steven Motlop,Port Adelaide,64,93,Steven Motlop
2020,1,Tom Clurey,Port Adelaide,52,61,Tom Clurey
2020,1,Justin Westhoff,Port Adelaide,69,57,Justin Westhoff
2020,1,Zak Butters,Port Adelaide,45,42,Zak Butters
2020,1,Jarrod Lienert,Port Adelaide,43,38,Jarrod Lienert
2020,1,Mitch Georgiades,Port Adelaide,60,78,Mitch Georgiades
2020,1,Hamish Hartlett,Port Adelaide,50,68,Hamish Hartlett
2020,1,Scott Lycett,Port Adelaide,55,70,Scott Lycett
2020,1,Todd Marshall,Port Adelaide,63,80,Todd Marshall
2020,1,Thomas Jonas,Port Adelaide,50,50,Tom Jonas
2020,1,Ben Cunnington,North Melbourne,117,185,Ben Cunnington
2020,1,Jared Polec,North Melbourne,86,98,Jared Polec
2020,1,Jy Simpkin,North Melbourne,89,131,Jy Simpkin
2020,1,Shaun Higgins,North Melbourne,73,93,Shaun Higgins
2020,1,Trent Dumont,North Melbourne,62,80,Trent Dumont
2020,1,Jed Anderson,North Melbourne,49,75,Jed Anderson
2020,1,Jamie MacMillan,North Melbourne,52,80,Jamie Macmillan
2020,1,Shaun Atley,North Melbourne,48,67,Shaun Atley
