"","season","match_round","player_name","player_team","betfair_votes"
"255",2019,7,"Rory Sloane","Adelaide","1"
"256",2019,7,"Nat Fyfe","Fremantle","0.5"
"257",2019,7,"David Mundy","Fremantle","0.5"
"258",2019,8,"Luke Parker","Sydney","3"
"259",2019,8,"Zach Merrett","Essendon","1"
"260",2019,8,"Andrew McGrath","Essendon","1"
"261",2019,8,"George Hewett","Sydney","0.5"
"262",2019,8,"Michael Hurley","Essendon","0.5"
"263",2019,8,"Josh Dunkley","Western Bulldogs","2"
"264",2019,8,"Marcus Bontempelli","Western Bulldogs","1"
"265",2019,8,"Jack Macrae","Western Bulldogs","1"
"266",2019,8,"Lachie Hunter","Western Bulldogs","1"
"267",2019,8,"Hugh McCluggage","Brisbane Lions","0.5"
"268",2019,8,"Dayne Zorko","Brisbane Lions","0.5"
"269",2019,8,"Patrick Cripps","Carlton","2"
"270",2019,8,"Brodie Grundy","Collingwood","2"
"271",2019,8,"Adam Treloar","Collingwood","1"
"272",2019,8,"Tom Phillips","Collingwood","0.5"
"273",2019,8,"Steele Sidebottom","Collingwood","0.5"
"274",2019,8,"Clayton Oliver","Melbourne","3"
"275",2019,8,"David Swallow","Gold Coast","1.5"
"276",2019,8,"Darcy MacPherson","Gold Coast","1"
"277",2019,8,"Jake Melksham","Melbourne","0.5"
"278",2019,8,"Luke Shuey","West Coast","2"
"279",2019,8,"Shannon Hurn","West Coast","1.5"
"280",2019,8,"Andrew Gaff","West Coast","1.5"
"281",2019,8,"Elliot Yeo","West Coast","0.5"
"282",2019,8,"Jack Billings","St Kilda","0.5"
"283",2019,8,"Alex Keath","Adelaide","2.5"
"284",2019,8,"Tom Lynch","Adelaide","1.5"
"285",2019,8,"Rory Laird","Adelaide","1"
"286",2019,8,"Tom Rockliff","Port Adelaide","1"
"287",2019,8,"Tim Kelly","Geelong","3"
"288",2019,8,"Shaun Higgins","North Melbourne","1.5"
"289",2019,8,"Mitch Duncan","Geelong","1"
"290",2019,8,"Gary Ablett","Geelong","0.5"
"291",2019,8,"Ricky Henderson","Hawthorn","2.5"
"292",2019,8,"James Sicily","Hawthorn","2"
"293",2019,8,"James Cousins","Hawthorn","1"
"294",2019,8,"Josh Kelly","Greater Western Sydney","0.5"
"295",2019,8,"Nat Fyfe","Fremantle","2"
"296",2019,8,"Bachar Houli","Richmond","2"
"297",2019,8,"Brandon Ellis","Richmond","1.5"
"298",2019,8,"Shai Bolton","Richmond","0.5"
"299",2019,9,"Elliot Yeo","West Coast","2"
"300",2019,9,"Shannon Hurn","West Coast","2"
"301",2019,9,"Dom Sheed","West Coast","1.5"
"302",2019,9,"Andrew Gaff","West Coast","0.5"
"303",2019,9,"Brodie Grundy","Collingwood","2.5"
"304",2019,9,"Steele Sidebottom","Collingwood","2.5"
"305",2019,9,"Adam Treloar","Collingwood","1"
"306",2019,9,"Lachie Neale","Brisbane Lions","2.5"
"307",2019,9,"Rory Sloane","Adelaide","1.5"
"308",2019,9,"Daniel McStay","Brisbane Lions","1"
"309",2019,9,"Hugh McCluggage","Brisbane Lions","1"
"310",2019,9,"Mitch Duncan","Geelong","3"
"311",2019,9,"Mitch Wallis","Western Bulldogs","1.5"
"312",2019,9,"Tom Stewart","Geelong","0.5"
"313",2019,9,"Patrick Dangerfield","Geelong","0.5"
"314",2019,9,"Jack Macrae","Western Bulldogs","0.5"
"315",2019,9,"Zach Merrett","Essendon","2"
"316",2019,9,"Dylan Shiel","Essendon","2"
"317",2019,9,"David Mundy","Fremantle","1.5"
"318",2019,9,"David Zaharakis","Essendon","0.5"
"319",2019,9,"Luke Parker","Sydney","2.5"
"320",2019,9,"Jack Ziebell","North Melbourne","2"
"321",2019,9,"George Hewett","Sydney","1"
"322",2019,9,"Jake Lloyd","Sydney","0.5"
"323",2019,9,"Travis Boak","Port Adelaide","2.5"
"324",2019,9,"Brayden Fiorini","Gold Coast","2"
"325",2019,9,"Sam Gray","Port Adelaide","1"
"326",2019,9,"Connor Rozee","Port Adelaide","0.5"
"327",2019,9,"Dustin Martin","Richmond","3"
"328",2019,9,"Bachar Houli","Richmond","2"
"329",2019,9,"Brandon Ellis","Richmond","1"
"330",2019,9,"Lachie Whitfield","Greater Western Sydney","3"
"331",2019,9,"Josh Kelly","Greater Western Sydney","1"
"332",2019,9,"Tim Taranto","Greater Western Sydney","1"
"333",2019,9,"Jeremy Cameron","Greater Western Sydney","0.5"
"334",2019,9,"Toby Greene","Greater Western Sydney","0.5"
"335",2019,10,"Brodie Grundy","Collingwood","2"
"336",2019,10,"Sam J. Reid","Sydney","2"
"337",2019,10,"Scott Pendlebury","Collingwood","2"
"338",2019,10,"Jack Gunston","Hawthorn","3"
"339",2019,10,"Ricky Henderson","Hawthorn","2"
"340",2019,10,"James Sicily","Hawthorn","1"
"341",2019,10,"Todd Goldstein","North Melbourne","3"
"342",2019,10,"Shaun Higgins","North Melbourne","1.5"
"343",2019,10,"Ben Cunnington","North Melbourne","1.5"
"344",2019,10,"Luke Shuey","West Coast","2.5"
"345",2019,10,"Andrew Gaff","West Coast","1.5"
"346",2019,10,"Dom Sheed","West Coast","1"
"347",2019,10,"Cameron Ellis-Yolmen","Adelaide","0.5"
"348",2019,10,"Rory Sloane","Adelaide","0.5"
"349",2019,10,"Tim Kelly","Geelong","2.5"
"350",2019,10,"Mitch Duncan","Geelong","2"
"351",2019,10,"Tom Hawkins","Geelong","0.5"
"352",2019,10,"Cameron Guthrie","Geelong","0.5"
"353",2019,10,"David Swallow","Gold Coast","0.5"
"354",2019,10,"Bachar Houli","Richmond","3"
"355",2019,10,"Dustin Martin","Richmond","2"
"356",2019,10,"Darcy Parish","Essendon","1"
"357",2019,10,"Josh Kelly","Greater Western Sydney","2"
"358",2019,10,"Lachie Whitfield","Greater Western Sydney","2"
"359",2019,10,"Max Gawn","Melbourne","1"
"360",2019,10,"Harry Himmelberg","Greater Western Sydney","0.5"
"361",2019,10,"Tim Taranto","Greater Western Sydney","0.5"
"362",2019,10,"Jade Gresham","St Kilda","2.5"
"363",2019,10,"Patrick Cripps","Carlton","1.5"
"364",2019,10,"Jack Steele","St Kilda","1.5"
"365",2019,10,"Sam Walsh","Carlton","0.5"
"366",2019,10,"Bradley Hill","Fremantle","2.5"
"367",2019,10,"Michael Walters","Fremantle","2"
"368",2019,10,"Nathan Wilson","Fremantle","1"
"369",2019,10,"Nat Fyfe","Fremantle","0.5"
"370",2019,11,"Ben Cunnington","North Melbourne","2"
"371",2019,11,"Ben Brown","North Melbourne","1.5"
"372",2019,11,"Shaun Higgins","North Melbourne","1"
"373",2019,11,"Bachar Houli","Richmond","1"
"374",2019,11,"Dustin Martin","Richmond","0.5"
"375",2019,11,"Nat Fyfe","Fremantle","2.5"
"376",2019,11,"Scott Pendlebury","Collingwood","1.5"
"377",2019,11,"Bradley Hill","Fremantle","1"
"378",2019,11,"Michael Walters","Fremantle","1"
"379",2019,11,"Stephen Coniglio","Greater Western Sydney","3"
"380",2019,11,"Josh Kelly","Greater Western Sydney","2"
"381",2019,11,"Jeremy Cameron","Greater Western Sydney","1"
"382",2019,11,"Patrick Dangerfield","Geelong","2.5"
"383",2019,11,"Tim Kelly","Geelong","1.5"
"384",2019,11,"Luke Parker","Sydney","1"
"385",2019,11,"Tom Hawkins","Geelong","1"
"386",2019,11,"Jarryd Lyons","Brisbane Lions","2.5"
"387",2019,11,"Harris Andrews","Brisbane Lions","1.5"
"388",2019,11,"Lachie Neale","Brisbane Lions","1"
"389",2019,11,"Lewis Taylor","Brisbane Lions","1"
"390",2019,11,"Tom Lynch","Adelaide","2"
"391",2019,11,"Brad Crouch","Adelaide","2"
"392",2019,11,"Clayton Oliver","Melbourne","1.5"
"393",2019,11,"Josh Jenkins","Adelaide","0.5"
"394",2019,11,"Travis Boak","Port Adelaide","3"
"395",2019,11,"Robbie Gray","Port Adelaide","2"
"396",2019,11,"Rowan Marshall","St Kilda","1"
"397",2019,11,"Dyson Heppell","Essendon","2.5"
"398",2019,11,"Darcy Parish","Essendon","2"
"399",2019,11,"Andrew McGrath","Essendon","1.5"
"400",2019,11,"Jack Darling","West Coast","2.5"
"401",2019,11,"Andrew Gaff","West Coast","2"
"402",2019,11,"Luke Shuey","West Coast","1"
"403",2019,11,"Josh Dunkley","Western Bulldogs","0.5"
"404",2019,12,"Patrick Dangerfield","Geelong","2.5"
"405",2019,12,"Tim Kelly","Geelong","1.5"
"406",2019,12,"Mitch Duncan","Geelong","1"
"407",2019,12,"Gary Ablett","Geelong","1"
"408",2019,12,"Patrick Cripps","Carlton","3"
"409",2019,12,"Sam Walsh","Carlton","1.5"
"410",2019,12,"Ed Curnow","Carlton","1.5"
"411",2019,12,"Jack Ziebell","North Melbourne","2.5"
"412",2019,12,"Ben Cunnington","North Melbourne","2"
"413",2019,12,"Jared Polec","North Melbourne","1.5"
"414",2019,12,"Josh Kelly","Greater Western Sydney","2"
"415",2019,12,"Brad Crouch","Adelaide","2"
"416",2019,12,"Matt Crouch","Adelaide","1"
"417",2019,12,"Tim Taranto","Greater Western Sydney","1"
"418",2019,12,"Tom Papley","Sydney","3"
"419",2019,12,"Lance Franklin","Sydney","2"
"420",2019,12,"Jake Lloyd","Sydney","1"
"421",2019,12,"Adam Treloar","Collingwood","2"
"422",2019,12,"Max Gawn","Melbourne","2"
"423",2019,12,"Steele Sidebottom","Collingwood","1"
"424",2019,12,"Jaidyn Stephenson","Collingwood","1"
"425",2019,13,"Reilly O'Brien","Adelaide","2"
"426",2019,13,"Brad Crouch","Adelaide","2"
"427",2019,13,"Dustin Martin","Richmond","1"
"428",2019,13,"Josh Jenkins","Adelaide","1"
"429",2019,13,"Zach Merrett","Essendon","2"
"430",2019,13,"Conor McKenna","Essendon","2"
"431",2019,13,"Michael Hurley","Essendon","1"
"432",2019,13,"Adam Saad","Essendon","1"
"433",2019,13,"Jack Billings","St Kilda","3"
"434",2019,13,"Tim Membrey","St Kilda","1.5"
"435",2019,13,"David Swallow","Gold Coast","1.5"
"436",2019,13,"Michael Walters","Fremantle","3"
"437",2019,13,"Nat Fyfe","Fremantle","2"
"438",2019,13,"Travis Boak","Port Adelaide","1"
"439",2019,13,"Josh Dunkley","Western Bulldogs","3"
"440",2019,13,"Charlie Curnow","Carlton","2"
"441",2019,13,"Patrick Lipinski","Western Bulldogs","0.5"
"442",2019,13,"Jack Macrae","Western Bulldogs","0.5"
"443",2019,13,"Josh Kelly","Greater Western Sydney","2"
"444",2019,13,"Zac Williams","Greater Western Sydney","1.5"
"445",2019,13,"Tim Taranto","Greater Western Sydney","1"
"446",2019,13,"Stephen Coniglio","Greater Western Sydney","1"
