"","date","match_id","match_round","player_name","player_team","player_opposition","betfair_votes","match_outcome","margin"
"8140",2021-08-13,16088,22,"Hugo Ralphsmith","Richmond","Greater Western Sydney",0,"Loss",-39
"8141",2021-08-13,16088,22,"James Peatling","Greater Western Sydney","Richmond",0,"Win",39
"8142",2021-08-13,16088,22,"Maurice Rioli","Richmond","Greater Western Sydney",0,"Loss",-39
"8143",2021-08-14,16089,22,"Shaun Burgoyne","Hawthorn","Western Bulldogs",0,"Win",27
"8144",2021-08-14,16089,22,"Ben McEvoy","Hawthorn","Western Bulldogs",0,"Win",27
"8145",2021-08-14,16089,22,"Liam Shiels","Hawthorn","Western Bulldogs",0,"Win",27
"8146",2021-08-14,16089,22,"Easton Wood","Western Bulldogs","Hawthorn",0,"Loss",-27
"8147",2021-08-14,16089,22,"Tom Liberatore","Western Bulldogs","Hawthorn",0.5,"Loss",-27
"8148",2021-08-14,16089,22,"Chad Wingard","Hawthorn","Western Bulldogs",2,"Win",27
"8149",2021-08-14,16089,22,"Adam Treloar","Western Bulldogs","Hawthorn",0,"Loss",-27
"8150",2021-08-14,16089,22,"Sam Frost","Hawthorn","Western Bulldogs",0,"Win",27
"8151",2021-08-14,16089,22,"Jason Johannisen","Western Bulldogs","Hawthorn",0,"Loss",-27
"8152",2021-08-14,16089,22,"Taylor Duryea","Western Bulldogs","Hawthorn",0,"Loss",-27
"8153",2021-08-14,16089,22,"Jack Macrae","Western Bulldogs","Hawthorn",0,"Loss",-27
"8154",2021-08-14,16089,22,"Tom Mitchell","Hawthorn","Western Bulldogs",1.5,"Win",27
"8155",2021-08-14,16089,22,"Lachie Hunter","Western Bulldogs","Hawthorn",0,"Loss",-27
"8156",2021-08-14,16089,22,"Jonathon Ceglar","Hawthorn","Western Bulldogs",0,"Win",27
"8157",2021-08-14,16089,22,"Kyle Hartigan","Hawthorn","Western Bulldogs",0,"Win",27
"8158",2021-08-14,16089,22,"Tim O'Brien","Hawthorn","Western Bulldogs",0,"Win",27
"8159",2021-08-14,16089,22,"Marcus Bontempelli","Western Bulldogs","Hawthorn",0,"Loss",-27
"8160",2021-08-14,16089,22,"Bailey Dale","Western Bulldogs","Hawthorn",0,"Loss",-27
"8161",2021-08-14,16089,22,"Daniel Howe","Hawthorn","Western Bulldogs",2,"Win",27
"8162",2021-08-14,16089,22,"Caleb Daniel","Western Bulldogs","Hawthorn",0,"Loss",-27
"8163",2021-08-14,16089,22,"Zaine Cordy","Western Bulldogs","Hawthorn",0,"Loss",-27
"8164",2021-08-14,16089,22,"Josh Dunkley","Western Bulldogs","Hawthorn",0,"Loss",-27
"8165",2021-08-14,16089,22,"Bailey Williams","Western Bulldogs","Hawthorn",0,"Loss",-27
"8166",2021-08-14,16089,22,"Tom Phillips","Hawthorn","Western Bulldogs",0,"Win",27
"8167",2021-08-14,16089,22,"Blake Hardwick","Hawthorn","Western Bulldogs",0,"Win",27
"8168",2021-08-14,16089,22,"Mitch Hannan","Western Bulldogs","Hawthorn",0,"Loss",-27
"8169",2021-08-14,16089,22,"Tim English","Western Bulldogs","Hawthorn",0,"Loss",-27
"8170",2021-08-14,16089,22,"Lewis Young","Western Bulldogs","Hawthorn",0,"Loss",-27
"8171",2021-08-14,16089,22,"Alex Keath","Western Bulldogs","Hawthorn",0,"Loss",-27
"8172",2021-08-14,16089,22,"Jack Scrimshaw","Hawthorn","Western Bulldogs",0,"Win",27
"8173",2021-08-14,16089,22,"Harry Morrison","Hawthorn","Western Bulldogs",0,"Win",27
"8174",2021-08-14,16089,22,"Aaron Naughton","Western Bulldogs","Hawthorn",0,"Loss",-27
"8175",2021-08-14,16089,22,"Mitch Lewis","Hawthorn","Western Bulldogs",0,"Win",27
"8176",2021-08-14,16089,22,"Conor Nash","Hawthorn","Western Bulldogs",0,"Win",27
"8177",2021-08-14,16089,22,"Bailey Smith","Western Bulldogs","Hawthorn",0,"Loss",-27
"8178",2021-08-14,16089,22,"Oliver Hanrahan","Hawthorn","Western Bulldogs",0,"Win",27
"8179",2021-08-14,16089,22,"Laitham Vandermeer","Western Bulldogs","Hawthorn",0,"Loss",-27
"8180",2021-08-14,16089,22,"Cody Weightman","Western Bulldogs","Hawthorn",0,"Loss",-27
"8181",2021-08-14,16089,22,"Connor Downie","Hawthorn","Western Bulldogs",0,"Win",27
"8182",2021-08-14,16089,22,"Tyler Brockman","Hawthorn","Western Bulldogs",0,"Win",27
"8183",2021-08-14,16089,22,"Jacob Koschitzke","Hawthorn","Western Bulldogs",0,"Win",27
"8184",2021-08-14,16089,22,"Riley Garcia","Western Bulldogs","Hawthorn",0,"Loss",-27
"8185",2021-08-14,16089,22,"Jai Newcombe","Hawthorn","Western Bulldogs",0,"Win",27
"8186",2021-08-14,16089,22,"Lachlan Bramble","Hawthorn","Western Bulldogs",0,"Win",27
"8187",2021-08-14,16090,22,"Shaun Higgins","Geelong","St Kilda",0,"Win",14
"8188",2021-08-14,16090,22,"Joel Selwood","Geelong","St Kilda",0,"Win",14
"8189",2021-08-14,16090,22,"Tom Hawkins","Geelong","St Kilda",0,"Win",14
"8190",2021-08-14,16090,22,"Lachie Henderson","Geelong","St Kilda",0,"Win",14
"8191",2021-08-14,16090,22,"Patrick Dangerfield","Geelong","St Kilda",2.5,"Win",14
"8192",2021-08-14,16090,22,"Dan Hannebery","St Kilda","Geelong",0,"Loss",-14
"8193",2021-08-14,16090,22,"Rhys Stanley","Geelong","St Kilda",0,"Win",14
"8194",2021-08-14,16090,22,"Cameron Guthrie","Geelong","St Kilda",1,"Win",14
"8195",2021-08-14,16090,22,"Isaac Smith","Geelong","St Kilda",0,"Win",14
"8196",2021-08-14,16090,22,"Luke Dahlhaus","Geelong","St Kilda",0,"Win",14
"8197",2021-08-14,16090,22,"Jeremy Cameron","Geelong","St Kilda",0,"Win",14
"8198",2021-08-14,16090,22,"Bradley Hill","St Kilda","Geelong",0,"Loss",-14
"8199",2021-08-14,16090,22,"Sebastian Ross","St Kilda","Geelong",0,"Loss",-14
"8200",2021-08-14,16090,22,"Mark Blicavs","Geelong","St Kilda",0,"Win",14
"8201",2021-08-14,16090,22,"Brad Crouch","St Kilda","Geelong",0,"Loss",-14
"8202",2021-08-14,16090,22,"Dean Kent","St Kilda","Geelong",0,"Loss",-14
"8203",2021-08-14,16090,22,"Jimmy Webster","St Kilda","Geelong",0,"Loss",-14
"8204",2021-08-14,16090,22,"Luke Dunstan","St Kilda","Geelong",0,"Loss",-14
"8205",2021-08-14,16090,22,"Jed Bews","Geelong","St Kilda",0,"Win",14
"8206",2021-08-14,16090,22,"Zak Jones","St Kilda","Geelong",0,"Loss",-14
"8207",2021-08-14,16090,22,"Tim Membrey","St Kilda","Geelong",0,"Loss",-14
"8208",2021-08-14,16090,22,"Jack Sinclair","St Kilda","Geelong",0,"Loss",-14
"8209",2021-08-14,16090,22,"Daniel McKenzie","St Kilda","Geelong",0,"Loss",-14
"8210",2021-08-14,16090,22,"Jack Steele","St Kilda","Geelong",0.5,"Loss",-14
"8211",2021-08-14,16090,22,"Jake Kolodjashnij","Geelong","St Kilda",0,"Win",14
"8212",2021-08-14,16090,22,"Dougal Howard","St Kilda","Geelong",0,"Loss",-14
"8213",2021-08-14,16090,22,"Sam Menegola","Geelong","St Kilda",2,"Win",14
"8214",2021-08-14,16090,22,"Dan Butler","St Kilda","Geelong",0,"Loss",-14
"8215",2021-08-14,16090,22,"Brandan Parfitt","Geelong","St Kilda",0,"Win",14
"8216",2021-08-14,16090,22,"Mark O'Connor","Geelong","St Kilda",0,"Win",14
"8217",2021-08-14,16090,22,"Zach Guthrie","Geelong","St Kilda",0,"Win",14
"8218",2021-08-14,16090,22,"Sam Simpson","Geelong","St Kilda",0,"Win",14
"8219",2021-08-14,16090,22,"Rowan Marshall","St Kilda","Geelong",0,"Loss",-14
"8220",2021-08-14,16090,22,"Esava Ratugolea","Geelong","St Kilda",0,"Win",14
"8221",2021-08-14,16090,22,"Jack Henry","Geelong","St Kilda",0,"Win",14
"8222",2021-08-14,16090,22,"Nick Coffield","St Kilda","Geelong",0,"Loss",-14
"8223",2021-08-14,16090,22,"Jack Higgins","St Kilda","Geelong",0,"Loss",-14
"8224",2021-08-14,16090,22,"Quinton Narkle","Geelong","St Kilda",0,"Win",14
"8225",2021-08-14,16090,22,"Darragh Joyce","St Kilda","Geelong",0,"Loss",-14
"8226",2021-08-14,16090,22,"Callum Wilkie","St Kilda","Geelong",0,"Loss",-14
"8227",2021-08-14,16090,22,"Max King","St Kilda","Geelong",0,"Loss",-14
"8228",2021-08-14,16090,22,"Ryan Byrnes","St Kilda","Geelong",0,"Loss",-14
"8229",2021-08-14,16090,22,"Brad Close","Geelong","St Kilda",0,"Win",14
"8230",2021-08-14,16090,22,"Max Holmes","Geelong","St Kilda",0,"Win",14
"8231",2021-08-14,16090,22,"Oscar Clavarino","St Kilda","Geelong",0,"Loss",-14
"8232",2021-08-14,16090,22,"Cooper Sharman","St Kilda","Geelong",0,"Loss",-14
"8233",2021-08-14,16091,22,"Eddie Betts","Carlton","Port Adelaide",0,"Loss",-95
"8234",2021-08-14,16091,22,"Marc Murphy","Carlton","Port Adelaide",0,"Loss",-95
"8235",2021-08-14,16091,22,"Robbie Gray","Port Adelaide","Carlton",0,"Win",95
"8236",2021-08-14,16091,22,"Travis Boak","Port Adelaide","Carlton",3,"Win",95
"8237",2021-08-14,16091,22,"Ed Curnow","Carlton","Port Adelaide",0,"Loss",-95
"8238",2021-08-14,16091,22,"Charlie Dixon","Port Adelaide","Carlton",0,"Win",95
"8239",2021-08-14,16091,22,"Scott Lycett","Port Adelaide","Carlton",0,"Win",95
"8240",2021-08-14,16091,22,"Tom Jonas","Port Adelaide","Carlton",0,"Win",95
"8241",2021-08-14,16091,22,"Jack Newnes","Carlton","Port Adelaide",0,"Loss",-95
"8242",2021-08-14,16091,22,"Levi Casboult","Carlton","Port Adelaide",0,"Loss",-95
"8243",2021-08-14,16091,22,"Lachie Plowman","Carlton","Port Adelaide",0,"Loss",-95
"8244",2021-08-14,16091,22,"Ollie Wines","Port Adelaide","Carlton",0.5,"Win",95
"8245",2021-08-14,16091,22,"Sam Mayes","Port Adelaide","Carlton",0,"Win",95
"8246",2021-08-14,16091,22,"Tom Clurey","Port Adelaide","Carlton",0,"Win",95
"8247",2021-08-14,16091,22,"Orazio Fantasia","Port Adelaide","Carlton",0,"Win",95
"8248",2021-08-14,16091,22,"Adam Saad","Carlton","Port Adelaide",0,"Loss",-95
"8249",2021-08-14,16091,22,"Karl Amon","Port Adelaide","Carlton",1,"Win",95
"8250",2021-08-14,16091,22,"Jacob Weitering","Carlton","Port Adelaide",0,"Loss",-95
"8251",2021-08-14,16091,22,"Mitch McGovern","Carlton","Port Adelaide",0,"Loss",-95
"8252",2021-08-14,16091,22,"Charlie Curnow","Carlton","Port Adelaide",0,"Loss",-95
"8253",2021-08-14,16091,22,"Darcy Byrne-Jones","Port Adelaide","Carlton",0,"Win",95
"8254",2021-08-14,16091,22,"Aliir Aliir","Port Adelaide","Carlton",1.5,"Win",95
"8255",2021-08-14,16091,22,"Matthew Kennedy","Carlton","Port Adelaide",0,"Loss",-95
"8256",2021-08-14,16091,22,"Ryan Burton","Port Adelaide","Carlton",0,"Win",95
"8257",2021-08-14,16091,22,"Riley Bonner","Port Adelaide","Carlton",0,"Win",95
"8258",2021-08-14,16091,22,"Dan Houston","Port Adelaide","Carlton",0,"Win",95
"8259",2021-08-14,16091,22,"Nic Newman","Carlton","Port Adelaide",0,"Loss",-95
"8260",2021-08-14,16091,22,"Tom Williamson","Carlton","Port Adelaide",0,"Loss",-95
"8261",2021-08-14,16091,22,"Zac Fisher","Carlton","Port Adelaide",0,"Loss",-95
"8262",2021-08-14,16091,22,"Todd Marshall","Port Adelaide","Carlton",0,"Win",95
"8263",2021-08-14,16091,22,"Paddy Dow","Carlton","Port Adelaide",0,"Loss",-95
"8264",2021-08-14,16091,22,"Lochie O'Brien","Carlton","Port Adelaide",0,"Loss",-95
"8265",2021-08-14,16091,22,"Tom De Koning","Carlton","Port Adelaide",0,"Loss",-95
"8266",2021-08-14,16091,22,"Sam Walsh","Carlton","Port Adelaide",0,"Loss",-95
"8267",2021-08-14,16091,22,"Zak Butters","Port Adelaide","Carlton",0,"Win",95
"8268",2021-08-14,16091,22,"Willem Drew","Port Adelaide","Carlton",0,"Win",95
"8269",2021-08-14,16091,22,"Xavier Duursma","Port Adelaide","Carlton",0,"Win",95
"8270",2021-08-14,16091,22,"Connor Rozee","Port Adelaide","Carlton",0,"Win",95
"8271",2021-08-14,16091,22,"Liam Stocker","Carlton","Port Adelaide",0,"Loss",-95
"8272",2021-08-14,16091,22,"Peter Ladhams","Port Adelaide","Carlton",0,"Win",95
"8273",2021-08-14,16091,22,"Mitch Georgiades","Port Adelaide","Carlton",0,"Win",95
"8274",2021-08-14,16091,22,"Josh Honey","Carlton","Port Adelaide",0,"Loss",-95
"8275",2021-08-14,16091,22,"Miles Bergman","Port Adelaide","Carlton",0,"Win",95
"8276",2021-08-14,16091,22,"Corey Durdin","Carlton","Port Adelaide",0,"Loss",-95
"8277",2021-08-14,16091,22,"Brodie Kemp","Carlton","Port Adelaide",0,"Loss",-95
"8278",2021-08-14,16092,22,"Grant Birchall","Brisbane Lions","Collingwood",0,"Win",85
"8279",2021-08-14,16092,22,"Chris Mayne","Collingwood","Brisbane Lions",0,"Loss",-85
"8280",2021-08-14,16092,22,"Daniel Rich","Brisbane Lions","Collingwood",0,"Win",85
"8281",2021-08-14,16092,22,"Steele Sidebottom","Collingwood","Brisbane Lions",0,"Loss",-85
"8282",2021-08-14,16092,22,"Jordan Roughead","Collingwood","Brisbane Lions",0,"Loss",-85
"8283",2021-08-14,16092,22,"Ryan Lester","Brisbane Lions","Collingwood",0,"Win",85
"8284",2021-08-14,16092,22,"Will Hoskin-Elliott","Collingwood","Brisbane Lions",0,"Loss",-85
"8285",2021-08-14,16092,22,"Lachie Neale","Brisbane Lions","Collingwood",1.5,"Win",85
"8286",2021-08-14,16092,22,"Jack Crisp","Collingwood","Brisbane Lions",0,"Loss",-85
"8287",2021-08-14,16092,22,"Taylor Adams","Collingwood","Brisbane Lions",0,"Loss",-85
"8288",2021-08-14,16092,22,"Jarryd Lyons","Brisbane Lions","Collingwood",1.5,"Win",85
"8289",2021-08-14,16092,22,"Dayne Zorko","Brisbane Lions","Collingwood",0.5,"Win",85
"8290",2021-08-14,16092,22,"Jamie Elliott","Collingwood","Brisbane Lions",0,"Loss",-85
"8291",2021-08-14,16092,22,"Lincoln McCarthy","Brisbane Lions","Collingwood",0,"Win",85
"8292",2021-08-14,16092,22,"Josh Thomas","Collingwood","Brisbane Lions",0,"Loss",-85
"8293",2021-08-14,16092,22,"Joe Daniher","Brisbane Lions","Collingwood",0,"Win",85
"8294",2021-08-14,16092,22,"Brodie Grundy","Collingwood","Brisbane Lions",0,"Loss",-85
"8295",2021-08-14,16092,22,"Darcy Gardiner","Brisbane Lions","Collingwood",0,"Win",85
"8296",2021-08-14,16092,22,"Charlie Cameron","Brisbane Lions","Collingwood",0.5,"Win",85
"8297",2021-08-14,16092,22,"Daniel McStay","Brisbane Lions","Collingwood",0,"Win",85
