season,player_name,player_team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,total_votes,games_played,three_vote_games,two_vote_games,one_vote_games,games_polled
2020,Toby Greene,Greater Western Sydney,3,0,DNP,3,0,0,DNP,3,0,DNP,DNP,DNP,0,0,3,0,0,0,12,13,4,,,4
2020,Hugh Greenwood,Gold Coast,0,0,0,0,2,0,3,0,0,0,3,0,0,3,DNP,0,0,0,11,17,3,1,,4
2020,Dom Sheed,West Coast,3,0,0,0,0,2,0,0,3,DNP,0,0,0,0,0,0,DNP,3,11,16,3,1,,4
2020,Taylor Adams,Collingwood,0,0,0,0,0,0,0,0,0,3,3,0,1,3,0,DNP,0,1,11,17,3,,2,5
2020,Tim Kelly,West Coast,0,0,0,0,0,3,0,2,0,DNP,2,0,0,0,1,0,3,0,11,17,2,2,1,5
2020,Tom Hawkins,Geelong,0,0,0,0,3,2,0,0,0,0,1,3,0,0,DNP,2,0,0,11,17,2,2,1,5
2020,Ollie Wines,Port Adelaide,DNP,DNP,2,0,0,0,0,0,0,0,3,0,0,0,DNP,3,2,0,10,15,2,2,,4
2020,Patrick Cripps,Carlton,0,0,3,0,0,0,0,0,2,DNP,0,3,0,0,0,2,0,0,10,17,2,2,,4
2020,Tom Mitchell,Hawthorn,0,0,0,0,0,0,0,0,1,DNP,1,0,2,0,0,3,0,3,10,17,2,1,2,5
2020,Marcus Bontempelli,Western Bulldogs,0,0,0,3,0,0,0,0,0,0,0,2,0,0,DNP,1,3,1,10,17,2,1,2,5
2020,Tom Rockliff,Port Adelaide,1,1,0,0,0,DNP,DNP,DNP,2,3,0,0,0,0,DNP,0,0,3,10,14,2,1,2,5
2020,Nat Fyfe,Fremantle,0,2,1,0,DNP,0,DNP,DNP,0,DNP,2,2,0,0,0,0,1,2,10,14,,4,2,6
2020,Shai Bolton,Richmond,0,0,0,0,DNP,0,3,0,0,0,0,0,3,0,0,DNP,3,DNP,9,15,3,,,3
2020,Charlie Dixon,Port Adelaide,DNP,0,0,3,0,0,3,0,0,0,0,0,0,3,DNP,0,0,0,9,16,3,,,3
2020,Matt Rowell,Gold Coast,0,3,3,3,0,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,9,5,3,,,3
2020,Andrew Brayshaw,Fremantle,0,0,0,0,2,2,0,2,0,DNP,3,0,0,0,0,0,0,0,9,17,1,3,,4
2020,Jarryd Lyons,Brisbane Lions,0,0,0,0,2,0,0,1,0,0,0,2,0,DNP,1,0,3,0,9,17,1,2,2,5
2020,Elliot Yeo,West Coast,0,0,0,0,3,0,2,0,0,DNP,3,DNP,DNP,DNP,DNP,DNP,DNP,DNP,8,10,2,1,,3
2020,Rowan Marshall,St Kilda,0,0,0,0,2,0,0,0,0,0,0,3,0,0,DNP,0,0,3,8,17,2,1,,3
2020,Jarrod Berry,Brisbane Lions,0,0,0,2,0,0,0,0,0,0,0,0,3,DNP,3,0,DNP,DNP,8,15,2,1,,3
2020,Michael Walters,Fremantle,0,1,0,0,0,3,0,0,DNP,DNP,DNP,0,0,0,0,1,3,DNP,8,14,2,,2,4
2020,Sam Walsh,Carlton,0,0,0,0,0,0,2,0,0,DNP,0,0,0,0,2,3,0,1,8,17,1,2,1,4
2020,Josh Kelly,Greater Western Sydney,0,0,DNP,0,2,0,0,1,2,0,DNP,0,3,0,DNP,DNP,0,0,8,14,1,2,1,4
2020,Dan Butler,St Kilda,0,0,0,3,1,0,2,0,0,2,0,0,0,0,DNP,0,0,0,8,17,1,2,1,4
2020,Jy Simpkin,North Melbourne,2,0,3,2,0,0,0,0,0,1,0,0,0,0,DNP,0,0,0,8,17,1,2,1,4
2020,Andrew Gaff,West Coast,2,0,1,0,0,0,1,0,0,DNP,0,2,1,0,0,0,1,0,8,17,,2,4,6
2020,Andrew McGrath,Essendon,0,0,DNP,0,0,3,0,2,0,0,0,0,0,2,0,DNP,DNP,DNP,7,14,1,2,,3
2020,Zak Jones,St Kilda,0,3,0,0,DNP,0,0,2,0,0,DNP,2,0,0,DNP,0,0,DNP,7,14,1,2,,3
2020,Bailey Smith,Western Bulldogs,0,0,0,0,0,1,0,2,0,0,0,0,3,0,DNP,0,1,0,7,17,1,1,2,4
2020,Luke Ryan,Fremantle,0,0,0,0,0,0,0,0,3,DNP,0,0,3,0,0,0,0,0,6,17,2,,,2
2020,Josh Kennedy,West Coast,0,0,0,0,0,0,3,3,0,DNP,0,0,0,0,DNP,0,0,0,6,16,2,,,2
