season,footywire_player,player_team,lookup,player_name
2020,Lachlan Schultz,Fremantle,2020Lachlan SchultzFremantle,Lachie Schultz
2020,Minairo Frederick,Fremantle,2020Minairo FrederickFremantle,Michael Frederick
2021,Nathan Fyfe,Fremantle,2021Nathan FyfeFremantle,Nat Fyfe
2021,Matthew Taberner,Fremantle,2021Matthew TabernerFremantle,Matt Taberner
2021,Lachlan Schultz,Fremantle,2021Lachlan SchultzFremantle,Lachie Schultz
2021,Minairo Frederick,Fremantle,2021Minairo FrederickFremantle,Michael Frederick
2021,Mitchell Crowden,Fremantle,2021Mitchell CrowdenFremantle,Mitch Crowden
2013,Mitchell Brown,Geelong,2013Mitchell BrownGeelong,Mitch Brown
2013,Mitchell Duncan,Geelong,2013Mitchell DuncanGeelong,Mitch Duncan
2013,George H-Smith,Geelong,2013George H-SmithGeelong,George Horlin-Smith
2013,Joshua Walker,Geelong,2013Joshua WalkerGeelong,Josh Walker
2014,Mitchell Brown,Geelong,2014Mitchell BrownGeelong,Mitch Brown
2014,Mitchell Duncan,Geelong,2014Mitchell DuncanGeelong,Mitch Duncan
2014,George H-Smith,Geelong,2014George H-SmithGeelong,George Horlin-Smith
2014,Bradley Hartman,Geelong,2014Bradley HartmanGeelong,Brad Hartman
2014,Joshua Walker,Geelong,2014Joshua WalkerGeelong,Josh Walker
2015,Mitchell Clark,Geelong,2015Mitchell ClarkGeelong,Mitch Clark
2015,Mitchell Duncan,Geelong,2015Mitchell DuncanGeelong,Mitch Duncan
2015,George H-Smith,Geelong,2015George H-SmithGeelong,George Horlin-Smith
2015,Joshua Walker,Geelong,2015Joshua WalkerGeelong,Josh Walker
2016,Mitchell Clark,Geelong,2016Mitchell ClarkGeelong,Mitch Clark
2016,Mitchell Duncan,Geelong,2016Mitchell DuncanGeelong,Mitch Duncan
2016,George H-Smith,Geelong,2016George H-SmithGeelong,George Horlin-Smith
2016,Lachlan Henderson,Geelong,2016Lachlan HendersonGeelong,Lachie Henderson
2017,Mitchell Duncan,Geelong,2017Mitchell DuncanGeelong,Mitch Duncan
2017,George H-Smith,Geelong,2017George H-SmithGeelong,George Horlin-Smith
2017,Lachlan Henderson,Geelong,2017Lachlan HendersonGeelong,Lachie Henderson
2017,Mark O'Connor,Geelong,2017Mark O'ConnorGeelong,Mark OConnor
2017,Thomas Stewart,Geelong,2017Thomas StewartGeelong,Tom Stewart
2018,Gary Jnr Ablett,Geelong,2018Gary Jnr AblettGeelong,Gary Ablett
2018,Mitchell Duncan,Geelong,2018Mitchell DuncanGeelong,Mitch Duncan
2018,Lachlan Fogarty,Geelong,2018Lachlan FogartyGeelong,Lachie Fogarty
2018,George H-Smith,Geelong,2018George H-SmithGeelong,George Horlin-Smith
2018,Lachlan Henderson,Geelong,2018Lachlan HendersonGeelong,Lachie Henderson
2018,Mark O'Connor,Geelong,2018Mark O'ConnorGeelong,Mark OConnor
2018,Thomas Stewart,Geelong,2018Thomas StewartGeelong,Tom Stewart
2019,Gary Jnr Ablett,Geelong,2019Gary Jnr AblettGeelong,Gary Ablett
2019,Mitchell Duncan,Geelong,2019Mitchell DuncanGeelong,Mitch Duncan
2019,Lachlan Henderson,Geelong,2019Lachlan HendersonGeelong,Lachie Henderson
2019,Mark O'Connor,Geelong,2019Mark O'ConnorGeelong,Mark OConnor
2019,Thomas Stewart,Geelong,2019Thomas StewartGeelong,Tom Stewart
2019,Lachlan Fogarty,Geelong,2019Lachlan FogartyGeelong,Lachie Fogarty
2020,Mitchell Duncan,Geelong,2020Mitchell DuncanGeelong,Mitch Duncan
2020,Thomas Stewart,Geelong,2020Thomas StewartGeelong,Tom Stewart
2020,Lachlan Henderson,Geelong,2020Lachlan HendersonGeelong,Lachie Henderson
2020,Lachlan Fogarty,Geelong,2020Lachlan FogartyGeelong,Lachie Fogarty
2020,Bradley Close,Geelong,2020Bradley CloseGeelong,Brad Close
2021,Lachlan Henderson,Geelong,2021Lachlan HendersonGeelong,Lachie Henderson
2021,Thomas Stewart,Geelong,2021Thomas StewartGeelong,Tom Stewart
2021,Mitchell Duncan,Geelong,2021Mitchell DuncanGeelong,Mitch Duncan
2021,Bradley Close,Geelong,2021Bradley CloseGeelong,Brad Close
2013,Gary Jnr Ablett,Gold Coast,2013Gary Jnr AblettGold Coast,Gary Ablett
2013,Thomas Murphy,Gold Coast,2013Thomas MurphyGold Coast,Tom Murphy
2013,Jaeger O'Meara,Gold Coast,2013Jaeger O'MearaGold Coast,Jaeger OMeara
2013,Tim Sumner,Gold Coast,2013Tim SumnerGold Coast,Timmy Sumner
2013,Sebastian Tape,Gold Coast,2013Sebastian TapeGold Coast,Seb Tape
2014,Gary Jnr Ablett,Gold Coast,2014Gary Jnr AblettGold Coast,Gary Ablett
2014,Thomas Murphy,Gold Coast,2014Thomas MurphyGold Coast,Tom Murphy
2014,Jaeger O'Meara,Gold Coast,2014Jaeger O'MearaGold Coast,Jaeger OMeara
2014,Tim Sumner,Gold Coast,2014Tim SumnerGold Coast,Timmy Sumner
2014,Sebastian Tape,Gold Coast,2014Sebastian TapeGold Coast,Seb Tape
2015,Gary Jnr Ablett,Gold Coast,2015Gary Jnr AblettGold Coast,Gary Ablett
2015,Mitchell Hallahan,Gold Coast,2015Mitchell HallahanGold Coast,Mitch Hallahan
2015,Sebastian Tape,Gold Coast,2015Sebastian TapeGold Coast,Seb Tape
2016,Gary Jnr Ablett,Gold Coast,2016Gary Jnr AblettGold Coast,Gary Ablett
2016,Mitchell Hallahan,Gold Coast,2016Mitchell HallahanGold Coast,Mitch Hallahan
2016,Darcy Macpherson,Gold Coast,2016Darcy MacphersonGold Coast,Darcy MacPherson
2016,Matthew Rosa,Gold Coast,2016Matthew RosaGold Coast,Matt Rosa
2016,Joshua Schoenfeld,Gold Coast,2016Joshua SchoenfeldGold Coast,Josh Schoenfeld
2016,Sebastian Tape,Gold Coast,2016Sebastian TapeGold Coast,Seb Tape
2017,Gary Jnr Ablett,Gold Coast,2017Gary Jnr AblettGold Coast,Gary Ablett
2017,Mitchell Hallahan,Gold Coast,2017Mitchell HallahanGold Coast,Mitch Hallahan
2017,Darcy Macpherson,Gold Coast,2017Darcy MacphersonGold Coast,Darcy MacPherson
2017,Matthew Rosa,Gold Coast,2017Matthew RosaGold Coast,Matt Rosa
2017,Joshua Schoenfeld,Gold Coast,2017Joshua SchoenfeldGold Coast,Josh Schoenfeld
2018,Nicholas Holman,Gold Coast,2018Nicholas HolmanGold Coast,Nick Holman
2018,Darcy Macpherson,Gold Coast,2018Darcy MacphersonGold Coast,Darcy MacPherson
2018,Matthew Rosa,Gold Coast,2018Matthew RosaGold Coast,Matt Rosa
2018,Joshua Schoenfeld,Gold Coast,2018Joshua SchoenfeldGold Coast,Josh Schoenfeld
2018,Lachlan Weller,Gold Coast,2018Lachlan WellerGold Coast,Lachie Weller
2019,Samuel Collins,Gold Coast,2019Samuel CollinsGold Coast,Sam Collins
2019,George H-Smith,Gold Coast,2019George H-SmithGold Coast,George Horlin-Smith
2019,Nicholas Holman,Gold Coast,2019Nicholas HolmanGold Coast,Nick Holman
2019,Darcy Macpherson,Gold Coast,2019Darcy MacphersonGold Coast,Darcy MacPherson
2019,Joshua Schoenfeld,Gold Coast,2019Joshua SchoenfeldGold Coast,Josh Schoenfeld
2019,Lachlan Weller,Gold Coast,2019Lachlan WellerGold Coast,Lachie Weller
2019,Bradley Scheer,Gold Coast,2019Bradley ScheerGold Coast,Brad Scheer
2020,Nicholas Holman,Gold Coast,2020Nicholas HolmanGold Coast,Nick Holman
2020,Lachlan Weller,Gold Coast,2020Lachlan WellerGold Coast,Lachie Weller
2020,Darcy Macpherson,Gold Coast,2020Darcy MacphersonGold Coast,Darcy MacPherson
2020,Samuel Collins,Gold Coast,2020Samuel CollinsGold Coast,Sam Collins
2021,Nicholas Holman,Gold Coast,2021Nicholas HolmanGold Coast,Nick Holman
2021,Lachlan Weller,Gold Coast,2021Lachlan WellerGold Coast,Lachie Weller
2021,Darcy Macpherson,Gold Coast,2021Darcy MacphersonGold Coast,Darcy MacPherson
2021,Samuel Collins,Gold Coast,2021Samuel CollinsGold Coast,Sam Collins
2013,Matthew Buntine,Greater Western Sydney,2013Matthew BuntineGreater Western Sydney,Matt Buntine
2013,Will H-Elliott,Greater Western Sydney,2013Will H-ElliottGreater Western Sydney,Will Hoskin-Elliott
2013,Setanta O'hAilpin,Greater Western Sydney,2013Setanta O'hAilpinGreater Western Sydney,Setanta OhAilpin
2013,Jonathan O'Rourke,Greater Western Sydney,2013Jonathan O'RourkeGreater Western Sydney,Jonathan ORourke
2013,Lachlan Plowman,Greater Western Sydney,2013Lachlan PlowmanGreater Western Sydney,Lachie Plowman
2013,Samuel Reid,Greater Western Sydney,2013Samuel ReidGreater Western Sydney,Sam Reid
2013,Zachary Williams,Greater Western Sydney,2013Zachary WilliamsGreater Western Sydney,Zac Williams
2014,Thomas Boyd,Greater Western Sydney,2014Thomas BoydGreater Western Sydney,Tom Boyd
2014,Matthew Buntine,Greater Western Sydney,2014Matthew BuntineGreater Western Sydney,Matt Buntine
2014,Will H-Elliott,Greater Western Sydney,2014Will H-ElliottGreater Western Sydney,Will Hoskin-Elliott
2014,Joshua Kelly,Greater Western Sydney,2014Joshua KellyGreater Western Sydney,Josh Kelly
2014,Cameron McCarthy,Greater Western Sydney,2014Cameron McCarthyGreater Western Sydney,Cam McCarthy
