season,footywire_player,player_team,lookup,player_name
2015,Matthew Priddis,West Coast,2015Matthew PriddisWest Coast,Matt Priddis
2015,Matthew Rosa,West Coast,2015Matthew RosaWest Coast,Matt Rosa
2015,Dominic Sheed,West Coast,2015Dominic SheedWest Coast,Dom Sheed
2015,Bradley Sheppard,West Coast,2015Bradley SheppardWest Coast,Brad Sheppard
2016,Mitchell Brown,West Coast,2016Mitchell BrownWest Coast,Mitch Brown
2016,Joshua Kennedy,West Coast,2016Joshua KennedyWest Coast,Josh J. Kennedy
2016,Mark Lecras,West Coast,2016Mark LecrasWest Coast,Mark LeCras
2016,Eric MacKenzie,West Coast,2016Eric MacKenzieWest Coast,Eric Mackenzie
2016,Nicholas Naitanui,West Coast,2016Nicholas NaitanuiWest Coast,Nic Naitanui
2016,Matthew Priddis,West Coast,2016Matthew PriddisWest Coast,Matt Priddis
2016,Dominic Sheed,West Coast,2016Dominic SheedWest Coast,Dom Sheed
2016,Bradley Sheppard,West Coast,2016Bradley SheppardWest Coast,Brad Sheppard
2017,Joshua Kennedy,West Coast,2017Joshua KennedyWest Coast,Josh J. Kennedy
2017,Mark Lecras,West Coast,2017Mark LecrasWest Coast,Mark LeCras
2017,Eric MacKenzie,West Coast,2017Eric MacKenzieWest Coast,Eric Mackenzie
2017,Matthew Priddis,West Coast,2017Matthew PriddisWest Coast,Matt Priddis
2017,Dominic Sheed,West Coast,2017Dominic SheedWest Coast,Dom Sheed
2017,Bradley Sheppard,West Coast,2017Bradley SheppardWest Coast,Brad Sheppard
2018,Joshua Kennedy,West Coast,2018Joshua KennedyWest Coast,Josh J. Kennedy
2018,Mark Lecras,West Coast,2018Mark LecrasWest Coast,Mark LeCras
2018,Nicholas Naitanui,West Coast,2018Nicholas NaitanuiWest Coast,Nic Naitanui
2018,Dominic Sheed,West Coast,2018Dominic SheedWest Coast,Dom Sheed
2018,Bradley Sheppard,West Coast,2018Bradley SheppardWest Coast,Brad Sheppard
2019,Jarrod Cameron,West Coast,2019Jarrod CameronWest Coast,Jarrod Cameron
2019,Joshua Kennedy,West Coast,2019Joshua KennedyWest Coast,Josh J. Kennedy
2019,Dominic Sheed,West Coast,2019Dominic SheedWest Coast,Dom Sheed
2019,Bradley Sheppard,West Coast,2019Bradley SheppardWest Coast,Brad Sheppard
2019,Nicholas Naitanui,West Coast,2019Nicholas NaitanuiWest Coast,Nic Naitanui
2020,Joshua Kennedy,West Coast,2020Joshua KennedyWest Coast,Josh J. Kennedy
2020,Nicholas Naitanui,West Coast,2020Nicholas NaitanuiWest Coast,Nic Naitanui
2020,Bradley Sheppard,West Coast,2020Bradley SheppardWest Coast,Brad Sheppard
2020,Dominic Sheed,West Coast,2020Dominic SheedWest Coast,Dom Sheed
2020,Nic Reid,West Coast,2020Nic ReidWest Coast,Nicholas Reid
2020,Bailey Williams,West Coast,2020Bailey WilliamsWest Coast,Bailey J. Williams
2021,Joshua Kennedy,West Coast,2021Joshua KennedyWest Coast,Josh J. Kennedy
2021,Nicholas Naitanui,West Coast,2021Nicholas NaitanuiWest Coast,Nic Naitanui
2021,Bradley Sheppard,West Coast,2021Bradley SheppardWest Coast,Brad Sheppard
2021,Dominic Sheed,West Coast,2021Dominic SheedWest Coast,Dom Sheed
2021,Bailey Williams,West Coast,2021Bailey WilliamsWest Coast,Bailey J. Williams
2013,Lachlan Hunter,Western Bulldogs,2013Lachlan HunterWestern Bulldogs,Lachie Hunter
2013,Thomas Liberatore,Western Bulldogs,2013Thomas LiberatoreWestern Bulldogs,Tom Liberatore
2013,Jackson Macrae,Western Bulldogs,2013Jackson MacraeWestern Bulldogs,Jack Macrae
2013,Mitchell Wallis,Western Bulldogs,2013Mitchell WallisWestern Bulldogs,Mitch Wallis
2013,Thomas Young,Western Bulldogs,2013Thomas YoungWestern Bulldogs,Tom Young
2014,Lachlan Hunter,Western Bulldogs,2014Lachlan HunterWestern Bulldogs,Lachie Hunter
2014,Thomas Liberatore,Western Bulldogs,2014Thomas LiberatoreWestern Bulldogs,Tom Liberatore
2014,Jackson Macrae,Western Bulldogs,2014Jackson MacraeWestern Bulldogs,Jack Macrae
2014,Mitchell Wallis,Western Bulldogs,2014Mitchell WallisWestern Bulldogs,Mitch Wallis
2014,Thomas Young,Western Bulldogs,2014Thomas YoungWestern Bulldogs,Tom Young
2015,Thomas Boyd,Western Bulldogs,2015Thomas BoydWestern Bulldogs,Tom Boyd
2015,Lachlan Hunter,Western Bulldogs,2015Lachlan HunterWestern Bulldogs,Lachie Hunter
2015,Jackson Macrae,Western Bulldogs,2015Jackson MacraeWestern Bulldogs,Jack Macrae
2015,Joshua Prudden,Western Bulldogs,2015Joshua PruddenWestern Bulldogs,Josh Prudden
2015,Mitchell Wallis,Western Bulldogs,2015Mitchell WallisWestern Bulldogs,Mitch Wallis
2016,Thomas Boyd,Western Bulldogs,2016Thomas BoydWestern Bulldogs,Tom Boyd
2016,Lachlan Hunter,Western Bulldogs,2016Lachlan HunterWestern Bulldogs,Lachie Hunter
2016,Thomas Liberatore,Western Bulldogs,2016Thomas LiberatoreWestern Bulldogs,Tom Liberatore
2016,Jackson Macrae,Western Bulldogs,2016Jackson MacraeWestern Bulldogs,Jack Macrae
2016,Matthew Suckling,Western Bulldogs,2016Matthew SucklingWestern Bulldogs,Matt Suckling
2016,Mitchell Wallis,Western Bulldogs,2016Mitchell WallisWestern Bulldogs,Mitch Wallis
2017,Thomas Boyd,Western Bulldogs,2017Thomas BoydWestern Bulldogs,Tom Boyd
2017,Timothy English,Western Bulldogs,2017Timothy EnglishWestern Bulldogs,Tim English
2017,Lachlan Hunter,Western Bulldogs,2017Lachlan HunterWestern Bulldogs,Lachie Hunter
2017,Thomas Liberatore,Western Bulldogs,2017Thomas LiberatoreWestern Bulldogs,Tom Liberatore
2017,Jackson Macrae,Western Bulldogs,2017Jackson MacraeWestern Bulldogs,Jack Macrae
2017,Matthew Suckling,Western Bulldogs,2017Matthew SucklingWestern Bulldogs,Matt Suckling
2017,Mitchell Wallis,Western Bulldogs,2017Mitchell WallisWestern Bulldogs,Mitch Wallis
2018,Thomas Boyd,Western Bulldogs,2018Thomas BoydWestern Bulldogs,Tom Boyd
2018,Timothy English,Western Bulldogs,2018Timothy EnglishWestern Bulldogs,Tim English
2018,Lachlan Hunter,Western Bulldogs,2018Lachlan HunterWestern Bulldogs,Lachie Hunter
2018,Thomas Liberatore,Western Bulldogs,2018Thomas LiberatoreWestern Bulldogs,Tom Liberatore
2018,Bradley Lynch,Western Bulldogs,2018Bradley LynchWestern Bulldogs,Brad Lynch
2018,Jackson Macrae,Western Bulldogs,2018Jackson MacraeWestern Bulldogs,Jack Macrae
2018,Matthew Suckling,Western Bulldogs,2018Matthew SucklingWestern Bulldogs,Matt Suckling
2018,Mitchell Wallis,Western Bulldogs,2018Mitchell WallisWestern Bulldogs,Mitch Wallis
2019,Timothy English,Western Bulldogs,2019Timothy EnglishWestern Bulldogs,Tim English
2019,Lachlan Hunter,Western Bulldogs,2019Lachlan HunterWestern Bulldogs,Lachie Hunter
2019,Thomas Liberatore,Western Bulldogs,2019Thomas LiberatoreWestern Bulldogs,Tom Liberatore
2019,Jackson Macrae,Western Bulldogs,2019Jackson MacraeWestern Bulldogs,Jack Macrae
2019,Matthew Suckling,Western Bulldogs,2019Matthew SucklingWestern Bulldogs,Matt Suckling
2019,Mitchell Wallis,Western Bulldogs,2019Mitchell WallisWestern Bulldogs,Mitch Wallis
2020,Mitchell Wallis,Western Bulldogs,2020Mitchell WallisWestern Bulldogs,Mitch Wallis
2020,Jackson Macrae,Western Bulldogs,2020Jackson MacraeWestern Bulldogs,Jack Macrae
2020,Lachlan Hunter,Western Bulldogs,2020Lachlan HunterWestern Bulldogs,Lachie Hunter
2020,Timothy English,Western Bulldogs,2020Timothy EnglishWestern Bulldogs,Tim English
2020,Thomas Liberatore,Western Bulldogs,2020Thomas LiberatoreWestern Bulldogs,Tom Liberatore
2021,Thomas Liberatore,Western Bulldogs,2021Thomas LiberatoreWestern Bulldogs,Tom Liberatore
2021,Mitchell Wallis,Western Bulldogs,2021Mitchell WallisWestern Bulldogs,Mitch Wallis
2021,Jackson Macrae,Western Bulldogs,2021Jackson MacraeWestern Bulldogs,Jack Macrae
2021,Lachlan Hunter,Western Bulldogs,2021Lachlan HunterWestern Bulldogs,Lachie Hunter
2021,Timothy English,Western Bulldogs,2021Timothy EnglishWestern Bulldogs,Tim English
2021,Mitchell Hannan,Western Bulldogs,2021Mitchell HannanWestern Bulldogs,Mitch Hannan
2021,Jamarra U-Hagan,Western Bulldogs,2021Jamarra U-HaganWestern Bulldogs,Jamarra Ugle-Hagan
