player_name,player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Connor Rozee,Port Adelaide,0,1,11,0.8995810853375588,-1
Darcy Cameron,Collingwood,0,1,1,0.6805933578580152,-1
Darcy Gardiner,Brisbane Lions,0,1,6,0.23944744432810694,-1
Ed Langdon,Melbourne,0,1,17,1.42018668318633,-1
Griffin Logue,Fremantle,0,1,6,0.5379061033017933,-1
Jack Higgins,Richmond,0,1,6,0.6079654749191832,-1
Jeremy Finlayson,Greater Western Sydney,0,1,3,0.7624868583516218,-1
Kyle Langford,Essendon,0,1,3,1.3039065808989108,-1
Laitham Vandermeer,Western Bulldogs,0,1,0,0.26303121374803595,-1
Mason Cox,Collingwood,0,1,1,0.2695168233476579,-1
Paul Seedsman,Adelaide,0,1,1,0.570680151169654,-1
Toby Nankervis,Richmond,0,1,7,0.4071674625738524,-1
Tom J. Lynch,Richmond,0,1,0,0.5740552134811878,-1
Tom Jonas,Port Adelaide,0,1,19,0.5281557482667267,-1
Trent Dumont,North Melbourne,0,1,5,0.2970953374169767,-1
Bailey Smith,Western Bulldogs,7,0,26,2.7211139735009056,7
Darcy Moore,Collingwood,6,0,27,0.7737050165887922,6
Michael Gibbons,Carlton,4,0,3,0.7125861045788042,4
Jack Graham,Richmond,3,0,14,0.32378416243591346,3
Rory Lobb,Fremantle,3,0,10,0.5272777027857956,3
Rory Sloane,Adelaide,3,0,0,0.18229975865688175,3
Adam Saad,Essendon,2,0,16,0.5495839798822999,2
Anthony McDonald-Tipungwuti,Essendon,2,0,10,0.9556613620370626,2
Ben Long,St Kilda,2,0,2,0.07902191107859835,2
Brent Daniels,Greater Western Sydney,2,0,6,-0.020696602819953114,2
Cam Rayner,Brisbane Lions,2,0,2,0.032511727418750525,2
Darcy Byrne-Jones,Port Adelaide,2,0,21,0.7678759003756568,2
Darcy Tucker,Fremantle,2,0,3,0.5922030293440912,2
David Swallow,Gold Coast,2,0,5,1.1554210730828345,2
Harry McKay,Carlton,2,0,7,0.5380847076885402,2
Jonathon Ceglar,Hawthorn,2,0,6,0.3788451233995147,2
Luke Davies-Uniacke,North Melbourne,2,0,5,0.06168681615963578,2
Mitch Brown,Melbourne,2,0,0,-0.03376730065792799,2
Oliver Florent,Sydney,2,0,9,0.678726528189145,2
Sam Day,Gold Coast,2,0,0,0.15303455045796,2
Shaun Burgoyne,Hawthorn,2,0,4,0.3391821748809889,2
Tom Phillips,Collingwood,2,0,0,0.5912762503139675,2
Zak Butters,Port Adelaide,2,0,18,0.6370122090738732,2
Aaron Hall,North Melbourne,1,0,0,0.4515041084960103,1
Alex Sexton,Gold Coast,1,0,2,0.7452206364250742,1
Bachar Houli,Richmond,1,0,10,0.8557816304964945,1
Bailey Williams,Western Bulldogs,1,0,5,1.012769917055266,1
Ben Keays,Adelaide,1,0,0,0.5125678174663335,1
Ben King,Gold Coast,1,0,6,0.17063702541054226,1
Brad Ebert,Port Adelaide,1,0,5,0.5595942919026129,1
Caleb Serong,Fremantle,1,0,13,0.9649726773204748,1
Dylan Moore,Hawthorn,1,0,2,0.0295193062920589,1
Easton Wood,Western Bulldogs,1,0,5,0.04958798797451891,1
Eric Hipwood,Brisbane Lions,1,0,7,1.0662299701652955,1
Gary Ablett,Geelong,1,0,5,0.8499572589062154,1
Hamish Hartlett,Port Adelaide,1,0,10,0.505080783739686,1
Harry Himmelberg,Greater Western Sydney,1,0,2,0.712275053418125,1
Jack Newnes,Carlton,1,0,1,0.17961666558403522,1
Jake Carlisle,St Kilda,1,0,1,0.012917567219119519,1
Jed Bews,Geelong,1,0,9,0.019592717610066757,1
Joe Daniher,Essendon,1,0,4,-0.022769219242036343,1
John Noble,Collingwood,1,0,1,0.0748460371978581,1
