player_name,player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Isaac Smith,Geelong,0,0,7,0.6512104146822821,0
Isiah Winder,West Coast,0,0,0,-1.3840480824001133e-4,0
Izak Rankine,Gold Coast,0,0,3,0.44018484933985746,0
Jack Billings,St Kilda,0,3,13,3.338102558540413,-3
Jack Bowes,Gold Coast,0,0,5,0.3847097351390403,0
Jack Buckley,Greater Western Sydney,0,0,0,0.0020460319792618975,0
Jack Bytel,St Kilda,0,0,0,0.0016891478444449604,0
Jack Crisp,Collingwood,0,9,36,7.260736061318312,-9
Jack Darling,West Coast,0,8,23,5.122598357615061,-8
Jack Ginnivan,Collingwood,0,0,0,-0.00106201451853849,0
Jack Graham,Richmond,0,5,25,4.38252658653073,-5
Jack Gunston,Hawthorn,0,0,0,-4.786720674019307e-4,0
Jack Henry,Geelong,0,0,14,0.12482988359988667,0
Jack Higgins,St Kilda,0,2,14,2.2526614972885,-2
Jack Lonie,St Kilda,0,0,0,-0.008657841302920133,0
Jack Lukosius,Gold Coast,0,1,15,1.0736581890523667,-1
Jack Macrae,Western Bulldogs,0,21,60,18.49247659370303,-21
Jack Madgen,Collingwood,0,0,1,0.121922135760542,0
Jack Mahony,North Melbourne,0,0,0,-0.01848019554745406,0
Jack Martin,Carlton,0,0,2,0.11397526090149768,0
Jack Newnes,Carlton,0,0,0,0.031438376812729985,0
Jack Payne,Brisbane Lions,0,0,0,0.025123576691839844,0
Jack Petruccelle,West Coast,0,0,5,0.22635275252105203,0
Jack Redden,West Coast,0,1,7,2.9018735252611805,-1
Jack Riewoldt,Richmond,0,9,30,7.574124582703007,-9
Jack Ross,Richmond,0,0,2,0.11253317855880596,0
Jack Scrimshaw,Hawthorn,0,1,12,1.21141168828035,-1
Jack Silvagni,Carlton,0,2,10,1.425524538004538,-2
Jack Sinclair,St Kilda,0,0,15,0.8106175133943907,0
Jack Steele,St Kilda,0,31,100,25.762247448787093,-31
Jack Viney,Melbourne,0,0,5,0.5115105036529712,0
Jack Ziebell,North Melbourne,0,3,18,3.487361016101204,-3
Jackson Hately,Adelaide,0,0,0,-0.007190972566604614,0
Jackson Nelson,West Coast,0,0,0,-0.020839447606704198,0
Jacob Hopper,Greater Western Sydney,0,9,51,8.677633683662862,-9
Jacob Koschitzke,Hawthorn,0,2,6,1.736662600771524,-2
Jacob Townsend,Gold Coast,0,0,0,-6.227332050912082e-4,0
Jacob Weitering,Carlton,0,5,39,4.099717206321657,-5
Jade Gresham,St Kilda,0,2,6,0.6548113802273292,-2
Jaeger O'Meara,Hawthorn,0,4,41,6.599187181331217,-4
Jai Newcombe,Hawthorn,0,0,0,0.03654526313766837,0
Jaidyn Stephenson,North Melbourne,0,3,19,4.267942091784789,-3
Jake Aarts,Richmond,0,0,0,-0.007665587327210233,0
Jake Bowey,Melbourne,0,0,0,0.025039952117367648,0
Jake Carlisle,St Kilda,0,0,0,-0.006626364396652207,0
Jake Kelly,Adelaide,0,0,0,-0.010190773777139839,0
Jake Kolodjashnij,Geelong,0,0,0,-0.02772422797352192,0
Jake Lever,Melbourne,0,0,40,1.933902368415147,0
Jake Lloyd,Sydney,0,2,20,3.8222505594603717,-2
Jake Melksham,Melbourne,0,0,0,-0.12163773912470788,0
Jake Riccardi,Greater Western Sydney,0,0,0,-0.005045610741944984,0
Jake Stein,Greater Western Sydney,0,0,0,0.025857424072455615,0
Jake Stringer,Essendon,0,8,45,7.272447611670941,-8
Jake Waterman,West Coast,0,0,0,0.05558840330922976,0
Jamaine Jones,West Coast,0,0,1,-0.030510561424307525,0
Jamarra Ugle-Hagan,Western Bulldogs,0,0,0,0.0021441426360979676,0
James Aish,Fremantle,0,0,10,0.9167006344505353,0
James Bell,Sydney,0,0,0,0.0020613880187738687,0
James Cousins,Hawthorn,0,0,0,0.04792758775874972,0
James Frawley,St Kilda,0,0,0,-0.0023012084420770407,0
James Harmes,Melbourne,0,0,6,1.3779893423779868,0
James Jordon,Melbourne,0,0,0,0.10491807016296661,0
James Madden,Brisbane Lions,0,0,0,-0.002091015265250462,0
James Peatling,Greater Western Sydney,0,0,0,0.012746895430609584,0
James Rowbottom,Sydney,0,0,0,0.24162550433538854,0
James Rowe,Adelaide,0,0,0,0.07468008361684042,0
James Stewart,Essendon,0,0,0,0.03944864468940068,0
James Worpel,Hawthorn,0,0,1,0.9469290616107173,0
Jamie Cripps,West Coast,0,5,13,3.4841207514109556,-5
Jamie Elliott,Collingwood,0,5,15,3.053500077290664,-5
Jared Polec,North Melbourne,0,0,0,0.0033096501720137894,0
Jarman Impey,Hawthorn,0,0,0,0.7493854235035542,0
Jarrod Berry,Brisbane Lions,0,0,0,0.022183742228662595,0
Jarrod Brander,West Coast,0,0,0,0.03411371473339386,0
Jarrod Harbrow,Gold Coast,0,0,0,-0.03951187652091903,0
