kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcomeDraw,match_outcomeLoss,match_outcomeWin,player_positionBPL,player_positionBPR,player_positionC,player_positionCHB,player_positionCHF,player_positionFB,player_positionFF,player_positionFPL,player_positionFPR,player_positionHBFL,player_positionHBFR,player_positionHFFL,player_positionHFFR,player_positionINT,player_positionR,player_positionRK,player_positionRR,player_positionSUB,player_positionWL,player_positionWR,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
10,1,22,32,26,81,0,0,0,6,2,2,8,3,3,1,22,10,0,0,0,1,0,89,101,126,5,3,5,263,3,4,0,0,0,2,1,11,6,1,16,0,0,0,0,21,27.1,0,2,0,0,33,10,9,64,1,1,6,1,0.02197802197802198,0.005952380952380952,0.07236842105263158,0.04216073781291173,0,0,0.047619047619047616,0.018691588785046728,0.10256410256410256,0.07236842105263158,0.022675736961451247,0,0,0,0.02054794520547945,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8531656265258789,Patrick Cripps,2,15408,1,Carlton,2019,2,2
9,3,4,13,11,85,1,0,0,4,2,1,0,1,0,0,7,7,2,0,3,0,0,79,67,82,0,0,2,298,3,4,0,0,0,1,1,4,8,0,4,0,0,0,0,7,13.2,0,0,1,1,33,13,14,97,0,0,1,0,0.01978021978021978,0.017857142857142856,0.013157894736842105,0.017127799736495388,0.043478260869565216,0,0.031746031746031744,0.009345794392523364,0,0.023026315789473683,0.015873015873015872,0.11764705882352941,0,0,0.02054794520547945,0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.016961820423603058,Kamdyn McIntosh,0,15408,1,Richmond,2019,14,0
8,3,1,9,4,44,0,0,0,4,3,0,1,2,0,0,5,5,0,0,2,0,0,68,51,39,0,1,2,202,2,4,0,0,1,0,0,11,4,0,4,0,0,1,0,12,6.6,0,2,0,1,33,10,9,64,0,0,0,0,0.017582417582417582,0.017857142857142856,0.003289473684210526,0.011857707509881422,0,0,0.031746031746031744,0,0.01282051282051282,0.01644736842105263,0.011337868480725623,0,0,0,0.0136986301369863,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.280544235371053e-4,Jarrod Garlett,0,15408,1,Carlton,2019,29,0
12,7,18,30,23,77,0,1,0,4,1,3,3,4,2,0,10,19,0,1,0,0,0,89,112,95,0,3,9,412,4,4,1,0,0,0,0,10,7,0,7,0,0,1,0,28,11.5,0,0,2,0,33,13,14,97,0,0,8,0,0.026373626373626374,0.041666666666666664,0.05921052631578947,0.039525691699604744,0,0.058823529411764705,0.031746031746031744,0.028037383177570093,0.038461538461538464,0.03289473684210526,0.04308390022675737,0,0.05263157894736842,0,0.0273972602739726,0.04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.2026524543762207,Kane Lambert,0,15408,1,Richmond,2019,1,3
13,2,4,17,7,41,3,0,34,2,0,2,3,3,3,0,13,7,0,0,0,0,0,83,115,127,0,3,8,321,5,2,0,0,0,1,0,6,7,3,9,10,50.7,1,0,15,15.2,67,3,3,0,33,13,14,97,0,0,4,0,0.02857142857142857,0.011904761904761904,0.013157894736842105,0.022397891963109356,0.13043478260869565,0,0.015873015873015872,0.018691588785046728,0.038461538461538464,0.04276315789473684,0.015873015873015872,0,0,0,0.03424657534246575,0.06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6991696953773499,Toby Nankervis,1,15408,1,Richmond,2019,3,1
10,4,7,17,13,77,0,2,0,2,0,4,2,0,1,0,6,10,0,0,2,0,2,88,67,82,1,1,9,317,1,1,1,0,0,2,1,5,7,1,5,0,0,0,1,11,10.3,0,2,2,0,33,13,14,97,0,0,0,0,0.02197802197802198,0.023809523809523808,0.023026315789473683,0.022397891963109356,0,0.11764705882352941,0.015873015873015872,0.037383177570093455,0.02564102564102564,0.019736842105263157,0.022675736961451247,0,0,0.11764705882352941,0.00684931506849315,0.04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0023534747306257486,Daniel Rioli,0,15408,1,Richmond,2019,23,0
13,7,4,17,15,88,0,0,0,2,3,1,0,3,0,2,8,7,3,0,6,0,0,98,70,86,0,0,2,302,2,12,0,1,9,0,0,6,12,0,4,0,0,4,0,6,14.4,0,1,0,5,33,10,9,64,0,0,0,0,0.02857142857142857,0.041666666666666664,0.013157894736842105,0.022397891963109356,0,0,0.015873015873015872,0.009345794392523364,0,0.02631578947368421,0.015873015873015872,0.17647058823529413,0,0,0.0136986301369863,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013827626593410969,Jacob Weitering,0,15408,1,Carlton,2019,16,0
8,5,3,11,7,64,1,1,0,0,0,3,0,3,1,0,5,8,0,0,0,0,0,75,53,44,0,0,5,230,4,2,0,0,0,3,1,0,4,1,4,0,0,0,0,7,3.9,0,0,2,0,33,10,9,64,0,0,0,0,0.017582417582417582,0.02976190476190476,0.009868421052631578,0.014492753623188406,0.043478260869565216,0.058823529411764705,0,0.028037383177570093,0,0.01644736842105263,0.018140589569160998,0,0,0,0.0273972602739726,0.04,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0017972716595977545,Mitch McGovern,0,15408,1,Carlton,2019,32,0
18,5,2,20,14,70,0,1,0,3,9,2,1,5,0,1,3,10,1,0,3,0,0,89,83,67,0,1,4,694,8,2,0,1,2,0,0,10,12,0,1,0,0,1,0,15,1.6,0,0,2,1,33,13,14,97,0,0,0,0,0.03956043956043956,0.02976190476190476,0.006578947368421052,0.026350461133069828,0,0.058823529411764705,0.023809523809523808,0.018691588785046728,0.01282051282051282,0.009868421052631578,0.022675736961451247,0.058823529411764705,0,0,0.0547945205479452,0.04,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.10025932639837265,Jayden Short,0,15408,1,Richmond,2019,44,0
10,1,2,12,6,50,1,0,0,1,0,2,0,4,0,2,6,5,0,0,0,0,0,94,41,44,0,0,4,194,3,0,0,0,0,2,0,0,5,2,6,0,0,0,0,7,6.7,0,0,2,0,33,10,9,64,0,0,0,0,0.02197802197802198,0.005952380952380952,0.006578947368421052,0.015810276679841896,0.043478260869565216,0,0.007936507936507936,0.018691588785046728,0,0.019736842105263157,0.011337868480725623,0,0,0,0.02054794520547945,0.04,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.422551814466715e-4,Charlie Curnow,0,15408,1,Carlton,2019,30,0
