kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,prob_0,prob_1,prob_2,prob_3,expected_votes,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,predicted_votes
3,2,3,6,3,50,0,2,0,4,0,1,2,4,1,3,5,3,0,0,1,0,0,70,31,35,0,2,3,130,2,0,1,0,0,0,0,6,1,0,3,0,0,0,0,17,-0.2,0,0,2,0,12,8,9,62,0,0,0,0,28,0.009259259259259259,0.015748031496062992,0.015544041450777202,0.01160541586073501,0,0.1111111111111111,0.03278688524590164,0.01282051282051282,0.030303030303030304,0.022026431718061675,0.01090909090909091,0,0,0,0.02247191011235955,0.05405405405405406,0,1,0,0,0,1,0,0,0,0.999897837638855,3.65591658919584e-5,1.2285207048989832e-5,5.325636448105797e-5,2.2089867343311198e-4,0,Zac Langdon,0,15761,8,Greater Western Sydney,2020,0
5,0,1,6,2,33,0,0,0,2,0,3,0,0,0,0,2,3,0,0,0,0,1,82,25,33,0,0,1,125,2,0,2,0,0,5,1,0,2,0,2,0,0,0,0,8,5.5,0,0,0,0,12,1,10,61,0,0,0,0,144,0.013850415512465374,0,0.003472222222222222,0.009244992295839754,0,0,0.020202020202020204,0.03896103896103896,0,0.007518796992481203,0.007874015748031496,0,0,0.07142857142857142,0.015037593984962405,0,0,1,0,1,0,0,0,0,0,0.9998995065689087,3.3071184589061886e-5,4.012604404124431e-5,2.7248197511653416e-5,1.9506786520651076e-4,0,Brandon Matera,0,15777,9,Fremantle,2020,0
10,8,5,15,12,80,0,0,0,2,2,1,0,2,1,0,5,11,0,0,2,0,0,86,73,62,0,0,3,86,2,5,0,0,2,0,0,5,8,0,4,0,0,1,0,7,5.5,0,1,0,2,44,7,5,37,0,0,0,0,20,0.026385224274406333,0.04081632653061224,0.018315018315018316,0.023006134969325152,0,0,0.02040816326530612,0.013513513513513514,0,0.02262443438914027,0.025522041763341066,0,0,0,0.016666666666666666,0,1,0,0,0,0,0,0,0,0,0.9999336004257202,4.0097609598888084e-5,2.3263377443072386e-5,3.0478613552986644e-6,9.576794855092885e-5,0,Nick Coffield,0,15661,3,St Kilda,2020,0
4,1,2,6,4,67,0,0,0,1,0,1,1,2,1,1,2,3,0,0,0,0,0,77,21,20,1,0,2,58,1,0,0,0,0,0,0,3,3,0,1,0,0,0,0,10,1.7,0,0,0,0,2,11,11,77,0,0,0,0,184,0.011834319526627219,0.007462686567164179,0.0106951871657754,0.011428571428571429,0,0,0.009615384615384616,0.0125,0.016129032258064516,0.008888888888888889,0.010169491525423728,0,0,0,0.00847457627118644,0,1,0,1,0,0,0,0,0,0,0.999929666519165,2.9802133212797344e-5,1.1134501619380899e-5,2.9401882784441113e-5,1.4027678480488248e-4,0,Jack Steven,0,15663,3,Geelong,2020,0
8,5,3,11,10,91,2,0,0,1,0,2,0,0,1,0,4,9,0,2,1,0,1,79,62,92,0,0,4,276,2,1,0,0,0,0,0,1,7,2,3,0,0,0,1,6,11.7,0,0,2,0,12,1,10,61,0,0,0,0,16,0.0221606648199446,0.038461538461538464,0.010416666666666666,0.01694915254237288,0.11764705882352941,0,0.010101010101010102,0.025974025974025976,0,0.015037593984962405,0.023622047244094488,0,0.18181818181818182,0.07142857142857142,0.015037593984962405,0.06896551724137931,0,1,0,1,0,0,0,0,0,0.9957772493362427,0.0035972020123153925,4.3304305290803313e-4,1.924664102261886e-4,0.0050406873488100246,0,Lachie Schultz,0,15777,9,Fremantle,2020,0
7,2,6,13,10,77,1,0,0,4,1,3,2,4,1,3,7,8,0,0,0,1,0,77,53,83,0,2,2,212,1,2,0,0,0,1,0,4,5,2,6,0,0,0,0,11,8.9,0,0,1,0,27,8,8,56,0,0,0,0,11,0.02005730659025788,0.01282051282051282,0.027149321266968326,0.02280701754385965,0.08333333333333333,0,0.04938271604938271,0.037037037037037035,0.03508771929824561,0.031818181818181815,0.022922636103151862,0,0,0,0.010101010101010102,0.03571428571428571,0,1,0,0,0,1,0,0,0,0.9978504180908203,0.001976175233721733,6.94229529472068e-5,1.0401919280411676e-4,0.002427078718028497,0,Jake Aarts,1,15836,15,Richmond,2020,0
14,5,5,19,14,74,0,1,0,1,1,2,0,2,1,1,7,12,0,0,1,1,0,86,70,108,0,0,7,331,5,6,0,1,1,1,0,5,10,1,6,0,0,0,1,10,7.5,0,2,1,1,41,17,4,41,0,0,0,0,54,0.03553299492385787,0.02512562814070352,0.02512562814070352,0.03204047217537943,0,0.043478260869565216,0.0136986301369863,0.023809523809523808,0,0.035,0.031496062992125984,0,0,0,0.043859649122807015,0.023809523809523808,1,0,0,0,0,0,0,0,0,0.9910444021224976,0.00844660121947527,4.6381872380152345e-4,4.521314622252248e-5,0.009509878105745884,0,Callum Ah Chee,0,15780,10,Brisbane Lions,2020,0
8,2,6,14,8,57,0,0,0,1,0,3,3,4,1,2,8,6,0,0,2,0,0,69,41,59,1,2,3,142,5,3,0,0,0,1,0,4,4,1,7,0,0,0,0,16,6.2,0,0,0,2,32,9,5,39,0,0,0,0,98,0.022222222222222223,0.013333333333333334,0.023529411764705882,0.022764227642276424,0,0,0.01639344262295082,0.038461538461538464,0.07692307692307693,0.034934497816593885,0.016172506738544475,0,0,0,0.03546099290780142,0,1,0,1,0,0,0,0,0,0,0.9999042749404907,6.082838081056252e-5,2.759422204690054e-5,7.28627082935418e-6,1.3787563739242614e-4,0,Kane Lambert,0,15658,3,Richmond,2020,0
4,2,5,9,6,67,1,0,24,2,0,0,2,2,0,2,6,1,1,1,2,0,0,68,60,85,1,1,5,0,2,3,0,0,0,0,0,3,2,1,4,8,53.3,1,0,4,10.9,45,3,1,2,21,5,8,53,0,0,0,0,32,0.012084592145015106,0.012269938650306749,0.02336448598130841,0.01651376146788991,0.08333333333333333,0,0.01904761904761905,0,0.03773584905660377,0.02631578947368421,0.0031545741324921135,0.045454545454545456,0.06666666666666667,0,0.015748031496062992,0.03225806451612903,0,1,0,0,0,0,0,1,0,0.99649578332901,0.00228861253708601,0.001033645705319941,1.8192979041486979e-4,0.004901693318970501,0,Ivan Soldo,0,15816,12,Richmond,2020,0
11,4,5,16,10,63,0,0,0,3,1,3,0,3,0,0,3,13,0,0,2,2,0,85,67,67,0,0,1,319,6,3,0,0,0,0,0,14,5,0,2,0,0,1,0,20,6.5,0,0,1,1,44,10,6,46,0,0,0,0,198,0.028205128205128206,0.03225806451612903,0.021367521367521368,0.02564102564102564,0,0,0.03225806451612903,0.031578947368421054,0,0.011904761904761904,0.036414565826330535,0,0,0,0.04477611940298507,0.021739130434782608,1,0,0,0,1,0,0,0,0,0.9998565912246704,8.219255687436089e-5,5.738402614952065e-5,3.835408278973773e-6,2.084668340103235e-4,0,Lewis Jetta,0,15652,2,West Coast,2020,0
7,3,16,23,22,96,0,0,0,3,1,2,5,0,1,0,8,14,0,0,0,0,1,86,75,113,1,4,3,204,2,3,0,0,1,0,0,14,6,0,7,0,0,0,0,27,16.3,0,1,0,0,35,3,5,33,0,0,2,0,75,0.01928374655647383,0.016853932584269662,0.06611570247933884,0.03801652892561983,0,0,0.04,0.02531645569620253,0.09259259259259259,0.04081632653061224,0.034912718204488775,0,0,0.09090909090909091,0.01834862385321101,0,1,0,1,0,0,0,0,0,0,0.9737173318862915,0.010183388367295265,0.015637803822755814,4.615088691934943e-4,0.042843522620387375,0,Andrew McGrath,0,15814,12,Essendon,2020,0
7,6,5,12,10,83,2,0,0,1,0,4,1,3,0,1,2,10,0,1,2,0,0,84,62,69,0,1,3,219,5,0,1,0,0,2,0,2,6,0,2,0,0,0,2,11,7.8,0,0,2,2,13,4,10,64,0,0,0,0,45,0.02040816326530612,0.03680981595092025,0.023923444976076555,0.021739130434782608,0.1111111111111111,0,0.01020408163265306,0.04938271604938271,0.01694915254237288,0.008695652173913044,0.031746031746031744,0,0.058823529411764705,0,0.0423728813559322,0.06896551724137931,0,1,0,1,0,0,0,0,0,0.9982757568359375,0.0014767233515158296,7.05565616954118e-5,1.7694529378786683e-4,0.0021486723562702537,0,Ben Ainsworth,0,15706,4,Gold Coast,2020,0
4,2,2,6,4,67,0,0,0,0,1,0,0,1,1,0,2,4,0,0,4,0,0,100,23,40,0,0,1,117,1,2,0,1,1,1,1,4,2,0,1,0,0,1,0,5,4.7,1,0,0,3,28,7,10,67,0,0,0,0,34,0.012048192771084338,0.015037593984962405,0.008368200836820083,0.010507880910683012,0,0,0,0,0,0.008547008547008548,0.0125,0,0,0,0.008849557522123894,0,0,1,0,0,0,0,0,0,0,0.999298095703125,5.41544402949512e-4,4.477349284570664e-5,1.1555459059309214e-4,9.777551604202017e-4,0,Alex Keath,0,15701,4,Western Bulldogs,2020,0
11,7,7,18,14,78,0,1,0,1,2,4,1,1,0,0,4,13,1,1,0,0,1,84,73,90,0,1,3,292,5,3,0,0,0,0,0,4,8,2,2,0,0,2,0,10,5.5,0,0,1,0,16,12,10,72,0,0,0,0,45,0.02997275204359673,0.04666666666666667,0.030434782608695653,0.03015075376884422,0,0.058823529411764705,0.008547008547008548,0.045454545454545456,0.016129032258064516,0.01702127659574468,0.03735632183908046,0.05,0.05,0.06666666666666667,0.045871559633027525,0.02127659574468085,0,1,0,0,0,0,0,0,1,0.9803984761238098,0.0171086136251688,0.0013421361800283194,0.001150747761130333,0.023245129268616438,0,Ben Keays,0,15853,17,Adelaide,2020,0
4,0,6,10,7,70,0,0,0,1,0,1,3,2,0,0,7,4,0,0,1,0,0,68,28,42,2,1,2,115,4,2,0,0,0,0,0,8,1,0,6,0,0,0,0,16,7,0,0,0,0,30,2,5,32,0,0,0,0,4,0.01098901098901099,0,0.02510460251046025,0.01658374792703151,0,0,0.01098901098901099,0.014925373134328358,0.058823529411764705,0.029787234042553193,0.010638297872340425,0,0,0,0.034482758620689655,0,1,0,1,0,0,0,0,0,0,0.999921441078186,3.5021828807657585e-5,1.1323943908791989e-5,3.2217008993029594e-5,1.5432074360433035e-4,0,Caleb Serong,0,15758,7,Fremantle,2020,0
4,2,10,14,11,79,0,0,0,2,0,3,2,0,0,0,3,10,0,0,2,0,0,74,46,71,1,1,5,81,0,0,0,0,0,0,0,8,3,1,3,0,0,0,0,18,7.5,0,1,0,0,59,9,14,93,1,1,0,0,172,0.011494252873563218,0.013245033112582781,0.04132231404958678,0.023728813559322035,0,0,0.020618556701030927,0.03614457831325301,0.03225806451612903,0.013100436681222707,0.028011204481792718,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.9979181885719299,0.001637929817661643,1.6166620480362326e-4,2.8218055376783013e-4,0.00280780388857238,0,Cameron Guthrie,0,15804,11,Geelong,2020,0
