kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcome_Loss,match_outcome_Win,player_position_BPR,player_position_C,player_position_CHB,player_position_CHF,player_position_FB,player_position_FF,player_position_FPL,player_position_FPR,player_position_HBFL,player_position_HBFR,player_position_HFFL,player_position_HFFR,player_position_INT,player_position_R,player_position_RK,player_position_RR,player_position_SUB,player_position_WL,player_position_WR,prob_0,prob_1,prob_2,prob_3,expected_votes,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,predicted_votes
6,5,10,16,15,94,0,0,0,2,2,1,0,4,0,2,4,12,0,0,5,0,0,86,55,86,0,0,0,138,3,7,0,0,1,0,0,7,5,0,4,0,0,1,0,7,5.4,0,0,0,5,31,7,2,19,0,0,0,0,89,0.017191977077363897,0.03597122302158273,0.04032258064516129,0.02680067001675042,0,0,0.023809523809523808,0.0136986301369863,0,0.017777777777777778,0.03333333333333333,0,0,0,0.024793388429752067,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9992749094963074,6.020782748237252e-4,1.0766257037175819e-4,1.538643664389383e-5,8.635627254989231e-4,0,Callum Mills,0,15821,13,Sydney,2020,0
5,3,7,12,7,58,0,0,0,2,0,2,2,2,0,0,6,6,0,0,0,0,0,81,46,50,0,2,5,118,5,0,1,0,0,0,0,4,1,3,5,0,0,0,0,12,4.1,0,1,0,0,6,9,8,57,0,0,0,0,28,0.01483679525222552,0.018633540372670808,0.027888446215139442,0.02040816326530612,0,0,0.023255813953488372,0.02666666666666667,0.044444444444444446,0.03225806451612903,0.015037593984962405,0,0,0,0.04672897196261682,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9998509883880615,1.3672206841874868e-4,9.305792445957195e-6,3.0163350857037585e-6,1.6438265856777434e-4,0,Bailey Banfield,0,15617,1,Fremantle,2020,0
11,6,12,23,18,78,0,0,0,9,0,0,4,3,5,2,8,18,0,0,2,0,0,88,110,136,4,0,5,136,3,2,2,0,1,0,0,12,7,0,3,0,0,0,0,28,6.2,0,1,0,1,18,7,11,73,1,1,10,0,83,0.033950617283950615,0.03773584905660377,0.06521739130434782,0.045275590551181105,0,0,0.15254237288135594,0,0.09090909090909091,0.047058823529411764,0.05389221556886228,0,0,0,0.033707865168539325,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.010791141539812088,0.13773110508918762,0.19962112605571747,0.6518566012382507,2.4925431609153748,3,Jack Steele,3,15719,5,St Kilda,2020,3
12,6,14,26,24,92,1,0,0,2,2,2,4,0,1,0,8,18,0,1,1,0,0,90,97,139,1,3,3,87,2,5,0,0,0,0,0,11,12,0,7,0,0,1,0,17,12.3,0,2,1,0,12,7,7,49,0,0,7,0,129,0.037383177570093455,0.0375,0.06306306306306306,0.04788213627992634,0.08333333333333333,0,0.02531645569620253,0.029411764705882353,0.06557377049180328,0.041237113402061855,0.04986149584487535,0,0.09090909090909091,0,0.021052631578947368,0.03571428571428571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04831598326563835,0.11878733336925507,0.47753167152404785,0.35536500811576843,2.139945700764656,2,Josh Kelly,3,15824,13,Greater Western Sydney,2020,2
13,2,2,15,11,73,0,2,0,1,8,1,1,3,1,2,7,3,1,0,0,0,0,82,50,82,0,1,2,492,3,6,0,0,0,0,0,8,9,0,5,0,0,1,0,10,6.1,0,1,2,0,14,9,4,33,0,0,0,0,7,0.04113924050632911,0.020618556701030927,0.009216589861751152,0.028142589118198873,0,0.13333333333333333,0.011363636363636364,0.013513513513513514,0.014705882352941176,0.029787234042553193,0.010676156583629894,0.08333333333333333,0,0,0.023622047244094488,0.07692307692307693,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975171089172363,0.0019528265111148357,4.788565565831959e-4,5.12335063831415e-5,0.003064240143430652,0,Trent Rivers,0,15844,16,Melbourne,2020,0
14,8,4,18,14,78,0,0,0,2,3,4,1,4,0,2,5,13,1,0,3,0,0,92,76,96,0,1,4,402,6,6,1,0,2,1,0,5,11,0,4,0,0,2,0,9,8,0,2,1,3,21,10,6,46,0,0,0,0,150,0.04361370716510903,0.07142857142857142,0.017241379310344827,0.0325497287522604,0,0,0.021052631578947368,0.05555555555555555,0.018518518518518517,0.021645021645021644,0.041401273885350316,0.05263157894736842,0,0,0.05128205128205128,0.02702702702702703,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9965535402297974,0.0031551942229270935,2.41749788983725e-4,4.9509148084325716e-5,0.0037872212451475207,0,Adam Tomlinson,0,15837,15,Melbourne,2020,0
7,3,20,27,23,85,0,0,0,1,1,5,1,3,1,2,9,19,0,0,1,0,3,89,69,111,0,1,7,322,3,5,0,0,0,0,0,3,6,1,5,0,0,1,0,19,15.7,0,1,0,0,27,4,8,52,1,1,3,0,89,0.021406727828746176,0.02040816326530612,0.06578947368421052,0.042789223454833596,0,0,0.013888888888888888,0.06329113924050633,0.02040816326530612,0.039473684210526314,0.04884318766066838,0,0,0.23076923076923078,0.024,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8624144792556763,0.12712861597537994,0.008788757026195526,0.0016681381966918707,0.1497105446178466,0,Christian Petracca,0,15740,5,Melbourne,2020,0
7,3,9,16,13,81,0,0,0,6,0,2,7,2,0,0,9,7,1,1,2,0,0,77,72,92,1,6,2,232,3,1,2,0,0,1,1,9,4,0,6,0,0,1,0,23,14,0,0,0,1,53,12,6,48,0,0,0,0,21,0.020710059171597635,0.02608695652173913,0.03862660944206009,0.028021015761821366,0,0,0.056074766355140186,0.022988505747126436,0.10144927536231885,0.036734693877551024,0.022082018927444796,0.05263157894736842,0.05263157894736842,0,0.025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9993845224380493,5.446053692139685e-4,4.723459642264061e-5,2.3581435016239993e-5,7.098188671079697e-4,0,James Rowbottom,0,15774,9,Sydney,2020,0
9,4,3,12,11,92,0,0,0,0,0,1,0,2,3,1,5,6,0,0,2,0,0,89,45,68,0,0,2,56,2,7,0,0,3,0,0,2,9,0,2,0,0,2,0,3,5.6,0,1,0,2,3,10,9,64,0,0,0,0,88,0.02727272727272727,0.028169014084507043,0.014218009478672985,0.022181146025878003,0,0,0,0.013333333333333334,0,0.02336448598130841,0.01875,0,0,0,0.017699115044247787,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997350811958313,0.0019073677249252796,5.85193105507642e-4,1.566331775393337e-4,0.0035476534685585648,0,Tom Clurey,0,15756,7,Port Adelaide,2020,0
8,3,8,16,10,63,0,0,0,5,0,3,5,5,2,1,7,7,0,0,3,0,0,74,68,64,5,0,2,240,3,1,0,0,0,0,0,7,4,0,2,0,0,0,1,15,9.2,0,0,0,2,6,9,10,69,0,0,0,1,306,0.022222222222222223,0.01875,0.03418803418803419,0.026936026936026935,0,0,0.07042253521126761,0.034482758620689655,0.09803921568627451,0.035,0.01837270341207349,0,0,0,0.02702702702702703,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9980922341346741,3.8211551145650446e-4,0.0011446747230365872,3.8094230694696307e-4,0.003814291878370568,0,Joel Selwood,0,15863,18,Geelong,2020,0
