kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,prev_season_br_votes,prev_season_games_polled,rolling_avg_votes_per_game,rolling_avg_games_polled,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcome_Loss,match_outcome_Win,player_position_BPR,player_position_C,player_position_CHB,player_position_CHF,player_position_FB,player_position_FF,player_position_FPL,player_position_FPR,player_position_HBFL,player_position_HBFR,player_position_HFFL,player_position_HFFR,player_position_INT,player_position_R,player_position_RK,player_position_RR,player_position_SUB,player_position_WL,player_position_WR,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
7,3,6,13,11,85,0,1,0,3,1,4,0,3,1,3,1,11,0,0,1,0,2,86,47,42,0,0,4,310,0,2,0,0,0,0,0,12,5,0,0,0,0,0,0,17,3.9,0,0,1,1,66,10,9,64,0,0,0,0,91,0,0,0,0,0.01837270341207349,0.017341040462427744,0.016853932584269662,0.017639077340569877,0,0.06666666666666667,0.023076923076923078,0.039603960396039604,0,0.003703703703703704,0.023157894736842106,0,0,0.09523809523809523,0,0.0196078431372549,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2.861607645172626e-4,Luke McDonald,0,15346,18,North Melbourne,2018,26,0
8,5,2,10,6,60,2,1,0,0,0,5,0,2,1,0,4,6,2,2,3,0,0,100,57,58,0,0,5,320,3,1,0,0,0,3,2,1,4,0,1,0,0,0,1,6,7.3,0,0,3,2,66,10,9,64,0,1,0,0,94,14,6,0.24285714285714285,0.12857142857142856,0.02099737532808399,0.028901734104046242,0.0056179775280898875,0.013568521031207599,0.06896551724137931,0.06666666666666667,0,0.04950495049504951,0,0.014814814814814815,0.01263157894736842,0.08,0.07142857142857142,0,0.022727272727272728,0.058823529411764705,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004105454310774803,Ben Brown,0,15346,18,North Melbourne,2018,35,0
2,1,7,9,5,56,0,0,0,3,0,2,0,3,0,0,5,4,0,0,0,0,0,81,35,24,0,0,2,106,2,2,0,0,0,1,0,9,1,1,5,0,0,0,0,22,3,0,1,0,0,66,10,9,64,0,0,0,0,53,0,0,0,0,0.005249343832020997,0.005780346820809248,0.019662921348314606,0.012211668928086838,0,0,0.023076923076923078,0.019801980198019802,0,0.018518518518518517,0.008421052631578947,0,0,0,0.015151515151515152,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.00212013628333807,Kayne Turner,0,15346,18,North Melbourne,2018,31,0
13,6,6,19,15,79,4,1,0,6,1,2,2,0,1,0,7,11,1,5,2,0,1,70,119,147,1,1,7,190,1,2,4,0,0,1,1,5,11,0,4,0,0,0,4,13,25,0,0,5,1,66,10,20,130,0,1,0,0,64,5,2,0.1,0.04,0.03412073490813648,0.03468208092485549,0.016853932584269662,0.025780189959294438,0.13793103448275862,0.06666666666666667,0.046153846153846156,0.019801980198019802,0.03125,0.025925925925925925,0.023157894736842106,0.04,0.17857142857142858,0.047619047619047616,0.007575757575757576,0.09803921568627451,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.11618389934301376,Jordan De Goey,2,15346,18,Collingwood,2018,43,0
9,3,11,20,12,60,0,0,0,3,1,3,3,3,1,1,11,11,1,1,2,0,0,84,68,74,2,1,4,249,5,4,1,0,0,1,0,8,4,4,9,0,0,1,0,19,14.8,0,0,0,1,66,10,9,64,0,0,0,0,56,0,0,0,0,0.023622047244094488,0.017341040462427744,0.03089887640449438,0.027137042062415198,0,0,0.023076923076923078,0.0297029702970297,0.046875,0.040740740740740744,0.023157894736842106,0.04,0.03571428571428571,0,0.03787878787878788,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.008698553778231144,Trent Dumont,0,15346,18,North Melbourne,2018,38,0
13,4,8,21,17,81,0,0,0,7,3,4,0,5,0,0,3,17,0,0,3,0,1,79,95,91,0,0,3,441,7,5,0,0,0,0,0,15,9,0,3,0,0,1,0,18,11,0,2,0,2,66,10,20,130,0,0,0,0,64,0,0,0,0,0.03412073490813648,0.023121387283236993,0.02247191011235955,0.028493894165535955,0,0,0.05384615384615385,0.039603960396039604,0,0.011111111111111112,0.035789473684210524,0,0,0.047619047619047616,0.05303030303030303,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008553273975849152,Brayden Maynard,0,15346,18,Collingwood,2018,14,0
10,6,6,16,16,100,0,0,0,2,0,2,0,2,3,2,7,10,1,0,1,0,1,88,65,76,0,0,3,125,1,9,0,2,3,0,0,2,10,0,3,0,0,3,0,3,10.1,0,2,0,1,66,10,20,130,0,0,0,0,30,0,0,0,0,0.026246719160104987,0.03468208092485549,0.016853932584269662,0.021709633649932156,0,0,0.015384615384615385,0.019801980198019802,0,0.025925925925925925,0.021052631578947368,0.04,0,0.047619047619047616,0.007575757575757576,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.071087697520852e-4,Matthew Scharenberg,0,15346,18,Collingwood,2018,25,0
8,6,2,10,5,50,1,0,5,1,0,2,0,3,2,0,3,7,1,1,2,0,0,80,63,44,0,0,5,326,4,1,0,0,0,6,4,2,4,0,0,0,50,1,1,7,2.8,10,0,1,2,66,10,20,130,0,0,0,0,35,0,0,0.05,0.05,0.02099737532808399,0.03468208092485549,0.0056179775280898875,0.013568521031207599,0.034482758620689655,0,0.007692307692307693,0.019801980198019802,0,0.011111111111111112,0.014736842105263158,0.04,0.03571428571428571,0,0.030303030303030304,0.0196078431372549,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00869759451597929,Mason Cox,0,15346,18,Collingwood,2018,13,0
11,5,11,22,15,68,1,0,0,3,4,2,1,2,0,2,6,17,1,1,0,1,1,86,82,76,1,0,6,313,4,4,0,0,1,0,0,4,8,0,4,0,0,1,0,10,9.8,0,1,1,0,66,10,20,130,0,0,0,0,41,0,0,0,0,0.028871391076115485,0.028901734104046242,0.03089887640449438,0.029850746268656716,0.034482758620689655,0,0.023076923076923078,0.019801980198019802,0.015625,0.022222222222222223,0.035789473684210524,0.04,0.03571428571428571,0.047619047619047616,0.030303030303030304,0.0196078431372549,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003668045625090599,Tom Phillips,0,15346,18,Collingwood,2018,18,0
15,12,12,27,21,78,0,1,0,2,6,1,0,1,0,0,2,25,0,1,1,0,0,86,114,102,0,0,4,328,4,3,0,0,0,0,0,13,12,1,2,0,0,2,0,16,2.4,0,1,1,1,66,10,9,64,0,0,0,0,35,0,0,0,0,0.03937007874015748,0.06936416184971098,0.033707865168539325,0.036635006784260515,0,0.06666666666666667,0.015384615384615385,0.009900990099009901,0,0.007407407407407408,0.05263157894736842,0,0.03571428571428571,0,0.030303030303030304,0.0196078431372549,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074901580810546875,Ryan Clarke,0,15346,18,North Melbourne,2018,42,0
