kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,rolling_avg_votes_per_game,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcome_Loss,match_outcome_Win,player_position_BPR,player_position_C,player_position_CHB,player_position_CHF,player_position_FB,player_position_FF,player_position_FPL,player_position_FPR,player_position_HBFL,player_position_HBFR,player_position_HFFL,player_position_HFFR,player_position_INT,player_position_R,player_position_RK,player_position_RR,player_position_SUB,player_position_WL,player_position_WR,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
10,2,12,22,16,73,1,0,0,6,0,2,4,3,1,0,9,12,0,0,0,0,1,87,91,78,0,4,3,94,5,1,1,0,0,2,1,11,6,1,4,0,0,0,0,21,10.5,0,0,2,0,19,6,12,78,0,0,0,0,262,0.42792792792792794,0.022271714922048998,0.00816326530612245,0.0345821325648415,0.02763819095477387,0.041666666666666664,0,0.06666666666666667,0.02197802197802198,0.05555555555555555,0.039473684210526314,0.0213903743315508,0,0,0.041666666666666664,0.04,0.05405405405405406,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.07466281950473785,Steele Sidebottom,0,16084,21,Collingwood,2021,10,0
11,6,5,16,11,69,0,1,0,0,1,2,0,1,1,0,5,11,0,0,3,0,0,84,63,56,0,0,4,308,3,6,0,0,1,0,0,5,7,0,4,0,0,1,0,8,6.5,0,1,1,2,23,8,13,86,0,0,0,0,10,0,0.02546296296296296,0.03636363636363636,0.01557632398753894,0.021248339973439574,0,0.07142857142857142,0,0.018867924528301886,0,0.017361111111111112,0.02386117136659436,0,0,0,0.019867549668874173,0.024390243902439025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035721140448004007,Liam Stocker,0,15957,10,Carlton,2021,23,0
10,5,7,17,14,82,0,1,20,1,0,3,4,4,3,1,7,9,0,2,6,0,1,94,84,99,4,0,6,162,3,2,0,0,1,2,0,9,8,1,3,7,46.5,1,0,20,18.1,43,2,2,5,18,10,11,76,0,0,0,0,259,0.28512396694214875,0.02159827213822894,0.022727272727272728,0.021148036253776436,0.021410579345088162,0,0.058823529411764705,0.011764705882352941,0.028037383177570093,0.07547169811320754,0.028225806451612902,0.016697588126159554,0,0.07407407407407407,0.058823529411764705,0.018292682926829267,0.0392156862745098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.08457192778587341,Todd Goldstein,0,15941,8,North Melbourne,2021,41,0
7,5,4,11,9,82,0,1,0,2,4,3,0,3,1,1,2,9,0,0,1,0,1,70,51,45,0,0,5,263,1,1,0,0,0,0,0,9,5,0,0,0,0,0,0,9,4.4,0,0,1,0,20,10,16,106,0,0,0,0,28,0,0.017114914425427872,0.029940119760479042,0.016194331983805668,0.01676829268292683,0,0.07692307692307693,0.021052631578947368,0.02830188679245283,0,0.007905138339920948,0.023255813953488372,0,0,0.05555555555555555,0.009009009009009009,0.018518518518518517,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00473916856572032,Sydney Stack,0,16053,18,Richmond,2021,20,0
15,4,8,23,20,87,0,0,0,2,7,2,0,4,0,1,4,16,0,0,8,0,0,95,78,75,0,0,3,457,4,7,0,2,4,0,0,10,12,0,4,0,0,2,0,13,11.8,0,1,0,6,67,15,4,39,0,0,0,0,96,0,0.03537735849056604,0.020833333333333332,0.02622950819672131,0.03155006858710562,0,0,0.020202020202020204,0.018867924528301886,0,0.017167381974248927,0.033542976939203356,0,0,0,0.03125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03559660166501999,Jake Kelly,0,15931,7,Adelaide,2021,12,0
16,6,4,20,18,90,0,0,0,7,4,0,0,3,2,0,4,13,0,0,6,0,0,96,104,112,0,0,3,315,2,5,0,0,6,1,1,11,14,0,2,0,0,1,0,14,12.2,0,0,0,5,18,7,11,73,0,0,0,0,43,0,0.035634743875278395,0.027777777777777776,0.013468013468013467,0.02680965147453083,0,0,0.06306306306306306,0,0,0.016666666666666666,0.026422764227642278,0,0,0,0.014184397163120567,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023162053897976875,Callum Wilkie,0,15888,2,St Kilda,2021,18,0
11,5,10,21,18,86,1,0,0,1,0,4,0,2,0,1,4,17,0,0,1,0,0,74,75,81,0,0,3,219,2,3,0,0,0,0,0,8,8,0,3,0,0,1,0,17,13,0,0,1,0,9,10,10,70,0,0,0,0,56,0,0.023305084745762712,0.024875621890547265,0.03194888178913738,0.0267515923566879,0.05555555555555555,0,0.007692307692307693,0.039603960396039604,0,0.014545454545454545,0.03434343434343434,0,0,0,0.014814814814814815,0.025,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.003564590821042657,Daniel McKenzie,0,16041,16,St Kilda,2021,26,0
7,3,5,12,10,83,1,0,0,0,0,2,1,0,2,0,6,7,0,0,1,0,0,68,48,48,0,1,4,152,1,3,0,0,1,0,0,2,5,2,3,0,0,0,0,4,7.5,0,2,2,0,73,10,19,124,0,0,0,0,9,0,0.0170316301703163,0.014925373134328358,0.019083969465648856,0.017830609212481426,0.038461538461538464,0,0,0.020202020202020204,0.015384615384615385,0.02608695652173913,0.01580135440180587,0,0,0,0.007633587786259542,0.0425531914893617,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0059928991831839085,Keidean Coleman,0,15950,9,Brisbane Lions,2021,24,0
11,7,5,16,13,81,0,0,0,3,0,4,0,4,0,0,4,12,1,1,0,0,2,90,76,61,0,0,4,203,3,3,0,0,0,0,0,11,8,0,3,0,0,0,1,18,6,0,0,1,0,19,6,12,78,0,0,0,0,155,0.08527131782945736,0.024498886414253896,0.02857142857142857,0.01440922190201729,0.020100502512562814,0,0,0.03333333333333333,0.04395604395604396,0,0.017543859649122806,0.0213903743315508,0.041666666666666664,0.05555555555555555,0.08333333333333333,0.024,0.02702702702702703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0655582919716835,Will Hoskin-Elliott,0,16084,21,Collingwood,2021,11,0
15,5,11,26,20,77,1,1,0,7,2,2,3,3,3,0,16,10,1,1,2,1,0,82,120,139,0,3,5,406,3,6,1,0,0,2,1,10,10,2,12,0,0,1,2,21,22,0,2,4,2,44,6,8,54,0,0,0,0,47,0,0.04065040650406504,0.03496503496503497,0.03426791277258567,0.03768115942028986,0.05,0.05,0.06140350877192982,0.02247191011235955,0.04411764705882353,0.06557377049180328,0.023310023310023312,0.05263157894736842,0.03571428571428571,0,0.02727272727272727,0.0784313725490196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5572606921195984,Tarryn Thomas,0,16105,23,North Melbourne,2021,8,0
12,6,2,14,12,86,1,0,0,4,1,4,1,3,1,1,5,10,0,1,0,0,1,80,78,84,1,0,6,341,5,1,1,0,0,1,0,3,10,0,4,0,0,0,1,17,9.5,0,0,2,0,11,11,8,59,0,0,0,0,60,0.03508771929824561,0.025806451612903226,0.03614457831325301,0.009478672985781991,0.020710059171597635,0.0625,0,0.032520325203252036,0.041237113402061855,0.01282051282051282,0.018796992481203006,0.026881720430107527,0,0.07692307692307693,0.08333333333333333,0.037037037037037035,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.020191306248307228,Ben Ainsworth,0,15906,4,Gold Coast,2021,23,0
7,4,10,17,13,77,0,1,0,4,0,5,3,2,2,1,5,12,0,0,0,2,0,83,69,65,1,2,5,267,3,2,0,0,0,0,0,16,5,0,3,0,0,1,0,29,6.1,0,2,1,0,44,6,8,54,0,0,0,0,73,0.06521739130434782,0.018970189701897018,0.027972027972027972,0.03115264797507788,0.02463768115942029,0,0.05,0.03508771929824561,0.056179775280898875,0.04411764705882353,0.020491803278688523,0.027972027972027972,0,0,0,0.02727272727272727,0.0196078431372549,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01793106459081173,Jaidyn Stephenson,0,16105,23,North Melbourne,2021,34,0
14,10,4,18,14,78,6,1,0,3,0,5,0,6,2,4,8,11,3,4,2,0,0,92,119,130,0,0,10,478,5,1,2,0,0,10,5,1,10,0,2,0,0,0,2,12,18.9,0,0,8,1,2,6,13,84,0,1,8,0,306,0.6159420289855072,0.03139013452914798,0.05649717514124294,0.01593625498007968,0.02582496413199426,0.2608695652173913,0.07142857142857142,0.02727272727272727,0.044642857142857144,0,0.02768166089965398,0.026570048309178744,0.14285714285714285,0.3333333333333333,0,0.04032258064516129,0.17777777777777778,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.723539352416992,Lance Franklin,0,15961,10,Sydney,2021,1,3
7,4,4,11,7,64,4,3,1,2,0,1,1,1,3,0,12,0,4,2,2,0,0,93,80,105,0,1,7,174,1,1,2,0,0,4,3,4,4,3,4,0,11.1,0,0,20,19.1,9,2,7,1,28,13,14,97,0,0,4,0,171,0.21333333333333335,0.01832460732984293,0.025974025974025976,0.012422360248447204,0.015625,0.17391304347826086,0.1875,0.0196078431372549,0.01098901098901099,0.014705882352941176,0.04743083003952569,0,0.26666666666666666,0.07142857142857142,0,0.008849557522123894,0.15217391304347827,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.2045186758041382,Charlie Dixon,0,16061,19,Port Adelaide,2021,4,0
8,4,6,14,9,64,0,1,0,2,1,1,2,5,0,2,3,12,0,0,1,0,1,84,51,40,1,1,3,221,5,0,0,0,0,3,0,8,3,2,3,0,0,0,0,15,3,0,0,2,1,59,9,5,39,0,0,0,0,56,0.06521739130434782,0.016494845360824743,0.021052631578947368,0.02,0.017834394904458598,0,0.05,0.015748031496062992,0.008547008547008548,0.028169014084507043,0.01048951048951049,0.024691358024691357,0,0,0.07692307692307693,0.03184713375796178,0.043478260869565216,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0033200569450855255,Jaidyn Stephenson,0,15889,2,North Melbourne,2021,28,0
