kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcomeDraw,match_outcomeLoss,match_outcomeWin,player_positionBPL,player_positionBPR,player_positionC,player_positionCHB,player_positionCHF,player_positionFB,player_positionFF,player_positionFPL,player_positionFPR,player_positionHBFL,player_positionHBFR,player_positionHFFL,player_positionHFFR,player_positionINT,player_positionR,player_positionRK,player_positionRR,player_positionSUB,player_positionWL,player_positionWR,pred,player_name,brownlow_votes,match_id,match_round,player_team,pred_rank,predicted_votes
8,1,10,18,16,89,1,0,0,3,1,0,2,1,0,0,4,15,0,0,1,0,0,86,65,93,1,1,4,208,1,1,1,0,0,0,0,9,6,1,4,0,0,0,0,19,12.1,0,2,2,0,39,7,7,49,1,1,0,0,0.023121387283236993,0.006802721088435374,0.032362459546925564,0.02748091603053435,0.047619047619047616,0,0.02830188679245283,0,0.03278688524590164,0.01652892561983471,0.036231884057971016,0,0,0,0.010638297872340425,0.05405405405405406,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0024873840156942606,Jack Macrae,0,15656,2,Western Bulldogs,15,0
17,4,7,24,14,58,3,0,0,5,1,5,3,3,3,2,8,16,0,2,0,0,0,84,112,133,0,3,6,470,5,4,1,0,0,0,0,3,8,1,4,0,0,1,0,12,13.3,0,2,3,0,39,4,14,88,0,0,10,0,0.049132947976878616,0.027210884353741496,0.022653721682847898,0.0366412213740458,0.14285714285714285,0,0.04716981132075472,0.06329113924050633,0.04918032786885246,0.03305785123966942,0.03864734299516908,0,0.1,0,0.05319148936170213,0.08108108108108109,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.8328170776367187,Jack Billings,2,15656,2,St Kilda,1,3
5,2,2,7,2,29,0,1,0,3,0,2,0,4,1,0,2,5,0,1,1,0,0,78,39,16,0,0,1,133,3,0,1,0,0,0,0,2,0,0,1,0,0,0,0,13,-4.1,0,0,2,1,39,7,7,49,0,0,0,0,0.014450867052023121,0.013605442176870748,0.006472491909385114,0.010687022900763359,0,0.1111111111111111,0.02830188679245283,0.02531645569620253,0,0.008264462809917356,0.012077294685990338,0,0.05,0,0.031914893617021274,0.05405405405405406,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.002152521861717105,Sam Lloyd,0,15656,2,Western Bulldogs,33,0
11,2,13,24,15,63,0,0,0,1,0,7,6,5,0,2,12,15,1,0,4,0,0,91,63,94,5,1,2,390,6,2,1,0,0,0,0,5,4,0,9,0,0,1,0,20,15.7,0,1,0,1,39,7,7,49,1,1,0,1,0.031791907514450865,0.013605442176870748,0.042071197411003236,0.0366412213740458,0,0,0.009433962264150943,0.08860759493670886,0.09836065573770492,0.049586776859504134,0.036231884057971016,0.058823529411764705,0,0,0.06382978723404255,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03325630724430084,Marcus Bontempelli,0,15656,2,Western Bulldogs,44,0
14,6,15,29,22,76,1,0,0,3,1,2,6,2,0,0,13,17,0,0,1,1,1,83,108,127,5,1,6,219,3,1,0,0,0,0,0,8,9,0,9,0,0,1,0,16,16,0,1,1,0,39,4,14,88,0,0,6,0,0.04046242774566474,0.04081632653061224,0.04854368932038835,0.044274809160305344,0.047619047619047616,0,0.02830188679245283,0.02531645569620253,0.09836065573770492,0.05371900826446281,0.04106280193236715,0,0,0.06666666666666667,0.031914893617021274,0.02702702702702703,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19364595413208,Zak Jones,3,15656,2,St Kilda,2,2
10,7,3,13,7,54,1,0,0,1,0,5,0,2,1,0,5,8,2,1,0,0,0,86,68,62,0,0,3,353,5,1,1,0,0,5,1,2,6,1,2,0,0,0,2,6,6.4,0,0,1,0,39,4,14,88,0,0,0,0,0.028901734104046242,0.047619047619047616,0.009708737864077669,0.01984732824427481,0.047619047619047616,0,0.009433962264150943,0.06329113924050633,0,0.02066115702479339,0.01932367149758454,0.11764705882352941,0.05,0,0.05319148936170213,0.02702702702702703,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010431219823658466,Tim Membrey,0,15656,2,St Kilda,40,0
12,8,3,15,7,47,1,1,0,3,0,3,0,3,0,1,4,10,0,3,1,0,0,85,82,78,0,0,4,195,2,2,3,0,0,0,0,5,5,2,4,0,0,0,1,14,2.3,0,0,4,1,39,4,14,88,0,0,0,0,0.03468208092485549,0.05442176870748299,0.009708737864077669,0.022900763358778626,0.047619047619047616,0.1111111111111111,0.02830188679245283,0.0379746835443038,0,0.01652892561983471,0.024154589371980676,0,0.15,0,0.02127659574468085,0.10810810810810811,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.01234889030456543,Jack Lonie,0,15656,2,St Kilda,41,0
4,2,5,9,7,78,0,2,0,1,0,1,0,2,0,1,4,4,0,1,2,0,0,81,31,48,0,0,4,86,1,1,0,0,0,1,0,2,2,1,4,0,0,0,1,3,2.3,0,0,2,1,39,7,7,49,0,0,0,0,0.011560693641618497,0.013605442176870748,0.016181229773462782,0.013740458015267175,0,0.2222222222222222,0.009433962264150943,0.012658227848101266,0,0.01652892561983471,0.00966183574879227,0,0.05,0,0.010638297872340425,0.05405405405405406,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.021364450454711914,Bailey Dale,0,15656,2,Western Bulldogs,42,0
11,8,11,22,18,82,1,0,0,4,0,3,2,1,1,0,10,12,1,1,1,0,3,86,102,137,0,2,7,235,0,1,0,0,0,0,0,9,9,0,7,0,0,0,1,23,10,0,1,1,0,39,4,14,88,1,1,4,0,0.031791907514450865,0.05442176870748299,0.03559870550161812,0.03358778625954199,0.047619047619047616,0,0.03773584905660377,0.0379746835443038,0.03278688524590164,0.04132231404958678,0.028985507246376812,0.058823529411764705,0.05,0.2,0,0.02702702702702703,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6412334442138672,Jack Steele,0,15656,2,St Kilda,3,1
4,4,11,15,13,87,0,0,0,4,3,0,1,1,0,0,8,8,0,0,2,0,0,85,62,83,0,1,3,118,1,6,0,0,0,0,0,8,3,0,6,0,0,1,0,9,12,0,1,0,0,39,7,7,49,1,1,0,0,0.011560693641618497,0.027210884353741496,0.03559870550161812,0.022900763358778626,0,0,0.03773584905660377,0,0.01639344262295082,0.03305785123966942,0.01932367149758454,0,0,0,0.010638297872340425,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.004354540258646011,Caleb Daniel,0,15656,2,Western Bulldogs,13,0
