player_name,player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Darcy Byrne-Jones,Port Adelaide,0,2,19,2,-2
Dougal Howard,St Kilda,0,2,4,2,-2
Errol Gulden,Sydney,0,2,11,2,-2
Gary Rohan,Geelong,0,2,14,2,-2
Harry Schoenberg,Adelaide,0,2,6,2,-2
Isaac Cumming,Greater Western Sydney,0,2,10,2,-2
Jack Lukosius,Gold Coast,0,2,15,2,-2
Jack Silvagni,Carlton,0,2,10,2,-2
Jacob Koschitzke,Hawthorn,0,2,6,2,-2
Jacob Weitering,Carlton,0,2,39,2,-2
Jade Gresham,St Kilda,0,2,6,2,-2
Jeremy Finlayson,Greater Western Sydney,0,2,6,2,-2
Liam Jones,Carlton,0,2,15,2,-2
Liam Ryan,West Coast,0,2,10,2,-2
Luke Ryan,Fremantle,0,2,18,2,-2
Matthew Kennedy,Carlton,0,2,7,2,-2
Nick Hind,Essendon,0,2,9,2,-2
Nick Vlastuin,Richmond,0,2,13,2,-2
Orazio Fantasia,Port Adelaide,0,2,12,2,-2
Sam Reid,Sydney,0,2,8,2,-2
Sam Taylor,Greater Western Sydney,0,2,24,2,-2
Steele Sidebottom,Collingwood,0,2,5,2,-2
Steven Motlop,Port Adelaide,0,2,9,2,-2
Tarryn Thomas,North Melbourne,0,2,10,2,-2
Tim English,Western Bulldogs,0,2,9,2,-2
Toby Nankervis,Richmond,0,2,14,2,-2
Tom Green,Greater Western Sydney,0,2,20,2,-2
Tom Jonas,Port Adelaide,0,2,12,2,-2
Wil Powell,Gold Coast,0,2,8,2,-2
Will Day,Hawthorn,0,2,11,2,-2
Zach Tuohy,Geelong,0,2,22,2,-2
Ben Ainsworth,Gold Coast,0,1,7,1,-1
Ben McEvoy,Hawthorn,0,1,8,1,-1
Brody Mihocek,Collingwood,0,1,2,1,-1
Connor Rozee,Port Adelaide,0,1,10,1,-1
Dan Houston,Port Adelaide,0,1,16,1,-1
Daniel McStay,Brisbane Lions,0,1,7,1,-1
Darcy Moore,Collingwood,0,1,24,1,-1
David Swallow,Gold Coast,0,1,6,1,-1
George Hewett,Sydney,0,1,6,1,-1
Jack Scrimshaw,Hawthorn,0,1,12,1,-1
Jack Sinclair,St Kilda,0,1,15,1,-1
Jack Ziebell,North Melbourne,0,1,18,1,-1
Jake Lloyd,Sydney,0,1,20,1,-1
Joe Daniher,Brisbane Lions,0,1,12,1,-1
Jonathon Ceglar,Hawthorn,0,1,17,1,-1
Jordan Ridley,Essendon,0,1,21,1,-1
Jordan Roughead,Collingwood,0,1,6,1,-1
Lachie Schultz,Fremantle,0,1,10,1,-1
Liam Baker,Richmond,0,1,9,1,-1
Lincoln McCarthy,Brisbane Lions,0,1,19,1,-1
Luke Davies-Uniacke,North Melbourne,0,1,6,1,-1
Marcus Adams,Brisbane Lions,0,1,17,1,-1
Mark Blicavs,Geelong,0,1,4,1,-1
Mark O'Connor,Geelong,0,1,9,1,-1
Matt Taberner,Fremantle,0,1,9,1,-1
Max King,St Kilda,0,1,15,1,-1
Mitch Georgiades,Port Adelaide,0,1,5,1,-1
Nic Naitanui,West Coast,0,1,70,1,-1
Nick Holman,Gold Coast,0,1,4,1,-1
Reilly O'Brien,Adelaide,0,1,16,1,-1
Robbie Gray,Port Adelaide,0,1,14,1,-1
Sam Docherty,Carlton,0,1,16,1,-1
Todd Goldstein,North Melbourne,0,1,13,1,-1
Tom Clurey,Port Adelaide,0,1,7,1,-1
Tom Doedee,Adelaide,0,1,11,1,-1
